speed,research,scale,speed_multiplier,gross_coeff_before_speed,pnl
0,23,77,0.1,742329.9167623715,24232.991676237158
0,23,77,0.3,742329.9167623715,172698.97502871146
0,23,77,0.5,742329.9167623715,321164.9583811858
0,23,77,0.7,742329.9167623715,469630.94173366006
0,23,77,0.9,742329.9167623715,618096.9250861345
1,23,76,0.1,732689.2684927305,23268.926849273048
1,23,76,0.3,732689.2684927305,169806.78054781913
1,23,76,0.5,732689.2684927305,316344.6342463652
1,23,76,0.7,732689.2684927305,462882.4879449113
1,23,76,0.9,732689.2684927305,609420.3416434574
2,23,75,0.1,723048.6202230892,22304.862022308924
2,23,75,0.3,723048.6202230892,166914.58606692677
2,23,75,0.5,723048.6202230892,311524.3101115446
2,23,75,0.7,723048.6202230892,456134.0341561624
2,23,75,0.9,723048.6202230892,600743.7582007804
3,23,74,0.1,713407.971953448,21340.7971953448
3,23,74,0.3,713407.971953448,164022.3915860344
3,23,74,0.5,713407.971953448,306703.985976724
3,23,74,0.7,713407.971953448,449385.5803674136
3,23,74,0.9,713407.971953448,592067.1747581032
4,22,74,0.1,703854.2104911036,20385.42104911036
4,22,74,0.3,703854.2104911036,161156.26314733108
4,22,74,0.5,703854.2104911036,301927.1052455518
4,22,74,0.7,703854.2104911036,442697.94734377245
4,22,74,0.9,703854.2104911036,583468.7894419932
5,22,73,0.1,694342.6671060887,19434.266710608877
5,22,73,0.3,694342.6671060887,158302.8001318266
5,22,73,0.5,694342.6671060887,297171.33355304436
5,22,73,0.7,694342.6671060887,436039.86697426206
5,22,73,0.9,694342.6671060887,574908.4003954799
6,22,72,0.1,684831.1237210738,18483.11237210738
6,22,72,0.3,684831.1237210738,155449.33711632216
6,22,72,0.5,684831.1237210738,292415.5618605369
6,22,72,0.7,684831.1237210738,429381.78660475166
6,22,72,0.9,684831.1237210738,566348.0113489665
7,22,71,0.1,675319.5803360589,17531.958033605886
7,22,71,0.3,675319.5803360589,152595.87410081766
7,22,71,0.5,675319.5803360589,287659.79016802943
7,22,71,0.7,675319.5803360589,422723.70623524114
7,22,71,0.9,675319.5803360589,557787.622302453
8,22,70,0.1,665808.036951044,16580.803695104405
8,22,70,0.3,665808.036951044,149742.4110853132
8,22,70,0.5,665808.036951044,282904.018475522
8,22,70,0.7,665808.036951044,416065.62586573075
8,22,70,0.9,665808.036951044,549227.2332559396
9,21,70,0.1,656368.9059120062,15636.890591200616
9,21,70,0.3,656368.9059120062,146910.67177360185
9,21,70,0.5,656368.9059120062,278184.4529560031
9,21,70,0.7,656368.9059120062,409458.23413840425
9,21,70,0.9,656368.9059120062,540732.0153208056
10,21,69,0.1,646992.2072561203,14699.220725612031
10,21,69,0.3,646992.2072561203,144097.66217683608
10,21,69,0.5,646992.2072561203,273496.10362806014
10,21,69,0.7,646992.2072561203,402894.5450792842
10,21,69,0.9,646992.2072561203,532292.9865305083
11,21,68,0.1,637615.5086002345,13761.550860023453
11,21,68,0.3,637615.5086002345,141284.65258007034
11,21,68,0.5,637615.5086002345,268807.75430011726
11,21,68,0.7,637615.5086002345,396330.85602016415
11,21,68,0.9,637615.5086002345,523853.95774021104
12,21,67,0.1,628238.8099443488,12823.880994434876
12,21,67,0.3,628238.8099443488,138471.64298330463
12,21,67,0.5,628238.8099443488,264119.4049721744
12,21,67,0.7,628238.8099443488,389767.16696104413
12,21,67,0.9,628238.8099443488,515414.92894991394
13,21,66,0.1,618862.1112884629,11886.211128846291
13,21,66,0.3,618862.1112884629,135658.63338653886
13,21,66,0.5,618862.1112884629,259431.05564423144
13,21,66,0.7,618862.1112884629,383203.477901924
13,21,66,0.9,618862.1112884629,506975.9001596166
14,20,66,0.1,609548.2712078443,10954.82712078443
14,20,66,0.3,609548.2712078443,132864.48136235328
14,20,66,0.5,609548.2712078443,254774.13560392213
14,20,66,0.7,609548.2712078443,376683.78984549094
14,20,66,0.9,609548.2712078443,498593.4440870598
15,20,65,0.1,600312.6913410587,10031.269134105874
15,20,65,0.3,600312.6913410587,130093.80740231762
15,20,65,0.5,600312.6913410587,250156.34567052935
15,20,65,0.7,600312.6913410587,370218.88393874106
15,20,65,0.9,600312.6913410587,490281.4222069528
16,20,64,0.1,591077.1114742733,9107.711147427326
16,20,64,0.3,591077.1114742733,127323.13344228198
16,20,64,0.5,591077.1114742733,245538.55573713663
16,20,64,0.7,591077.1114742733,363753.9780319913
16,20,64,0.9,591077.1114742733,481969.40032684593
17,20,63,0.1,581841.5316074877,8184.1531607487705
17,20,63,0.3,581841.5316074877,124552.45948224631
17,20,63,0.5,581841.5316074877,240920.76580374385
17,20,63,0.7,581841.5316074877,357289.0721252414
