strategy_proxy,volume_multiplier,day,pepper_pnl,end_pos,fills,first_80_ts
current_C_like,0.8,-1,79374.0,80,10,2700
current_C_like,0.8,0,79421.0,80,11,1300
current_C_like,0.8,1,79354.0,80,11,1300
current_C_like,1.0,-1,79362.0,80,8,900
current_C_like,1.0,0,79439.0,80,9,1100
current_C_like,1.0,1,79364.0,80,9,1000
current_C_like,1.25,-1,79366.0,80,7,800
current_C_like,1.25,0,79451.0,80,8,1000
current_C_like,1.25,1,79375.0,80,8,4800
uploaded_238191_like,0.8,-1,79322.0,80,8,800
uploaded_238191_like,0.8,0,79362.0,80,9,1000
uploaded_238191_like,0.8,1,79348.0,80,11,1700
uploaded_238191_like,1.0,-1,79334.0,80,7,700
uploaded_238191_like,1.0,0,79382.0,80,8,900
uploaded_238191_like,1.0,1,79364.0,80,9,1100
uploaded_238191_like,1.25,-1,79354.0,80,6,700
uploaded_238191_like,1.25,0,79417.0,80,7,900
uploaded_238191_like,1.25,1,79374.0,80,8,1000
too_fast_premium12,0.8,-1,79282.0,80,6,400
too_fast_premium12,0.8,0,79284.0,80,7,300
too_fast_premium12,0.8,1,79211.0,80,7,300
too_fast_premium12,1.0,-1,79291.0,80,5,400
too_fast_premium12,1.0,0,79293.0,80,6,300
too_fast_premium12,1.0,1,79223.0,80,6,300
too_fast_premium12,1.25,-1,79291.0,80,5,400
too_fast_premium12,1.25,0,79295.0,80,5,200
too_fast_premium12,1.25,1,79223.0,80,5,200
adaptive_trim_test,0.8,-1,79288.0,80,7,600
adaptive_trim_test,0.8,0,79311.0,80,8,700
adaptive_trim_test,0.8,1,79269.0,80,9,700
adaptive_trim_test,1.0,-1,79294.0,80,6,400
adaptive_trim_test,1.0,0,79313.0,80,7,400
adaptive_trim_test,1.0,1,79306.0,80,8,600
adaptive_trim_test,1.25,-1,79306.0,80,6,400
adaptive_trim_test,1.25,0,79321.0,80,6,300
adaptive_trim_test,1.25,1,79340.0,80,7,600
