buyer,events,product,seller
Mark 01,263,VEV_5400,Mark 22
Mark 01,299,VEV_5500,Mark 22
Mark 01,317,VEV_6000,Mark 22
Mark 01,317,VEV_6500,Mark 22
Mark 38,8,HYDROGEL_PACK,Mark 22
Mark 38,207,VEV_4000,Mark 14
Mark 55,244,VELVETFRUIT_EXTRACT,Mark 01
Mark 38,507,HYDROGEL_PACK,Mark 14
Mark 55,9,VELVETFRUIT_EXTRACT,Mark 49
Mark 67,89,VELVETFRUIT_EXTRACT,Mark 49
Mark 01,260,VELVETFRUIT_EXTRACT,Mark 55
Mark 01,132,VEV_5300,Mark 22
Mark 14,232,VEV_4000,Mark 38
Mark 67,75,VELVETFRUIT_EXTRACT,Mark 22
Mark 14,316,VELVETFRUIT_EXTRACT,Mark 55
Mark 14,496,HYDROGEL_PACK,Mark 38
Mark 22,18,VELVETFRUIT_EXTRACT,Mark 55
Mark 22,7,VELVETFRUIT_EXTRACT,Mark 49
Mark 14,7,VEV_5500,Mark 22
Mark 55,331,VELVETFRUIT_EXTRACT,Mark 14
Mark 14,30,VEV_5300,Mark 22
Mark 49,5,VELVETFRUIT_EXTRACT,Mark 55
Mark 14,13,VEV_5400,Mark 22
Mark 55,14,VELVETFRUIT_EXTRACT,Mark 22
Mark 14,33,VEV_5200,Mark 22
Mark 38,2,VEV_4000,Mark 22
Mark 38,2,VEV_4500,Mark 22
Mark 38,2,VEV_5000,Mark 22
Mark 38,2,VEV_5100,Mark 22
Mark 38,2,VEV_5200,Mark 22
Mark 38,1,VEV_5300,Mark 22
Mark 49,12,VELVETFRUIT_EXTRACT,Mark 22
Mark 22,11,HYDROGEL_PACK,Mark 38
Mark 01,11,VEV_5200,Mark 22
Mark 22,1,VEV_4000,Mark 38
Mark 22,1,VEV_4500,Mark 38
Mark 22,1,VEV_5000,Mark 38
Mark 22,1,VEV_5100,Mark 38
Mark 22,1,VEV_5200,Mark 38
Mark 22,1,VEV_5300,Mark 38
Mark 67,1,VELVETFRUIT_EXTRACT,Mark 55
