submission,strategy,product,pnl,delta_vs_baseline
524123 (kush),round4_candidate_1_522830_base.py,HYDROGEL_PACK,232.25,0.0
524123 (kush),round4_candidate_1_522830_base.py,VELVETFRUIT_EXTRACT,10005.5,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_4000,9382.40625,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_4500,9892.46875,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_5000,13740.8203125,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_5100,15111.1044921875,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_5200,8866.197265625,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_5300,5411.95703125,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_5400,2383.705078125,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_5500,962.4508056640625,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_6000,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_6500,0.0,0.0
524290 (kush),,HYDROGEL_PACK,492.75,260.5
524290 (kush),,VELVETFRUIT_EXTRACT,10005.5,0.0
524290 (kush),,VEV_4000,7844.84375,-1537.5625
524290 (kush),,VEV_4500,9918.46875,26.0
524290 (kush),,VEV_5000,13600.8203125,-140.0
524290 (kush),,VEV_5100,16044.83984375,933.7353515625
524290 (kush),,VEV_5200,8949.197265625,83.0
524290 (kush),,VEV_5300,5460.95703125,49.0
524290 (kush),,VEV_5400,2412.705078125,29.0
524290 (kush),,VEV_5500,998.4508056640625,36.0
524290 (kush),,VEV_6000,0.0,0.0
524290 (kush),,VEV_6500,0.0,0.0
524413 (kush),,HYDROGEL_PACK,492.75,260.5
524413 (kush),,VELVETFRUIT_EXTRACT,10005.5,0.0
524413 (kush),,VEV_4000,7844.84375,-1537.5625
524413 (kush),,VEV_4500,9918.46875,26.0
524413 (kush),,VEV_5000,13600.8203125,-140.0
524413 (kush),,VEV_5100,16044.83984375,933.7353515625
524413 (kush),,VEV_5200,8949.197265625,83.0
524413 (kush),,VEV_5300,5460.95703125,49.0
524413 (kush),,VEV_5400,2412.705078125,29.0
524413 (kush),,VEV_5500,998.4508056640625,36.0
524413 (kush),,VEV_6000,0.0,0.0
524413 (kush),,VEV_6500,0.0,0.0
530880,,HYDROGEL_PACK,4237.0,4004.75
530880,,VELVETFRUIT_EXTRACT,12929.5,2924.0
530880,,VEV_4000,9382.40625,0.0
530880,,VEV_4500,9892.46875,0.0
530880,,VEV_5000,15525.8203125,1785.0
530880,,VEV_5100,16465.041015625,1353.9365234375
530880,,VEV_5200,9541.0,674.802734375
530880,,VEV_5300,5795.0,383.04296875
530880,,VEV_5400,2383.705078125,0.0
530880,,VEV_5500,962.4508056640625,0.0
530880,,VEV_6000,0.0,0.0
530880,,VEV_6500,0.0,0.0
534133,,HYDROGEL_PACK,4062.0,3829.75
534133,,VELVETFRUIT_EXTRACT,12828.5,2823.0
534133,,VEV_4000,9382.40625,0.0
534133,,VEV_4500,9892.46875,0.0
534133,,VEV_5000,15525.8203125,1785.0
534133,,VEV_5100,16465.041015625,1353.9365234375
534133,,VEV_5200,9639.0,772.802734375
534133,,VEV_5300,5821.0,409.04296875
534133,,VEV_5400,2383.705078125,0.0
534133,,VEV_5500,962.4508056640625,0.0
534133,,VEV_6000,0.0,0.0
534133,,VEV_6500,0.0,0.0
