submission,strategy,product,pnl
522830 (rohan),round4_candidate_1_522830_base.py,HYDROGEL_PACK,232.25
522830 (rohan),round4_candidate_1_522830_base.py,VELVETFRUIT_EXTRACT,10005.5
522830 (rohan),round4_candidate_1_522830_base.py,VEV_4000,9382.40625
522830 (rohan),round4_candidate_1_522830_base.py,VEV_4500,9892.46875
522830 (rohan),round4_candidate_1_522830_base.py,VEV_5000,13740.8203125
522830 (rohan),round4_candidate_1_522830_base.py,VEV_5100,15111.1044921875
522830 (rohan),round4_candidate_1_522830_base.py,VEV_5200,8866.197265625
522830 (rohan),round4_candidate_1_522830_base.py,VEV_5300,5411.95703125
522830 (rohan),round4_candidate_1_522830_base.py,VEV_5400,2383.705078125
522830 (rohan),round4_candidate_1_522830_base.py,VEV_5500,962.4508056640625
522830 (rohan),round4_candidate_1_522830_base.py,VEV_6000,0.0
522830 (rohan),round4_candidate_1_522830_base.py,VEV_6500,0.0
524123 (kush),round4_candidate_1_522830_base.py,HYDROGEL_PACK,232.25
524123 (kush),round4_candidate_1_522830_base.py,VELVETFRUIT_EXTRACT,10005.5
524123 (kush),round4_candidate_1_522830_base.py,VEV_4000,9382.40625
524123 (kush),round4_candidate_1_522830_base.py,VEV_4500,9892.46875
524123 (kush),round4_candidate_1_522830_base.py,VEV_5000,13740.8203125
524123 (kush),round4_candidate_1_522830_base.py,VEV_5100,15111.1044921875
524123 (kush),round4_candidate_1_522830_base.py,VEV_5200,8866.197265625
524123 (kush),round4_candidate_1_522830_base.py,VEV_5300,5411.95703125
524123 (kush),round4_candidate_1_522830_base.py,VEV_5400,2383.705078125
524123 (kush),round4_candidate_1_522830_base.py,VEV_5500,962.4508056640625
524123 (kush),round4_candidate_1_522830_base.py,VEV_6000,0.0
524123 (kush),round4_candidate_1_522830_base.py,VEV_6500,0.0
524290 (kush),,HYDROGEL_PACK,492.75
524290 (kush),,VELVETFRUIT_EXTRACT,10005.5
524290 (kush),,VEV_4000,7844.84375
524290 (kush),,VEV_4500,9918.46875
524290 (kush),,VEV_5000,13600.8203125
524290 (kush),,VEV_5100,16044.83984375
524290 (kush),,VEV_5200,8949.197265625
524290 (kush),,VEV_5300,5460.95703125
524290 (kush),,VEV_5400,2412.705078125
524290 (kush),,VEV_5500,998.4508056640625
524290 (kush),,VEV_6000,0.0
524290 (kush),,VEV_6500,0.0
524413 (kush),,HYDROGEL_PACK,492.75
524413 (kush),,VELVETFRUIT_EXTRACT,10005.5
524413 (kush),,VEV_4000,7844.84375
524413 (kush),,VEV_4500,9918.46875
524413 (kush),,VEV_5000,13600.8203125
524413 (kush),,VEV_5100,16044.83984375
524413 (kush),,VEV_5200,8949.197265625
524413 (kush),,VEV_5300,5460.95703125
524413 (kush),,VEV_5400,2412.705078125
524413 (kush),,VEV_5500,998.4508056640625
524413 (kush),,VEV_6000,0.0
524413 (kush),,VEV_6500,0.0
530880,,HYDROGEL_PACK,4237.0
530880,,VELVETFRUIT_EXTRACT,12929.5
530880,,VEV_4000,9382.40625
530880,,VEV_4500,9892.46875
530880,,VEV_5000,15525.8203125
530880,,VEV_5100,16465.041015625
530880,,VEV_5200,9541.0
530880,,VEV_5300,5795.0
530880,,VEV_5400,2383.705078125
530880,,VEV_5500,962.4508056640625
530880,,VEV_6000,0.0
530880,,VEV_6500,0.0
534133,,HYDROGEL_PACK,4062.0
534133,,VELVETFRUIT_EXTRACT,12828.5
534133,,VEV_4000,9382.40625
534133,,VEV_4500,9892.46875
534133,,VEV_5000,15525.8203125
534133,,VEV_5100,16465.041015625
534133,,VEV_5200,9639.0
534133,,VEV_5300,5821.0
534133,,VEV_5400,2383.705078125
534133,,VEV_5500,962.4508056640625
534133,,VEV_6000,0.0
534133,,VEV_6500,0.0
