submission,strategy,checkpoint,timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
522830 (rohan),round4_candidate_1_522830_base.py,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,10000,10000,-10361.260498046875,122.1796875,-639.75,-3428.15625,-2975.1875,-1212.140625,-911.17578125,-606.6328125,-360.4296875,-266.974609375,-82.992919921875,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,20000,20000,25890.550537109375,130.5703125,3369.25,2585.46875,3038.46875,4661.78125,4479.0859375,3720.13671875,2400.5849609375,1037.70849609375,467.495361328125,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,30000,30000,39792.78015136719,211.875,4929.625,4925.9375,5378.953125,6938.1015625,6548.73828125,5337.3828125,3414.9462890625,1468.88818359375,638.3323974609375,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,40000,40000,55018.25634765625,428.3125,6640.0,7478.71875,7931.71875,9404.1015625,8801.40625,7162.74609375,4484.6669921875,1899.614990234375,786.970458984375,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,41000,41000,70299.97583007812,543.390625,8456.6875,10259.3125,10690.875,11699.2578125,10830.671875,8948.548828125,5550.41796875,2360.162841796875,960.65087890625,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,50000,50000,70221.04345703125,658.765625,9540.0,9633.625,10103.09375,11982.15625,11184.03515625,8590.37109375,5301.5439453125,2282.0751953125,945.37744140625,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,60000,60000,70957.48266601562,1158.21875,9545.875,9759.125,10231.421875,11855.0859375,11065.82421875,8685.873046875,5376.8681640625,2311.102294921875,968.08837890625,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,70000,70000,69949.99865722656,914.6875,10632.875,8441.09375,8966.15625,13120.0859375,12021.82421875,8002.1640625,4906.2734375,2079.62353515625,865.2149658203125,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,80000,80000,68522.87219238281,952.4375,11254.875,7508.21875,8070.578125,14261.9296875,11594.02734375,7447.962890625,4643.55859375,1979.628662109375,809.6556396484375,0.0,0.0
