submission,strategy,start,end,total_delta,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
522830 (rohan),round4_candidate_1_522830_base.py,0,10000,-10361.260498046875,122.1796875,-639.75,-3428.15625,-2975.1875,-1212.140625,-911.17578125,-606.6328125,-360.4296875,-266.974609375,-82.992919921875,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,10000,20000,36251.81103515625,8.390625,4009.0,6013.625,6013.65625,5873.921875,5390.26171875,4326.76953125,2761.0146484375,1304.68310546875,550.48828125,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,20000,30000,13902.229614257812,81.3046875,1560.375,2340.46875,2340.484375,2276.3203125,2069.65234375,1617.24609375,1014.361328125,431.1796875,170.8370361328125,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,30000,40000,15225.476196289062,216.4375,1710.375,2552.78125,2552.765625,2466.0,2252.66796875,1825.36328125,1069.720703125,430.726806640625,148.6380615234375,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,40000,50000,15202.787109375,230.453125,2900.0,2154.90625,2171.375,2578.0546875,2382.62890625,1427.625,816.876953125,382.460205078125,158.406982421875,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,50000,60000,736.439208984375,499.453125,5.875,125.5,128.328125,-127.0703125,-118.2109375,95.501953125,75.32421875,29.027099609375,22.7109375,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,60000,70000,-1007.4840087890625,-243.53125,1087.0,-1318.03125,-1265.265625,1265.0,956.0,-683.708984375,-470.5947265625,-231.478759765625,-102.8734130859375,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,70000,80000,-1427.12646484375,37.75,622.0,-932.875,-895.578125,1141.84375,-427.796875,-554.201171875,-262.71484375,-99.994873046875,-55.559326171875,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,80000,90000,9339.675415039062,-85.9375,-2357.25,3535.84375,3401.109375,-2121.7890625,2463.412109375,2309.583984375,1303.8828125,660.5146484375,230.3052978515625,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,90000,99900,-1873.6876220703125,-634.25,1107.875,-1661.65625,-1579.21875,1600.6796875,1053.6650390625,-891.349609375,-535.484375,-256.438232421875,-77.5101318359375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,0,10000,-10361.260498046875,122.1796875,-639.75,-3428.15625,-2975.1875,-1212.140625,-911.17578125,-606.6328125,-360.4296875,-266.974609375,-82.992919921875,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,10000,20000,36251.81103515625,8.390625,4009.0,6013.625,6013.65625,5873.921875,5390.26171875,4326.76953125,2761.0146484375,1304.68310546875,550.48828125,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,20000,30000,13902.229614257812,81.3046875,1560.375,2340.46875,2340.484375,2276.3203125,2069.65234375,1617.24609375,1014.361328125,431.1796875,170.8370361328125,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,30000,40000,15225.476196289062,216.4375,1710.375,2552.78125,2552.765625,2466.0,2252.66796875,1825.36328125,1069.720703125,430.726806640625,148.6380615234375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,40000,50000,15202.787109375,230.453125,2900.0,2154.90625,2171.375,2578.0546875,2382.62890625,1427.625,816.876953125,382.460205078125,158.406982421875,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,50000,60000,736.439208984375,499.453125,5.875,125.5,128.328125,-127.0703125,-118.2109375,95.501953125,75.32421875,29.027099609375,22.7109375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,60000,70000,-1007.4840087890625,-243.53125,1087.0,-1318.03125,-1265.265625,1265.0,956.0,-683.708984375,-470.5947265625,-231.478759765625,-102.8734130859375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,70000,80000,-1427.12646484375,37.75,622.0,-932.875,-895.578125,1141.84375,-427.796875,-554.201171875,-262.71484375,-99.994873046875,-55.559326171875,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,80000,90000,9339.675415039062,-85.9375,-2357.25,3535.84375,3401.109375,-2121.7890625,2463.412109375,2309.583984375,1303.8828125,660.5146484375,230.3052978515625,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,90000,99900,-1873.6876220703125,-634.25,1107.875,-1661.65625,-1579.21875,1600.6796875,1053.6650390625,-891.349609375,-535.484375,-256.438232421875,-77.5101318359375,0.0,0.0
524290 (kush),,0,10000,-9315.635498046875,122.1796875,-639.75,-2702.53125,-2949.1875,-1183.140625,-843.17578125,-523.6328125,-311.4296875,-237.974609375,-46.992919921875,0.0,0.0
524290 (kush),,10000,20000,35215.68603515625,34.671875,4009.0,4951.21875,6013.65625,5873.921875,5390.26171875,4326.76953125,2761.0146484375,1304.68310546875,550.48828125,0.0,0.0
524290 (kush),,20000,30000,13423.440551757812,15.984375,1560.375,1927.0,2340.484375,2276.3203125,2069.65234375,1617.24609375,1014.361328125,431.1796875,170.8370361328125,0.0,0.0
524290 (kush),,30000,40000,14784.468383789062,226.3984375,1710.375,2101.8125,2552.765625,2466.0,2252.66796875,1825.36328125,1069.720703125,430.726806640625,148.6380615234375,0.0,0.0
524290 (kush),,40000,50000,15142.123046875,206.1875,2900.0,1774.1875,2171.375,2664.171875,2640.83203125,1427.625,816.876953125,382.460205078125,158.406982421875,0.0,0.0
524290 (kush),,50000,60000,918.712646484375,585.140625,5.875,103.34375,128.328125,-17.125,-109.4140625,95.501953125,75.32421875,29.027099609375,22.7109375,0.0,0.0
524290 (kush),,60000,70000,-637.3062744140625,-270.625,1087.0,-1085.1875,-1265.265625,1323.9375,1061.490234375,-683.708984375,-470.5947265625,-231.478759765625,-102.8734130859375,0.0,0.0
524290 (kush),,70000,80000,-318.75732421875,62.5625,622.0,-768.09375,-895.578125,1066.109375,566.712890625,-554.201171875,-262.71484375,-99.994873046875,-55.559326171875,0.0,0.0
524290 (kush),,80000,90000,8602.629516601562,-46.59375,-2357.25,2911.1875,3401.109375,-2470.0546875,2659.9443359375,2309.583984375,1303.8828125,660.5146484375,230.3052978515625,0.0,0.0
524290 (kush),,90000,99900,-2086.8282470703125,-443.15625,1107.875,-1368.09375,-1579.21875,1600.6796875,355.8681640625,-891.349609375,-535.484375,-256.438232421875,-77.5101318359375,0.0,0.0
524413 (kush),,0,10000,-9315.635498046875,122.1796875,-639.75,-2702.53125,-2949.1875,-1183.140625,-843.17578125,-523.6328125,-311.4296875,-237.974609375,-46.992919921875,0.0,0.0
524413 (kush),,10000,20000,35215.68603515625,34.671875,4009.0,4951.21875,6013.65625,5873.921875,5390.26171875,4326.76953125,2761.0146484375,1304.68310546875,550.48828125,0.0,0.0
524413 (kush),,20000,30000,13423.440551757812,15.984375,1560.375,1927.0,2340.484375,2276.3203125,2069.65234375,1617.24609375,1014.361328125,431.1796875,170.8370361328125,0.0,0.0
524413 (kush),,30000,40000,14784.468383789062,226.3984375,1710.375,2101.8125,2552.765625,2466.0,2252.66796875,1825.36328125,1069.720703125,430.726806640625,148.6380615234375,0.0,0.0
524413 (kush),,40000,50000,15142.123046875,206.1875,2900.0,1774.1875,2171.375,2664.171875,2640.83203125,1427.625,816.876953125,382.460205078125,158.406982421875,0.0,0.0
524413 (kush),,50000,60000,918.712646484375,585.140625,5.875,103.34375,128.328125,-17.125,-109.4140625,95.501953125,75.32421875,29.027099609375,22.7109375,0.0,0.0
524413 (kush),,60000,70000,-637.3062744140625,-270.625,1087.0,-1085.1875,-1265.265625,1323.9375,1061.490234375,-683.708984375,-470.5947265625,-231.478759765625,-102.8734130859375,0.0,0.0
524413 (kush),,70000,80000,-318.75732421875,62.5625,622.0,-768.09375,-895.578125,1066.109375,566.712890625,-554.201171875,-262.71484375,-99.994873046875,-55.559326171875,0.0,0.0
524413 (kush),,80000,90000,8602.629516601562,-46.59375,-2357.25,2911.1875,3401.109375,-2470.0546875,2659.9443359375,2309.583984375,1303.8828125,660.5146484375,230.3052978515625,0.0,0.0
524413 (kush),,90000,99900,-2086.8282470703125,-443.15625,1107.875,-1368.09375,-1579.21875,1600.6796875,355.8681640625,-891.349609375,-535.484375,-256.438232421875,-77.5101318359375,0.0,0.0
530880,,0,10000,-12683.565185546875,-2297.125,-639.75,-3428.15625,-2975.1875,-1183.140625,-843.17578125,-606.6328125,-360.4296875,-266.974609375,-82.992919921875,0.0,0.0
530880,,10000,20000,37211.79541015625,968.375,4009.0,6013.625,6013.65625,5873.921875,5390.26171875,4326.76953125,2761.0146484375,1304.68310546875,550.48828125,0.0,0.0
530880,,20000,30000,16846.424926757812,3025.5,1560.375,2340.46875,2340.484375,2276.3203125,2069.65234375,1617.24609375,1014.361328125,431.1796875,170.8370361328125,0.0,0.0
530880,,30000,40000,14386.788696289062,-622.25,1710.375,2552.78125,2552.765625,2466.0,2252.66796875,1825.36328125,1069.720703125,430.726806640625,148.6380615234375,0.0,0.0
530880,,40000,50000,17451.404296875,2134.75,2900.0,2154.90625,2171.375,2664.171875,2640.83203125,1427.625,816.876953125,382.460205078125,158.406982421875,0.0,0.0
530880,,50000,60000,2838.978271484375,2483.25,5.875,125.5,128.328125,-17.125,-109.4140625,95.501953125,75.32421875,29.027099609375,22.7109375,0.0,0.0
530880,,60000,70000,-2055.0250244140625,-1455.5,1087.0,-1318.03125,-1265.265625,1323.9375,1061.490234375,-683.708984375,-470.5947265625,-231.478759765625,-102.8734130859375,0.0,0.0
530880,,70000,80000,-8.17138671875,0.0,1122.125,-932.875,-895.578125,1103.9140625,566.712890625,-554.201171875,-262.71484375,-99.994873046875,-55.559326171875,0.0,0.0
530880,,80000,90000,13041.261352539062,0.0,66.625,3535.84375,3401.109375,-582.859375,2485.244140625,2093.037109375,1151.44140625,660.5146484375,230.3052978515625,0.0,0.0
530880,,90000,99900,84.5008544921875,0.0,1107.875,-1661.65625,-1579.21875,1600.6796875,950.76953125,0.0,0.0,-256.438232421875,-77.5101318359375,0.0,0.0
