Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_319_c15_hydro_plus14_weak86000.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_319_c15_hydro_plus14_weak86000_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_319_c15_hydro_plus14_weak86000_xeeshan_window,pending
round4_exp_320_c15_hydro_plus14_optionmark025_edges_125_025.py,skipped,skipped,"84,002",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_320_c15_hydro_plus14_optionmark025_edges_125_025_kevin_window,"84,002",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_320_c15_hydro_plus14_optionmark025_edges_125_025_xeeshan_window,pending
round4_exp_321_c15_hydro_plus14_weak86000_edges_125_025.py,skipped,skipped,"84,066",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_321_c15_hydro_plus14_weak86000_edges_125_025_kevin_window,"84,066",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_321_c15_hydro_plus14_weak86000_edges_125_025_xeeshan_window,pending
round4_exp_322_c15_hydro_plus14_weak86000_optionmark025.py,skipped,skipped,"84,010",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_322_c15_hydro_plus14_weak86000_optionmark025_kevin_window,"84,010",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_322_c15_hydro_plus14_weak86000_optionmark025_xeeshan_window,pending
round4_exp_323_c15_hydro_plus14_weak86000_optionmark025_edges.py,skipped,skipped,"84,126",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_323_c15_hydro_plus14_weak86000_optionmark025_edges_kevin_window,"84,126",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_323_c15_hydro_plus14_weak86000_optionmark025_edges_xeeshan_window,pending
round4_exp_324_c15_hydro_plus14_weak87300.py,skipped,skipped,"84,070",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_324_c15_hydro_plus14_weak87300_kevin_window,"84,070",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_324_c15_hydro_plus14_weak87300_xeeshan_window,pending
round4_exp_325_c15_hydro_plus14_edges_125_025.py,skipped,skipped,"83,942",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_325_c15_hydro_plus14_edges_125_025_kevin_window,"83,942",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_325_c15_hydro_plus14_edges_125_025_xeeshan_window,pending
round4_exp_326_c15_hydro_plus14_optionmark025.py,skipped,skipped,"83,886",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_326_c15_hydro_plus14_optionmark025_kevin_window,"83,886",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_326_c15_hydro_plus14_optionmark025_xeeshan_window,pending
round4_exp_327_c15_hydro_mark14_05.py,skipped,skipped,"84,004",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_327_c15_hydro_mark14_05_kevin_window,"84,004",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_327_c15_hydro_mark14_05_xeeshan_window,pending
round4_exp_328_c15_hydro_mark14_15.py,skipped,skipped,"83,920",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_328_c15_hydro_mark14_15_kevin_window,"83,920",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_batch3_window_20260428_010003\round4_exp_328_c15_hydro_mark14_15_xeeshan_window,pending
