Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_376_reentry80000_plus14_weak86000.py,skipped,skipped,"83,966",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_376_reentry80000_plus14_weak86000_kevin_window,"83,966",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_376_reentry80000_plus14_weak86000_xeeshan_window,pending
round4_exp_377_reentry80000_hydro075_weak86000.py,skipped,skipped,"84,080",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_377_reentry80000_hydro075_weak86000_kevin_window,"84,080",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_377_reentry80000_hydro075_weak86000_xeeshan_window,pending
round4_exp_378_reentry80000_hydro025_weak86000.py,skipped,skipped,"84,442",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_378_reentry80000_hydro025_weak86000_kevin_window,"84,442",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_378_reentry80000_hydro025_weak86000_xeeshan_window,pending
round4_exp_379_reentry80000_weak86000.py,skipped,skipped,"83,348",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_379_reentry80000_weak86000_kevin_window,"83,348",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_379_reentry80000_weak86000_xeeshan_window,pending
round4_exp_380_reentry80000_plus14.py,skipped,skipped,"83,842",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_380_reentry80000_plus14_kevin_window,"83,842",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_380_reentry80000_plus14_xeeshan_window,pending
round4_exp_381_reentry80000_hydro075.py,skipped,skipped,"83,956",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_381_reentry80000_hydro075_kevin_window,"83,956",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_381_reentry80000_hydro075_xeeshan_window,pending
round4_exp_382_reentry80000_hydro025.py,skipped,skipped,"84,318",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_382_reentry80000_hydro025_kevin_window,"84,318",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_382_reentry80000_hydro025_xeeshan_window,pending
round4_exp_319_c15_hydro_plus14_weak86000.py,skipped,skipped,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_319_c15_hydro_plus14_weak86000_kevin_window,"84,074",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_exp_319_c15_hydro_plus14_weak86000_xeeshan_window,pending
round4_candidate_13_cooldown80000_reentry.py,skipped,skipped,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_candidate_13_cooldown80000_reentry_kevin_window,"83,224",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_candidate_13_cooldown80000_reentry_xeeshan_window,pending
round4_candidate_16_best_combo.py,skipped,skipped,"83,590",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_candidate_16_best_combo_kevin_window,"83,596",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\continued_loop_reentry80_combo_window_20260428_012655\round4_candidate_16_best_combo_xeeshan_window,pending
