{'Strategy': 'round4_exp_220_hydro_mark_lock.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,447', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_220_hydro_mark_lock_kevin_window', 'Window Xeeshan': '81,558', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_220_hydro_mark_lock_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_221_hydro_mark_lock_strong.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '81,323', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_221_hydro_mark_lock_strong_kevin_window', 'Window Xeeshan': '81,329', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_221_hydro_mark_lock_strong_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_222_hydro_tighter_active.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,268', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_222_hydro_tighter_active_kevin_window', 'Window Xeeshan': '80,268', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_222_hydro_tighter_active_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_223_hydro_tighter_nomaker.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,239', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_223_hydro_tighter_nomaker_kevin_window', 'Window Xeeshan': '80,239', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_223_hydro_tighter_nomaker_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_224_hydro_mark_after40_lock.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '81,064', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_224_hydro_mark_after40_lock_kevin_window', 'Window Xeeshan': '81,064', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_224_hydro_mark_after40_lock_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_225_cooldown_reentry_78000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '83,202', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_225_cooldown_reentry_78000_kevin_window', 'Window Xeeshan': '83,202', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_225_cooldown_reentry_78000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_226_cooldown_reentry_80000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '83,224', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_226_cooldown_reentry_80000_kevin_window', 'Window Xeeshan': '83,224', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_226_cooldown_reentry_80000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_227_cooldown_reentry_82000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '83,304', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_227_cooldown_reentry_82000_kevin_window', 'Window Xeeshan': '83,304', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_227_cooldown_reentry_82000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_228_cooldown_reentry_85000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '83,332', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_228_cooldown_reentry_85000_kevin_window', 'Window Xeeshan': '83,332', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_228_cooldown_reentry_85000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_229_cooldown80000_5100size15.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '82,808', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_229_cooldown80000_5100size15_kevin_window', 'Window Xeeshan': '82,808', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_229_cooldown80000_5100size15_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_230_cooldown80000_hydro_mark_lock.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '82,608', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_230_cooldown80000_hydro_mark_lock_kevin_window', 'Window Xeeshan': '83,718', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_structural_batch_window_20260427_233134\\round4_exp_230_cooldown80000_hydro_mark_lock_xeeshan_window', 'Official': 'pending'}
