{'Strategy': 'round4_exp_60_grid_vfe71000_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '78,313', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_60_grid_vfe71000_vev5000_71200_kevin_window', 'Window Xeeshan': '78,313', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_60_grid_vfe71000_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_61_grid_vfe71000_vev5000_71600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,086', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_61_grid_vfe71000_vev5000_71600_kevin_window', 'Window Xeeshan': '79,086', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_61_grid_vfe71000_vev5000_71600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_62_grid_vfe71000_vev5000_71900.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,244', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_62_grid_vfe71000_vev5000_71900_kevin_window', 'Window Xeeshan': '79,244', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_62_grid_vfe71000_vev5000_71900_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_63_grid_vfe71000_vev5000_72200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,121', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_63_grid_vfe71000_vev5000_72200_kevin_window', 'Window Xeeshan': '79,121', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_63_grid_vfe71000_vev5000_72200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_64_grid_vfe71000_vev5000_72600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,264', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_64_grid_vfe71000_vev5000_72600_kevin_window', 'Window Xeeshan': '79,264', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_64_grid_vfe71000_vev5000_72600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_65_grid_vfe71000_vev5000_73000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,272', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_65_grid_vfe71000_vev5000_73000_kevin_window', 'Window Xeeshan': '79,272', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_65_grid_vfe71000_vev5000_73000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_66_grid_vfe71400_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,010', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_66_grid_vfe71400_vev5000_71200_kevin_window', 'Window Xeeshan': '79,010', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_66_grid_vfe71400_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_67_grid_vfe71400_vev5000_71600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,783', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_67_grid_vfe71400_vev5000_71600_kevin_window', 'Window Xeeshan': '79,783', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_67_grid_vfe71400_vev5000_71600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_68_grid_vfe71400_vev5000_71900.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,941', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_68_grid_vfe71400_vev5000_71900_kevin_window', 'Window Xeeshan': '79,941', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_68_grid_vfe71400_vev5000_71900_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_69_grid_vfe71400_vev5000_72200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,818', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_69_grid_vfe71400_vev5000_72200_kevin_window', 'Window Xeeshan': '79,818', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_69_grid_vfe71400_vev5000_72200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_70_grid_vfe71400_vev5000_72600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,961', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_70_grid_vfe71400_vev5000_72600_kevin_window', 'Window Xeeshan': '79,961', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_70_grid_vfe71400_vev5000_72600_xeeshan_window', 'Official': 'pending'}
