Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
round4_exp_416_reentry80000_hydro025_profitlock_91800.py,skipped,skipped,"83,886",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_416_reentry80000_hydro025_profitlock_91800_kevin_window,"83,886",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_416_reentry80000_hydro025_profitlock_91800_xeeshan_window,pending
round4_exp_417_reentry80000_hydro025_profitlock_92400.py,skipped,skipped,"85,426",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_417_reentry80000_hydro025_profitlock_92400_kevin_window,"85,426",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_417_reentry80000_hydro025_profitlock_92400_xeeshan_window,pending
round4_exp_418_reentry80000_hydro025_profitlock_93000.py,skipped,skipped,"85,029",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_418_reentry80000_hydro025_profitlock_93000_kevin_window,"85,029",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_418_reentry80000_hydro025_profitlock_93000_xeeshan_window,pending
round4_exp_419_reentry80000_hydro025_profitlock_93600.py,skipped,skipped,"84,112",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_419_reentry80000_hydro025_profitlock_93600_kevin_window,"84,112",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_419_reentry80000_hydro025_profitlock_93600_xeeshan_window,pending
round4_exp_420_reentry80000_hydro075_profitlock_91800.py,skipped,skipped,"83,524",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_420_reentry80000_hydro075_profitlock_91800_kevin_window,"83,524",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_420_reentry80000_hydro075_profitlock_91800_xeeshan_window,pending
round4_exp_421_reentry80000_hydro075_profitlock_93000.py,skipped,skipped,"84,667",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_421_reentry80000_hydro075_profitlock_93000_kevin_window,"84,667",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_421_reentry80000_hydro075_profitlock_93000_xeeshan_window,pending
round4_exp_422_reentry80000_hydro075_profitlock_93600.py,skipped,skipped,"83,750",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_422_reentry80000_hydro075_profitlock_93600_kevin_window,"83,750",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_422_reentry80000_hydro075_profitlock_93600_xeeshan_window,pending
round4_exp_423_reentry80000_hydro075_profitlock_94200.py,skipped,skipped,"83,139",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_423_reentry80000_hydro075_profitlock_94200_kevin_window,"83,139",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_423_reentry80000_hydro075_profitlock_94200_xeeshan_window,pending
round4_exp_412_reentry80000_hydro075_weak86000_exit_vfe_5000_5100_92400.py,skipped,skipped,"85,064",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_412_reentry80000_hydro075_weak86000_exit_vfe_5000_5100_92400_kevin_window,"85,064",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_412_reentry80000_hydro075_weak86000_exit_vfe_5000_5100_92400_xeeshan_window,pending
round4_exp_378_reentry80000_hydro025_weak86000.py,skipped,skipped,"84,442",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_378_reentry80000_hydro025_weak86000_kevin_window,"84,442",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\plock2_20260428_015324\round4_exp_378_reentry80000_hydro025_weak86000_xeeshan_window,pending
