Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
r4_target_option_size_10_free_bids_large.py,skipped,skipped,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_free_bids_large_kevin_window,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_free_bids_large_xeeshan_window,pending
r4_target_option_size_10_free_bids_off.py,skipped,skipped,"77,272",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_free_bids_off_kevin_window,"77,272",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_free_bids_off_xeeshan_window,pending
r4_target_option_size_10_free_bids_small.py,skipped,skipped,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_free_bids_small_kevin_window,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_free_bids_small_xeeshan_window,pending
r4_target_option_size_10_hydro_fair_off.py,skipped,skipped,"77,402",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_hydro_fair_off_kevin_window,"77,402",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_hydro_fair_off_xeeshan_window,pending
r4_target_option_size_10_hydro_passive_off.py,skipped,skipped,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_hydro_passive_off_kevin_window,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_hydro_passive_off_xeeshan_window,pending
r4_target_option_size_10_looser_mid_edges.py,skipped,skipped,"77,246",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_looser_mid_edges_kevin_window,"77,246",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_looser_mid_edges_xeeshan_window,pending
r4_target_option_size_10_nohydro_vfe_conservative.py,skipped,skipped,"75,665",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_nohydro_vfe_conservative_kevin_window,"75,665",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_nohydro_vfe_conservative_xeeshan_window,pending
r4_target_option_size_10_nohydro.py,skipped,skipped,"77,402",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_nohydro_kevin_window,"77,402",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_nohydro_xeeshan_window,pending
r4_target_option_size_10_safer_edges.py,skipped,skipped,"76,807",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_safer_edges_kevin_window,"76,807",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_safer_edges_xeeshan_window,pending
r4_target_option_size_10_vfe_conservative.py,skipped,skipped,"75,583",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_vfe_conservative_kevin_window,"75,583",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_targeted_window_probe_20260427_191602\r4_target_option_size_10_vfe_conservative_xeeshan_window,pending
