Strategy,Full Kevin,Full Xeeshan,Window Kevin,Window Kevin Run,Window Xeeshan,Window Xeeshan Run,Official
r4_probe2_all_three.py,skipped,skipped,"75,719",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_all_three_kevin_window,"75,719",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_all_three_xeeshan_window,pending
r4_probe2_lower_mid_clean.py,skipped,skipped,"53,700",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_lower_mid_clean_kevin_window,"53,700",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_lower_mid_clean_xeeshan_window,pending
r4_probe2_mid_vouchers_clean.py,skipped,skipped,"57,104",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_mid_vouchers_clean_kevin_window,"57,104",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_mid_vouchers_clean_xeeshan_window,pending
r4_probe2_no_deep_keep_far.py,skipped,skipped,"57,152",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_no_deep_keep_far_kevin_window,"57,152",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_no_deep_keep_far_xeeshan_window,pending
r4_probe2_no_far_zero_clean.py,skipped,skipped,"75,992",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_no_far_zero_clean_kevin_window,"75,992",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_no_far_zero_clean_xeeshan_window,pending
r4_probe2_nohydro_optsize12.py,skipped,skipped,"77,004",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_nohydro_optsize12_kevin_window,"77,004",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_nohydro_optsize12_xeeshan_window,pending
r4_probe2_nohydro_vfeless.py,skipped,skipped,"76,209",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_nohydro_vfeless_kevin_window,"76,209",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_nohydro_vfeless_xeeshan_window,pending
r4_probe2_option_size_10.py,skipped,skipped,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_10_kevin_window,"77,320",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_10_xeeshan_window,pending
r4_probe2_option_size_12.py,skipped,skipped,"76,922",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_12_kevin_window,"76,922",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_12_xeeshan_window,pending
r4_probe2_option_size_14.py,skipped,skipped,"76,690",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_14_kevin_window,"76,690",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_14_xeeshan_window,pending
r4_probe2_option_size_16.py,skipped,skipped,"76,506",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_16_kevin_window,"76,506",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_16_xeeshan_window,pending
r4_probe2_option_size_18.py,skipped,skipped,"76,292",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_18_kevin_window,"76,292",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_18_xeeshan_window,pending
r4_probe2_option_size_6.py,skipped,skipped,"75,617",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_6_kevin_window,"75,617",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_6_xeeshan_window,pending
r4_probe2_option_size_8.py,skipped,skipped,"76,854",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_8_kevin_window,"76,854",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_option_size_8_xeeshan_window,pending
r4_probe2_vfeless_optsize12.py,skipped,skipped,"75,637",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_vfeless_optsize12_kevin_window,"75,637",C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND4\research\outputs\strategy_runs\r4_window_probe2_20260427_191203\r4_probe2_vfeless_optsize12_xeeshan_window,pending
