category,category_oracle_ceiling,portal_oracle_ceiling,usable_category_curve,usable_synthetic_fair_value,semantic_structure,lead_lag_structure,microstructure_edge,products_use_different_strategies,tradeable_products,anchor_only_products,excluded_products,candidate_16_20_integration
PEBBLES,13463352.773166668,452554.19999999995,False,False,,,,True,"PEBBLES_XL,PEBBLES_M,PEBBLES_XS,PEBBLES_S,PEBBLES_L",,,core candidate 13 improvement; trade all five via exact fair-value scanner
MICROCHIP,10883851.032000002,363348.6,True,False,MICROCHIP_SQUARE,,,True,MICROCHIP_SQUARE,,"MICROCHIP_RECTANGLE,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE",candidate 18 only as MICROCHIP-specific test; do not blend blindly
ROBOT,7659699.693000002,239893.60499999998,False,False,,,,True,,,"ROBOT_DISHES,ROBOT_IRONING,ROBOT_LAUNDRY,ROBOT_MOPPING,ROBOT_VACUUMING",anchor/exclude unless new evidence appears
SLEEP_POD,7215947.499,251924.82,True,False,"SLEEP_POD_COTTON,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER",,,True,,"SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON","SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE",anchor/exclude unless new evidence appears
TRANSLATOR,6440574.990333334,217751.47000000003,False,False,,,,True,,,"TRANSLATOR_VOID_BLUE,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY",anchor/exclude unless new evidence appears
PANEL,6101461.6205,196555.095,True,False,PANEL_2X2,,,True,,PANEL_2X2,"PANEL_1X4,PANEL_2X4,PANEL_4X4,PANEL_1X2",anchor/exclude unless new evidence appears
OXYGEN_SHAKE,5254022.637166667,163238.245,False,False,,,,True,,,"OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH",anchor/exclude unless new evidence appears
GALAXY_SOUNDS,5187309.693500001,180932.83000000002,False,False,,,,True,,,"GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS",anchor/exclude unless new evidence appears
UV_VISOR,4928751.875166667,163278.17,True,False,UV_VISOR_AMBER,,,True,UV_VISOR_AMBER,,"UV_VISOR_MAGENTA,UV_VISOR_ORANGE,UV_VISOR_YELLOW,UV_VISOR_RED",candidate 17 scanner only; product-specific edge-gated
SNACKPACK,1177341.7995000002,40444.034999999996,False,False,,,,True,,,"SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA",anchor/exclude unless new evidence appears
