product,category,data_health,full_oracle_ceiling,portal_oracle_ceiling,best_signal_family,best_signal_proxy,portal_signal_proxy,fair_model,fair_quality,best_model_type,residual_vol,residual_abs_median,mean_spread,median_spread,spread_execution_profile,signal_stability_by_day,positive_blocks,total_blocks,lead_lag_behavior,best_leader,best_lead_lag_corr,mean_reversion_behavior,momentum_behavior,microstructure_imbalance_behavior,regime_sensitivity,expected_passive_fill_quality,expected_taker_quality,executable_edge_proxy_after_costs,role,suggested_strategy_role,confidence_level,main_overfit_risk,signal_detail
PEBBLES_XL,PEBBLES,good,5033515.763,174799.79999999996,50_tick_reversal,21560.74,6109.9,candidate13_online_size_line,structural_candidate_validated,structural,1671.9792053532979,1334.0,16.630766666666666,17.0,moderate,2/3 positive days,13,30,weak,PEBBLES_L,-0.011767314493173395,positive,weak,weak,block-fragile,unknown,possible,21560.74,trade,50_tick_reversal,medium,timestamp-block concentration,"corr=0.0591; day_proxy=[-2970.2, 11973.3, 12584.6]"
PEBBLES_M,PEBBLES,good,1991061.8324999998,64907.73000000001,25_tick_reversal,12551.0,3000.2,candidate13_online_size_line,structural_candidate_validated,structural,859.7698853518273,747.4375,13.1209,13.0,moderate,3/3 positive days,15,30,weak,PEBBLES_L,0.012893985032817554,positive,weak,weak,acceptable,unknown,weak,12551.0,trade,25_tick_reversal,high,execution/fill translation,"corr=0.0444; day_proxy=[5192.7, 5056.0, 2300.8]"
PEBBLES_XS,PEBBLES,good,2334755.8006666666,81383.62499999999,10_tick_reversal,7011.3,1701.6,candidate13_online_size_line,structural_candidate_validated,structural,1001.701049971614,745.75,9.744866666666667,9.0,tight,3/3 positive days,19,30,weak,PEBBLES_M,0.012326907909471515,positive,weak,weak,acceptable,unknown,weak,7011.3,trade,10_tick_reversal,high,execution/fill translation,"corr=0.0335; day_proxy=[231.5, 1082.2, 5771.6]"
UV_VISOR_AMBER,UV_VISOR,good,748315.6425000003,23388.89,50_tick_momentum,6885.7,1235.16,semantic_leave_one_line,semantic,semantic/name-based,1334.5733058262801,3282.05,10.3205,10.0,tight,3/3 positive days,18,30,weak,UV_VISOR_MAGENTA,-0.007880621678243572,weak,positive,weak,acceptable,possible,weak,6885.7,trade,50_tick_momentum,high,execution/fill translation,"corr=0.0424; day_proxy=[3699.3, 1851.9, 2339.5]"
MICROCHIP_SQUARE,MICROCHIP,good,3345558.7100000004,134734.88,25_tick_reversal,5867.36,1794.4,semantic_leave_one_line,semantic,semantic/name-based,2422.4152331654955,5584.055808929428,11.7188,12.0,moderate,3/3 positive days,13,30,weak,MICROCHIP_TRIANGLE,0.005175774920741081,positive,weak,weak,block-fragile,possible,weak,5867.36,trade,25_tick_reversal,high,timestamp-block concentration,"corr=0.0088; day_proxy=[22.7, 748.0, 3613.6]"
PEBBLES_S,PEBBLES,good,2126582.522,70006.67,50_tick_momentum,4418.7,1587.28,candidate13_online_size_line,structural_candidate_validated,structural,541.3254658769755,414.28571428571377,11.551533333333333,12.0,moderate,2/3 positive days,19,30,weak,PEBBLES_XL,-0.006716115367835062,weak,positive,weak,acceptable,unknown,weak,4418.7,trade,50_tick_momentum,medium,execution/fill translation,"corr=0.0158; day_proxy=[3691.9, -6378.8, 6703.0]"
PEBBLES_L,PEBBLES,good,1977436.855,61456.37500000001,50_tick_momentum,1393.06,1994.06,candidate13_online_size_line,structural_candidate_validated,structural,1251.9383463515612,1474.8571428571431,13.0205,13.0,moderate,2/3 positive days,15,30,weak,PEBBLES_M,-0.005476283708020543,weak,positive,weak,acceptable,unknown,weak,1393.06,trade,50_tick_momentum,medium,execution/fill translation,"corr=-0.0143; day_proxy=[7543.1, 2955.2, -9141.4]"
ROBOT_DISHES,ROBOT,good,1721124.3473333332,51355.805,1_tick_reversal,137270.0,1300.8,category_leave_one_mean,weak,statistical/time-series,818.7883731199933,564.625,7.350266666666666,7.0,tight,1/3 positive days,11,30,weak,ROBOT_MOPPING,-0.009135297434081634,positive,weak,weak,block-fragile,unknown,possible,137270.0,exclude,exclude,low,one-day signal,"corr=0.2317; day_proxy=[-26037.0, -28595.0, 187617.0]"
ROBOT_IRONING,ROBOT,good,1530467.444,46103.58499999999,2_tick_reversal,8217.5,998.0,category_leave_one_mean,weak,statistical/time-series,808.0235970491046,1273.875,6.392933333333334,6.0,tight,3/3 positive days,19,30,weak,ROBOT_MOPPING,0.0059419734790477265,positive,weak,weak,acceptable,unknown,weak,8217.5,exclude,exclude,low,execution/fill translation,"corr=0.0846; day_proxy=[5985.0, 1981.0, 1249.0]"
PANEL_1X4,PANEL,good,1221942.8080000002,35987.575,50_tick_momentum,7990.9,1083.44,semantic_leave_one_line,weak,statistical/time-series,874.4423550069291,838.0439130434788,8.376633333333332,8.0,tight,2/3 positive days,12,30,weak,PANEL_1X2,0.008632731211607066,weak,positive,weak,block-fragile,unknown,weak,7990.9,exclude,exclude,low,timestamp-block concentration,"corr=0.0902; day_proxy=[3672.9, 3758.7, -925.5]"
MICROCHIP_RECTANGLE,MICROCHIP,good,2088829.0630000003,63805.419999999984,25_tick_reversal,7944.88,881.08,semantic_leave_one_line,weak,statistical/time-series,894.5255756372712,1407.9401098901099,7.885766666666667,8.0,tight,1/3 positive days,14,30,weak,MICROCHIP_TRIANGLE,-0.006782259874610836,positive,weak,weak,acceptable,unknown,weak,7944.88,exclude,exclude,low,one-day signal,"corr=0.0449; day_proxy=[9775.0, -1531.2, -710.1]"
