strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_c35_stack_broad_gated.py,kevin,full,False,343506.0,0,344.99,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_c35_stack_broad_gated_kevin_full_stdout.txt
probe_c35_stack_broad_gated.py,xeeshan,full,False,343522.0,0,338.4,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_c35_stack_broad_gated_xeeshan_full_stdout.txt
probe_c35_stack_robust.py,kevin,full,False,297148.0,0,237.71,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_c35_stack_robust_kevin_full_stdout.txt
probe_c35_stack_robust.py,xeeshan,full,False,297164.0,0,228.26,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_c35_stack_robust_xeeshan_full_stdout.txt
probe_micro_panel_passive.py,kevin,full,False,301016.0,0,229.76,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_micro_panel_passive_kevin_full_stdout.txt
probe_micro_panel_passive.py,xeeshan,full,False,301032.0,0,221.38,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_micro_panel_passive_xeeshan_full_stdout.txt
probe_peb_lxs_signal_overlay.py,kevin,full,False,281286.0,0,310.81,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_peb_lxs_signal_overlay_kevin_full_stdout.txt
probe_peb_lxs_signal_overlay.py,xeeshan,full,False,281324.0,0,301.94,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_peb_lxs_signal_overlay_xeeshan_full_stdout.txt
probe_remaining_unused.py,kevin,full,False,301558.0,0,297.96,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_remaining_unused_kevin_full_stdout.txt
probe_remaining_unused.py,xeeshan,full,False,301574.0,0,290.68,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_remaining_unused_xeeshan_full_stdout.txt
probe_sleep_uv_snack.py,kevin,full,False,331795.0,0,334.06,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_sleep_uv_snack_kevin_full_stdout.txt
probe_sleep_uv_snack.py,xeeshan,full,False,331811.0,0,327.6,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_promising\probe_sleep_uv_snack_xeeshan_full_stdout.txt
