strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_c35_anchor_both_micro_uv_conservative.py,kevin,full,False,379278.0,0,243.17,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_c35_anchor_both_micro_uv_conservative_kevin_full_stdout.txt
probe_c35_anchor_both_micro_uv_conservative.py,xeeshan,full,False,379319.0,0,236.45,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_c35_anchor_both_micro_uv_conservative_xeeshan_full_stdout.txt
probe_c35_anchor_snackpack_near10000.py,kevin,full,False,359938.0,0,237.56,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_c35_anchor_snackpack_near10000_kevin_full_stdout.txt
probe_c35_anchor_snackpack_near10000.py,xeeshan,full,False,359888.0,0,229.93,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_c35_anchor_snackpack_near10000_xeeshan_full_stdout.txt
probe_c35_anchor_vanilla_only.py,kevin,full,False,357792.0,0,281.29,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_c35_anchor_vanilla_only_kevin_full_stdout.txt
probe_c35_anchor_vanilla_only.py,xeeshan,full,False,357844.0,0,276.97,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_c35_anchor_vanilla_only_xeeshan_full_stdout.txt
probe_increment_snackpack_uv_only.py,kevin,full,False,314758.0,0,281.12,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_increment_snackpack_uv_only_kevin_full_stdout.txt
probe_increment_snackpack_uv_only.py,xeeshan,full,False,314708.0,0,276.3,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_increment_snackpack_uv_only_xeeshan_full_stdout.txt
probe_increment_vanilla_micro_only.py,kevin,full,False,308934.0,0,280.92,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_increment_vanilla_micro_only_kevin_full_stdout.txt
probe_increment_vanilla_micro_only.py,xeeshan,full,False,309098.0,0,274.57,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_increment_vanilla_micro_only_xeeshan_full_stdout.txt
probe_increment_vanilla_uv_only.py,kevin,full,False,312612.0,0,279.37,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_increment_vanilla_uv_only_kevin_full_stdout.txt
probe_increment_vanilla_uv_only.py,xeeshan,full,False,312664.0,0,274.68,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_full_robust_lower_portal\probe_increment_vanilla_uv_only_xeeshan_full_stdout.txt
