strategy,tool,suite,capped,block,pnl
probe_c35_stack_broad_gated.py,kevin,portal,False,4:0,-20120.5
probe_c35_stack_broad_gated.py,kevin,portal,False,4:10000,387460.0
probe_c35_stack_broad_gated.py,kevin,portal,False,4:20000,1050581.0
probe_c35_stack_broad_gated.py,kevin,portal,False,4:30000,1131543.0
probe_c35_stack_broad_gated.py,kevin,portal,False,4:40000,2177208.0
probe_c35_stack_broad_gated.py,kevin,portal,False,4:50000,3440895.5
probe_c35_stack_broad_gated.py,kevin,portal,False,4:60000,4091295.5
probe_c35_stack_broad_gated.py,kevin,portal,False,4:70000,4643480.5
probe_c35_stack_broad_gated.py,kevin,portal,False,4:80000,6056279.5
probe_c35_stack_broad_gated.py,kevin,portal,False,4:90000,8535497.5
probe_c35_stack_broad_gated.py,kevin,portal,True,4:0,-20120.5
probe_c35_stack_broad_gated.py,kevin,portal,True,4:10000,387460.0
probe_c35_stack_broad_gated.py,kevin,portal,True,4:20000,1050581.0
probe_c35_stack_broad_gated.py,kevin,portal,True,4:30000,1131543.0
probe_c35_stack_broad_gated.py,kevin,portal,True,4:40000,2177208.0
probe_c35_stack_broad_gated.py,kevin,portal,True,4:50000,3440895.5
probe_c35_stack_broad_gated.py,kevin,portal,True,4:60000,4091295.5
probe_c35_stack_broad_gated.py,kevin,portal,True,4:70000,4643480.5
probe_c35_stack_broad_gated.py,kevin,portal,True,4:80000,6056279.5
probe_c35_stack_broad_gated.py,kevin,portal,True,4:90000,8535497.5
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:0,-20369.0
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:10000,387599.0
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:20000,1050679.0
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:30000,1131856.5
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:40000,2177693.5
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:50000,3441052.0
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:60000,4091794.5
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:70000,4643829.0
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:80000,6056345.5
probe_c35_stack_broad_gated.py,xeeshan,portal,False,4:90000,8536023.5
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:0,-20369.0
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:10000,387599.0
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:20000,1050679.0
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:30000,1131856.5
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:40000,2177693.5
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:50000,3441052.0
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:60000,4091794.5
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:70000,4643829.0
probe_c35_stack_broad_gated.py,xeeshan,portal,True,4:80000,6056345.5
