strategy,scope,max_len,first_above_45k,first_above_50k
probe_c35_stack_broad_gated.py,portal,31601,,
probe_c35_stack_robust.py,portal,28598,,
probe_c36_more_pebbles.py,portal,18315,,
probe_c36_no_robot_extras.py,portal,16969,,
probe_micro_panel_hybrid.py,portal,27270,,
probe_micro_panel_passive.py,portal,27270,,
probe_peb_lxs_signal_overlay.py,portal,27424,,
probe_peb_mlx_boost_passive.py,portal,25535,,
probe_peb_mlx_boost_taker.py,portal,25535,,
probe_remaining_unused.py,portal,25799,,
probe_robot_hybrid.py,portal,27970,,
probe_robot_passive.py,portal,27970,,
probe_sleep_uv_snack.py,portal,30398,,
