strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_anchor_portal_all_reasonable_passive.py,kevin,portal,False,27120.0,0,8.94,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_all_reasonable_passive_kevin_portal_stdout.txt
probe_anchor_portal_all_reasonable_passive.py,kevin,portal,True,27120.0,0,9.01,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_all_reasonable_passive_50kcap_kevin_portal_stdout.txt
probe_anchor_portal_all_reasonable_passive.py,xeeshan,portal,False,27130.0,0,7.57,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_all_reasonable_passive_xeeshan_portal_stdout.txt
probe_anchor_portal_all_reasonable_passive.py,xeeshan,portal,True,27130.0,0,7.49,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_all_reasonable_passive_50kcap_xeeshan_portal_stdout.txt
probe_anchor_portal_galaxy_oxygen_panel_passive.py,kevin,portal,False,74156.0,0,8.88,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_galaxy_oxygen_panel_passive_kevin_portal_stdout.txt
probe_anchor_portal_galaxy_oxygen_panel_passive.py,kevin,portal,True,74156.0,0,8.91,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_galaxy_oxygen_panel_passive_50kcap_kevin_portal_stdout.txt
probe_anchor_portal_galaxy_oxygen_panel_passive.py,xeeshan,portal,False,74166.0,0,8.81,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_galaxy_oxygen_panel_passive_xeeshan_portal_stdout.txt
probe_anchor_portal_galaxy_oxygen_panel_passive.py,xeeshan,portal,True,74166.0,0,9.13,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_galaxy_oxygen_panel_passive_50kcap_xeeshan_portal_stdout.txt
probe_anchor_portal_translator_sleep_snack_passive.py,kevin,portal,False,96354.0,0,17.15,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_translator_sleep_snack_passive_kevin_portal_stdout.txt
probe_anchor_portal_translator_sleep_snack_passive.py,kevin,portal,True,96354.0,0,17.15,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_translator_sleep_snack_passive_50kcap_kevin_portal_stdout.txt
probe_anchor_portal_translator_sleep_snack_passive.py,xeeshan,portal,False,96364.0,0,16.72,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_translator_sleep_snack_passive_xeeshan_portal_stdout.txt
probe_anchor_portal_translator_sleep_snack_passive.py,xeeshan,portal,True,96364.0,0,16.61,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_translator_sleep_snack_passive_50kcap_xeeshan_portal_stdout.txt
probe_anchor_portal_uv_micro_robot_passive.py,kevin,portal,False,97210.0,0,8.92,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_uv_micro_robot_passive_kevin_portal_stdout.txt
probe_anchor_portal_uv_micro_robot_passive.py,kevin,portal,True,97210.0,0,9.0,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_uv_micro_robot_passive_50kcap_kevin_portal_stdout.txt
probe_anchor_portal_uv_micro_robot_passive.py,xeeshan,portal,False,97220.0,0,9.0,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_uv_micro_robot_passive_xeeshan_portal_stdout.txt
probe_anchor_portal_uv_micro_robot_passive.py,xeeshan,portal,True,97220.0,0,9.0,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_portal_uv_micro_robot_passive_50kcap_xeeshan_portal_stdout.txt
probe_anchor_robust_all_reasonable_passive.py,kevin,portal,False,18929.0,0,17.04,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_robust_all_reasonable_passive_kevin_portal_stdout.txt
probe_anchor_robust_all_reasonable_passive.py,kevin,portal,True,18929.0,0,17.13,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_robust_all_reasonable_passive_50kcap_kevin_portal_stdout.txt
probe_anchor_robust_all_reasonable_passive.py,xeeshan,portal,False,18929.0,0,17.14,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_robust_all_reasonable_passive_xeeshan_portal_stdout.txt
probe_anchor_robust_all_reasonable_passive.py,xeeshan,portal,True,18929.0,0,17.24,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_broad_anchor_passive\probe_anchor_robust_all_reasonable_passive_50kcap_xeeshan_portal_stdout.txt
