strategy,tool,suite,capped,block,pnl
probe_c35_anchor_only.py,kevin,portal,False,4:0,882.5
probe_c35_anchor_only.py,kevin,portal,False,4:10000,406642.0
probe_c35_anchor_only.py,kevin,portal,False,4:20000,881691.5
probe_c35_anchor_only.py,kevin,portal,False,4:30000,716428.0
probe_c35_anchor_only.py,kevin,portal,False,4:40000,1803073.0
probe_c35_anchor_only.py,kevin,portal,False,4:50000,2976762.5
probe_c35_anchor_only.py,kevin,portal,False,4:60000,3623060.5
probe_c35_anchor_only.py,kevin,portal,False,4:70000,4121142.0
probe_c35_anchor_only.py,kevin,portal,False,4:80000,5853348.0
probe_c35_anchor_only.py,kevin,portal,False,4:90000,8622213.0
probe_c35_anchor_only.py,kevin,portal,True,4:0,882.5
probe_c35_anchor_only.py,kevin,portal,True,4:10000,406642.0
probe_c35_anchor_only.py,kevin,portal,True,4:20000,881691.5
probe_c35_anchor_only.py,kevin,portal,True,4:30000,716428.0
probe_c35_anchor_only.py,kevin,portal,True,4:40000,1803073.0
probe_c35_anchor_only.py,kevin,portal,True,4:50000,2976762.5
probe_c35_anchor_only.py,kevin,portal,True,4:60000,3623060.5
probe_c35_anchor_only.py,kevin,portal,True,4:70000,4121142.0
probe_c35_anchor_only.py,kevin,portal,True,4:80000,5853348.0
probe_c35_anchor_only.py,kevin,portal,True,4:90000,8622213.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:0,536.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:10000,406739.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:20000,881684.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:30000,716647.5
probe_c35_anchor_only.py,xeeshan,portal,False,4:40000,1803432.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:50000,2976897.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:60000,3623391.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:70000,4121382.0
probe_c35_anchor_only.py,xeeshan,portal,False,4:80000,5853280.5
probe_c35_anchor_only.py,xeeshan,portal,False,4:90000,8622494.5
probe_c35_anchor_only.py,xeeshan,portal,True,4:0,536.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:10000,406739.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:20000,881684.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:30000,716647.5
probe_c35_anchor_only.py,xeeshan,portal,True,4:40000,1803432.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:50000,2976897.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:60000,3623391.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:70000,4121382.0
probe_c35_anchor_only.py,xeeshan,portal,True,4:80000,5853280.5
probe_c35_anchor_only.py,xeeshan,portal,True,4:90000,8622494.5
probe_c35_stack_clean.py,kevin,portal,False,4:0,-20332.5
probe_c35_stack_clean.py,kevin,portal,False,4:10000,383341.0
probe_c35_stack_clean.py,kevin,portal,False,4:20000,897764.0
probe_c35_stack_clean.py,kevin,portal,False,4:30000,896098.0
probe_c35_stack_clean.py,kevin,portal,False,4:40000,2150523.0
probe_c35_stack_clean.py,kevin,portal,False,4:50000,3485320.0
probe_c35_stack_clean.py,kevin,portal,False,4:60000,4183826.0
probe_c35_stack_clean.py,kevin,portal,False,4:70000,4680698.0
probe_c35_stack_clean.py,kevin,portal,False,4:80000,6428395.0
probe_c35_stack_clean.py,kevin,portal,False,4:90000,9333804.5
probe_c35_stack_clean.py,kevin,portal,True,4:0,-20332.5
probe_c35_stack_clean.py,kevin,portal,True,4:10000,383341.0
probe_c35_stack_clean.py,kevin,portal,True,4:20000,897764.0
probe_c35_stack_clean.py,kevin,portal,True,4:30000,896098.0
probe_c35_stack_clean.py,kevin,portal,True,4:40000,2150523.0
probe_c35_stack_clean.py,kevin,portal,True,4:50000,3485320.0
probe_c35_stack_clean.py,kevin,portal,True,4:60000,4183826.0
probe_c35_stack_clean.py,kevin,portal,True,4:70000,4680698.0
probe_c35_stack_clean.py,kevin,portal,True,4:80000,6428395.0
probe_c35_stack_clean.py,kevin,portal,True,4:90000,9333804.5
probe_c35_stack_clean.py,xeeshan,portal,False,4:0,-20583.5
probe_c35_stack_clean.py,xeeshan,portal,False,4:10000,383466.0
probe_c35_stack_clean.py,xeeshan,portal,False,4:20000,897793.5
