strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_c35_anchor_only.py,kevin,portal,False,96961.0,0,9.46,1432,3808.0,2.659217877094972,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_kevin_portal_stdout.txt
probe_c35_anchor_only.py,kevin,portal,True,96961.0,0,9.54,1432,3808.0,2.659217877094972,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_50kcap_kevin_portal_stdout.txt
probe_c35_anchor_only.py,xeeshan,portal,False,96961.0,0,9.47,1448,3832.0,2.6464088397790055,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_xeeshan_portal_stdout.txt
probe_c35_anchor_only.py,xeeshan,portal,True,96961.0,0,9.54,1448,3832.0,2.6464088397790055,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_anchor_only_50kcap_xeeshan_portal_stdout.txt
probe_c35_stack_clean.py,kevin,portal,False,104750.0,0,8.62,1430,3791.0,2.651048951048951,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_kevin_portal_stdout.txt
probe_c35_stack_clean.py,kevin,portal,True,104750.0,0,8.8,1430,3791.0,2.651048951048951,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_50kcap_kevin_portal_stdout.txt
probe_c35_stack_clean.py,xeeshan,portal,False,104750.0,0,8.63,1451,3822.0,2.6340454858718125,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_xeeshan_portal_stdout.txt
probe_c35_stack_clean.py,xeeshan,portal,True,104750.0,0,8.49,1451,3822.0,2.6340454858718125,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_50kcap_xeeshan_portal_stdout.txt
probe_c35_stack_clean_anchor.py,kevin,portal,False,109800.0,0,11.24,1432,3801.0,2.6543296089385473,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_kevin_portal_stdout.txt
probe_c35_stack_clean_anchor.py,kevin,portal,True,109800.0,0,11.29,1432,3801.0,2.6543296089385473,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_50kcap_kevin_portal_stdout.txt
probe_c35_stack_clean_anchor.py,xeeshan,portal,False,109800.0,0,11.28,1453,3832.0,2.6373021335168616,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_xeeshan_portal_stdout.txt
probe_c35_stack_clean_anchor.py,xeeshan,portal,True,109800.0,0,11.04,1453,3832.0,2.6373021335168616,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_anchor_50kcap_xeeshan_portal_stdout.txt
probe_c35_stack_clean_no_snack.py,kevin,portal,False,101730.0,0,10.87,1430,3791.0,2.651048951048951,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_kevin_portal_stdout.txt
probe_c35_stack_clean_no_snack.py,kevin,portal,True,101730.0,0,10.79,1430,3791.0,2.651048951048951,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_50kcap_kevin_portal_stdout.txt
probe_c35_stack_clean_no_snack.py,xeeshan,portal,False,101730.0,0,8.48,1451,3822.0,2.6340454858718125,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_xeeshan_portal_stdout.txt
probe_c35_stack_clean_no_snack.py,xeeshan,portal,True,101730.0,0,8.34,1451,3822.0,2.6340454858718125,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_clean2\probe_c35_stack_clean_no_snack_50kcap_xeeshan_portal_stdout.txt
