strategy,scope,max_len,first_above_45k,first_above_50k
probe_pivot_robust_sleep.py,portal,29953,,
probe_pivot_robust_panel.py,portal,29953,,
probe_pivot_robust_translator_galaxy.py,portal,29953,,
probe_pivot_robust_oxygen_snack.py,portal,31170,,
probe_pivot_robust_sleep_panel.py,portal,29953,,
probe_pivot_robust_trans_galaxy_panel.py,portal,29953,,
probe_pivot_robust_all_fresh_no_robot_micro_uv.py,portal,31170,,
probe_pivot_portal_sleep.py,portal,29953,,
probe_pivot_portal_panel.py,portal,29953,,
probe_pivot_portal_translator_galaxy.py,portal,29953,,
probe_pivot_portal_oxygen_snack.py,portal,31170,,
probe_pivot_portal_sleep_panel.py,portal,29953,,
probe_pivot_portal_trans_galaxy_panel.py,portal,29953,,
probe_pivot_portal_all_fresh_no_robot_micro_uv.py,portal,31170,,
