strategy,tool,suite,capped,category,pnl
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,GALAXY_SOUNDS,3462.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,SLEEP_POD,13228.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,TRANSLATOR,9352.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,SNACKPACK,3495.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,PANEL,6162.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,MICROCHIP,15257.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,UV_VISOR,12763.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,ROBOT,3882.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,OXYGEN_SHAKE,2785.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,False,PEBBLES,21334.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,GALAXY_SOUNDS,3462.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,SLEEP_POD,13228.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,TRANSLATOR,9352.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,SNACKPACK,3495.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,PANEL,6162.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,MICROCHIP,15257.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,UV_VISOR,12763.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,ROBOT,3882.5
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,OXYGEN_SHAKE,2785.0
probe_pivot_portal_fresh_oracle_all.py,kevin,portal,True,PEBBLES,21334.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,GALAXY_SOUNDS,3462.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,MICROCHIP,15257.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,OXYGEN_SHAKE,2785.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,PANEL,6162.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,PEBBLES,21334.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,ROBOT,3882.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,SLEEP_POD,13228.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,SNACKPACK,3505.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,TRANSLATOR,9352.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,False,UV_VISOR,12763.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,GALAXY_SOUNDS,3462.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,MICROCHIP,15257.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,OXYGEN_SHAKE,2785.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,PANEL,6162.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,PEBBLES,21334.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,ROBOT,3882.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,SLEEP_POD,13228.5
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,SNACKPACK,3505.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,TRANSLATOR,9352.0
probe_pivot_portal_fresh_oracle_all.py,xeeshan,portal,True,UV_VISOR,12763.0
probe_pivot_portal_panel_oracle.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
probe_pivot_portal_panel_oracle.py,kevin,portal,False,SLEEP_POD,10326.0
probe_pivot_portal_panel_oracle.py,kevin,portal,False,TRANSLATOR,13074.0
probe_pivot_portal_panel_oracle.py,kevin,portal,False,SNACKPACK,3375.0
probe_pivot_portal_panel_oracle.py,kevin,portal,False,PANEL,6162.5
