strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_struct_portal_curve_panel.py,kevin,portal,False,103780.0,0,20.39,1580,4347.0,2.75126582278481,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_kevin_portal_stdout.txt
probe_struct_portal_curve_panel.py,kevin,portal,True,103780.0,0,20.45,1580,4347.0,2.75126582278481,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_50kcap_kevin_portal_stdout.txt
probe_struct_portal_curve_panel.py,xeeshan,portal,False,103781.0,0,20.06,1605,4390.0,2.735202492211838,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_xeeshan_portal_stdout.txt
probe_struct_portal_curve_panel.py,xeeshan,portal,True,103781.0,0,19.88,1605,4390.0,2.735202492211838,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_panel_50kcap_xeeshan_portal_stdout.txt
probe_struct_portal_curve_sleep.py,kevin,portal,False,117482.0,0,18.65,1505,4219.0,2.8033222591362126,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_kevin_portal_stdout.txt
probe_struct_portal_curve_sleep.py,kevin,portal,True,117482.0,0,18.15,1505,4219.0,2.8033222591362126,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_50kcap_kevin_portal_stdout.txt
probe_struct_portal_curve_sleep.py,xeeshan,portal,False,117492.0,0,19.6,1536,4270.0,2.7799479166666665,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_xeeshan_portal_stdout.txt
probe_struct_portal_curve_sleep.py,xeeshan,portal,True,117492.0,0,19.23,1536,4270.0,2.7799479166666665,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_curve_sleep_50kcap_xeeshan_portal_stdout.txt
probe_struct_portal_leadlag_all_fresh.py,kevin,portal,False,100205.0,0,30.98,1505,4230.0,2.8106312292358804,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_leadlag_all_fresh_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_leadlag_all_fresh_kevin_portal_stdout.txt
probe_struct_portal_leadlag_all_fresh.py,kevin,portal,True,100205.0,0,31.09,1505,4230.0,2.8106312292358804,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_leadlag_all_fresh_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_fresh_structural\probe_struct_portal_leadlag_all_fresh_50kcap_kevin_portal_stdout.txt
