strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_c36_no_micro_extras.py,kevin,portal,False,93936.0,0,5.69,1540,4591.0,2.9811688311688314,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_kevin_portal_stdout.txt
probe_c36_no_micro_extras.py,kevin,portal,True,93936.0,0,6.18,1540,4591.0,2.9811688311688314,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_50kcap_kevin_portal_stdout.txt
probe_c36_no_micro_extras.py,xeeshan,portal,False,93936.0,0,6.48,1546,4600.0,2.975420439844761,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_xeeshan_portal_stdout.txt
probe_c36_no_micro_extras.py,xeeshan,portal,True,93936.0,0,6.33,1546,4600.0,2.975420439844761,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_micro_extras_50kcap_xeeshan_portal_stdout.txt
probe_c36_no_panel_extras.py,kevin,portal,False,90897.0,0,5.29,1561,4776.0,3.059577194106342,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_kevin_portal_stdout.txt
probe_c36_no_panel_extras.py,kevin,portal,True,90897.0,0,5.4,1561,4776.0,3.059577194106342,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_50kcap_kevin_portal_stdout.txt
probe_c36_no_panel_extras.py,xeeshan,portal,False,90946.0,0,5.12,1566,4780.0,3.052362707535121,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_xeeshan_portal_stdout.txt
probe_c36_no_panel_extras.py,xeeshan,portal,True,90946.0,0,5.11,1566,4780.0,3.052362707535121,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_panel_extras_50kcap_xeeshan_portal_stdout.txt
probe_c36_no_uv_extras.py,kevin,portal,False,99139.0,0,6.56,1539,4554.0,2.9590643274853803,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_kevin_portal_stdout.txt
probe_c36_no_uv_extras.py,kevin,portal,True,99139.0,0,6.93,1539,4554.0,2.9590643274853803,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_50kcap_kevin_portal_stdout.txt
probe_c36_no_uv_extras.py,xeeshan,portal,False,99139.0,0,5.98,1545,4563.0,2.9533980582524273,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_xeeshan_portal_stdout.txt
probe_c36_no_uv_extras.py,xeeshan,portal,True,99139.0,0,5.71,1545,4563.0,2.9533980582524273,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_c36_no_uv_extras_50kcap_xeeshan_portal_stdout.txt
probe_grid_micro_uv_loose.py,kevin,portal,False,119946.0,0,10.69,1504,4227.0,2.810505319148936,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_grid_micro_uv_loose_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_highroi_grid\probe_grid_micro_uv_loose_kevin_portal_stdout.txt
