strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_increment_near10000_micro_uv_loose.py,kevin,portal,False,113271.0,0,10.51,1513,4294.0,2.838070059484468,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_kevin_portal_stdout.txt
probe_increment_near10000_micro_uv_loose.py,kevin,portal,True,113271.0,0,10.15,1513,4294.0,2.838070059484468,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_50kcap_kevin_portal_stdout.txt
probe_increment_near10000_micro_uv_loose.py,xeeshan,portal,False,113281.0,0,10.46,1535,4327.0,2.8188925081433225,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_xeeshan_portal_stdout.txt
probe_increment_near10000_micro_uv_loose.py,xeeshan,portal,True,113281.0,0,10.15,1535,4327.0,2.8188925081433225,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_near10000_micro_uv_loose_50kcap_xeeshan_portal_stdout.txt
probe_increment_snackpack_micro_uv_loose.py,kevin,portal,False,119568.0,0,10.82,1507,4257.0,2.8248175182481754,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_kevin_portal_stdout.txt
probe_increment_snackpack_micro_uv_loose.py,kevin,portal,True,119568.0,0,10.82,1507,4257.0,2.8248175182481754,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_50kcap_kevin_portal_stdout.txt
probe_increment_snackpack_micro_uv_loose.py,xeeshan,portal,False,119578.0,0,10.48,1529,4290.0,2.805755395683453,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_xeeshan_portal_stdout.txt
probe_increment_snackpack_micro_uv_loose.py,xeeshan,portal,True,119578.0,0,10.14,1529,4290.0,2.805755395683453,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_micro_uv_loose_50kcap_xeeshan_portal_stdout.txt
probe_increment_snackpack_uv_only.py,kevin,portal,False,115478.0,0,10.55,1454,3981.0,2.737964236588721,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_kevin_portal_stdout.txt
probe_increment_snackpack_uv_only.py,kevin,portal,True,115478.0,0,10.23,1454,3981.0,2.737964236588721,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_50kcap_kevin_portal_stdout.txt
probe_increment_snackpack_uv_only.py,xeeshan,portal,False,115488.0,0,9.68,1476,4014.0,2.7195121951219514,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_xeeshan_portal_stdout.txt
probe_increment_snackpack_uv_only.py,xeeshan,portal,True,115488.0,0,9.95,1476,4014.0,2.7195121951219514,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_snackpack_uv_only_50kcap_xeeshan_portal_stdout.txt
probe_increment_space_nylon_uv_only.py,kevin,portal,False,109560.0,0,11.3,1457,3988.0,2.737131091283459,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_kevin_portal_stdout.txt
probe_increment_space_nylon_uv_only.py,kevin,portal,True,109560.0,0,10.85,1457,3988.0,2.737131091283459,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_50kcap_kevin_portal_stdout.txt
probe_increment_space_nylon_uv_only.py,xeeshan,portal,False,109560.0,0,10.84,1478,4019.0,2.719215155615697,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_xeeshan_portal_stdout.txt
probe_increment_space_nylon_uv_only.py,xeeshan,portal,True,109560.0,0,10.4,1478,4019.0,2.719215155615697,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_space_nylon_uv_only_50kcap_xeeshan_portal_stdout.txt
probe_increment_vanilla_micro_only.py,kevin,portal,False,115414.0,0,10.83,1486,4087.0,2.750336473755047,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_kevin_portal_stdout.txt
probe_increment_vanilla_micro_only.py,kevin,portal,True,115414.0,0,10.33,1486,4087.0,2.750336473755047,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_50kcap_kevin_portal_stdout.txt
probe_increment_vanilla_micro_only.py,xeeshan,portal,False,115424.0,0,10.36,1508,4120.0,2.7320954907161803,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_xeeshan_portal_stdout.txt
probe_increment_vanilla_micro_only.py,xeeshan,portal,True,115424.0,0,10.16,1508,4120.0,2.7320954907161803,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_only_50kcap_xeeshan_portal_stdout.txt
probe_increment_vanilla_micro_uv_loose.py,kevin,portal,False,120300.0,0,9.24,1505,4237.0,2.815282392026578,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_kevin_portal_stdout.txt
probe_increment_vanilla_micro_uv_loose.py,kevin,portal,True,120300.0,0,9.47,1505,4237.0,2.815282392026578,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_50kcap_kevin_portal_stdout.txt
probe_increment_vanilla_micro_uv_loose.py,xeeshan,portal,False,120310.0,0,9.11,1527,4270.0,2.796332678454486,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_xeeshan_portal_stdout.txt
probe_increment_vanilla_micro_uv_loose.py,xeeshan,portal,True,120310.0,0,9.2,1527,4270.0,2.796332678454486,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_micro_uv_loose_50kcap_xeeshan_portal_stdout.txt
probe_increment_vanilla_uv_only.py,kevin,portal,False,116212.0,0,9.12,1452,3961.0,2.7279614325068873,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_kevin_portal_stdout.txt
probe_increment_vanilla_uv_only.py,kevin,portal,True,116212.0,0,9.27,1452,3961.0,2.7279614325068873,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_50kcap_kevin_portal_stdout.txt
probe_increment_vanilla_uv_only.py,xeeshan,portal,False,116222.0,0,8.95,1474,3994.0,2.7096336499321576,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_xeeshan_portal_stdout.txt
probe_increment_vanilla_uv_only.py,xeeshan,portal,True,116222.0,0,9.01,1474,3994.0,2.7096336499321576,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_increment_near10000_micro_uv\probe_increment_vanilla_uv_only_50kcap_xeeshan_portal_stdout.txt
