strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_microfill_portal_override_fresh_aggressive.py,kevin,portal,False,79575.0,0,7.69,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_aggressive_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_aggressive.py,kevin,portal,True,79575.0,0,7.69,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_aggressive_50kcap_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_aggressive.py,xeeshan,portal,False,79585.0,0,7.37,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_aggressive_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_aggressive.py,xeeshan,portal,True,79585.0,0,7.44,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_aggressive_50kcap_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_broad.py,kevin,portal,False,79575.0,0,7.47,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_broad_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_broad.py,kevin,portal,True,79575.0,0,7.46,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_broad_50kcap_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_broad.py,xeeshan,portal,False,79585.0,0,7.68,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_broad_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_broad.py,xeeshan,portal,True,79585.0,0,7.66,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_broad_50kcap_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_conservative_join.py,kevin,portal,False,79575.0,0,7.71,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_conservative_join_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_conservative_join.py,kevin,portal,True,79575.0,0,7.72,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_conservative_join_50kcap_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_conservative_join.py,xeeshan,portal,False,79585.0,0,7.74,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_conservative_join_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_conservative_join.py,xeeshan,portal,True,79585.0,0,7.55,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_conservative_join_50kcap_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_panel_sleep.py,kevin,portal,False,95470.0,0,9.25,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_panel_sleep_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_panel_sleep.py,kevin,portal,True,95470.0,0,9.33,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_panel_sleep_50kcap_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_panel_sleep.py,xeeshan,portal,False,95480.0,0,9.19,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_panel_sleep_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_panel_sleep.py,xeeshan,portal,True,95480.0,0,9.24,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_panel_sleep_50kcap_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_trans_gal_oxy_snack.py,kevin,portal,False,104406.0,0,9.73,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_trans_gal_oxy_snack_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_trans_gal_oxy_snack.py,kevin,portal,True,104406.0,0,9.82,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_trans_gal_oxy_snack_50kcap_kevin_portal_stdout.txt
probe_microfill_portal_override_fresh_trans_gal_oxy_snack.py,xeeshan,portal,False,104416.0,0,9.74,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_trans_gal_oxy_snack_xeeshan_portal_stdout.txt
probe_microfill_portal_override_fresh_trans_gal_oxy_snack.py,xeeshan,portal,True,104416.0,0,9.74,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_portal_override_fresh_trans_gal_oxy_snack_50kcap_xeeshan_portal_stdout.txt
probe_microfill_robust_override_fresh_aggressive.py,kevin,portal,False,71142.0,0,7.7,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_aggressive_kevin_portal_stdout.txt
probe_microfill_robust_override_fresh_aggressive.py,kevin,portal,True,71142.0,0,7.55,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_aggressive_50kcap_kevin_portal_stdout.txt
probe_microfill_robust_override_fresh_aggressive.py,xeeshan,portal,False,71142.0,0,7.77,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_aggressive_xeeshan_portal_stdout.txt
probe_microfill_robust_override_fresh_aggressive.py,xeeshan,portal,True,71142.0,0,7.56,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_aggressive_50kcap_xeeshan_portal_stdout.txt
probe_microfill_robust_override_fresh_broad.py,kevin,portal,False,71142.0,0,7.3,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_broad_kevin_portal_stdout.txt
probe_microfill_robust_override_fresh_broad.py,kevin,portal,True,71142.0,0,7.75,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_broad_50kcap_kevin_portal_stdout.txt
probe_microfill_robust_override_fresh_broad.py,xeeshan,portal,False,71142.0,0,7.5,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_broad_xeeshan_portal_stdout.txt
probe_microfill_robust_override_fresh_broad.py,xeeshan,portal,True,71142.0,0,7.3,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_broad_50kcap_xeeshan_portal_stdout.txt
probe_microfill_robust_override_fresh_conservative_join.py,kevin,portal,False,71142.0,0,7.44,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_conservative_join_kevin_portal_stdout.txt
probe_microfill_robust_override_fresh_conservative_join.py,kevin,portal,True,71142.0,0,7.36,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_microstructure_fill\probe_microfill_robust_override_fresh_conservative_join_50kcap_kevin_portal_stdout.txt
