strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_peb_portal_quadratic.py,kevin,portal,False,85724.0,0,9.26,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_kevin_portal_stdout.txt
probe_peb_portal_quadratic.py,kevin,portal,True,85724.0,0,9.19,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_50kcap_kevin_portal_stdout.txt
probe_peb_portal_quadratic.py,xeeshan,portal,False,85734.0,0,9.34,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_xeeshan_portal_stdout.txt
probe_peb_portal_quadratic.py,xeeshan,portal,True,85734.0,0,9.32,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_50kcap_xeeshan_portal_stdout.txt
probe_peb_portal_quadratic_aggressive_mxl.py,kevin,portal,False,85724.0,0,9.15,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_aggressive_mxl_kevin_portal_stdout.txt
probe_peb_portal_quadratic_aggressive_mxl.py,kevin,portal,True,85724.0,0,9.33,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_aggressive_mxl_50kcap_kevin_portal_stdout.txt
probe_peb_portal_quadratic_aggressive_mxl.py,xeeshan,portal,False,85734.0,0,9.47,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_aggressive_mxl_xeeshan_portal_stdout.txt
probe_peb_portal_quadratic_aggressive_mxl.py,xeeshan,portal,True,85734.0,0,9.33,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_aggressive_mxl_50kcap_xeeshan_portal_stdout.txt
probe_peb_portal_quadratic_passive_mxl.py,kevin,portal,False,95970.0,0,9.44,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_passive_mxl_kevin_portal_stdout.txt
probe_peb_portal_quadratic_passive_mxl.py,kevin,portal,True,95970.0,0,9.25,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_pebbles_fv\probe_peb_portal_quadratic_passive_mxl_50kcap_kevin_portal_stdout.txt
