strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_regime_portal_all_regime_loose.py,kevin,portal,False,120300.0,0,8.76,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_loose_kevin_portal_stdout.txt
probe_regime_portal_all_regime_loose.py,kevin,portal,True,120300.0,0,8.28,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_loose_50kcap_kevin_portal_stdout.txt
probe_regime_portal_all_regime_loose.py,xeeshan,portal,False,120310.0,0,8.61,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_loose_xeeshan_portal_stdout.txt
probe_regime_portal_all_regime_loose.py,xeeshan,portal,True,120310.0,0,8.28,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_loose_50kcap_xeeshan_portal_stdout.txt
probe_regime_portal_all_regime_strict.py,kevin,portal,False,120300.0,0,8.48,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_strict_kevin_portal_stdout.txt
probe_regime_portal_all_regime_strict.py,kevin,portal,True,120300.0,0,8.64,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_strict_50kcap_kevin_portal_stdout.txt
probe_regime_portal_all_regime_strict.py,xeeshan,portal,False,120310.0,0,8.7,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_strict_xeeshan_portal_stdout.txt
probe_regime_portal_all_regime_strict.py,xeeshan,portal,True,120310.0,0,8.32,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_all_regime_strict_50kcap_xeeshan_portal_stdout.txt
probe_regime_portal_oxygen_regime.py,kevin,portal,False,120300.0,0,9.31,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_oxygen_regime_kevin_portal_stdout.txt
probe_regime_portal_oxygen_regime.py,kevin,portal,True,120300.0,0,9.22,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_oxygen_regime_50kcap_kevin_portal_stdout.txt
probe_regime_portal_oxygen_regime.py,xeeshan,portal,False,120310.0,0,8.32,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_oxygen_regime_xeeshan_portal_stdout.txt
probe_regime_portal_oxygen_regime.py,xeeshan,portal,True,120310.0,0,8.44,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_oxygen_regime_50kcap_xeeshan_portal_stdout.txt
probe_regime_portal_snack_regime.py,kevin,portal,False,120300.0,0,8.86,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_regime_gap\probe_regime_portal_snack_regime_kevin_portal_stdout.txt
