strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_c35_stack_anchor_microtri_uvamber.py,kevin,portal,False,118856.0,0,12.05,1500,4207.0,2.804666666666667,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_kevin_portal_stdout.txt
probe_c35_stack_anchor_microtri_uvamber.py,kevin,portal,True,118856.0,0,12.15,1500,4207.0,2.804666666666667,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_50kcap_kevin_portal_stdout.txt
probe_c35_stack_anchor_microtri_uvamber.py,xeeshan,portal,False,118856.0,0,12.03,1521,4238.0,2.786324786324786,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_xeeshan_portal_stdout.txt
probe_c35_stack_anchor_microtri_uvamber.py,xeeshan,portal,True,118856.0,0,12.05,1521,4238.0,2.786324786324786,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_microtri_uvamber_50kcap_xeeshan_portal_stdout.txt
probe_c35_stack_anchor_robot_dishes.py,kevin,portal,False,112530.0,0,12.05,1529,4351.0,2.845650752125572,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_kevin_portal_stdout.txt
probe_c35_stack_anchor_robot_dishes.py,kevin,portal,True,112530.0,0,12.6,1529,4351.0,2.845650752125572,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_50kcap_kevin_portal_stdout.txt
probe_c35_stack_anchor_robot_dishes.py,xeeshan,portal,False,112530.0,0,12.04,1551,4383.0,2.8259187620889747,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_xeeshan_portal_stdout.txt
probe_c35_stack_anchor_robot_dishes.py,xeeshan,portal,True,112530.0,0,12.04,1551,4383.0,2.8259187620889747,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_50kcap_xeeshan_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_anchor_robot_dishes_50kcap_xeeshan_portal_stdout.txt
probe_c35_stack_clean_anchor_both.py,kevin,portal,False,110970.0,0,11.85,1432,3801.0,2.6543296089385473,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_clean_anchor_both_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_clean_anchor_both_kevin_portal_stdout.txt
probe_c35_stack_clean_anchor_both.py,kevin,portal,True,110970.0,0,11.7,1432,3801.0,2.6543296089385473,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_clean_anchor_both_50kcap_kevin_portal.log,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\c35_36_exec_probes_portal_remaining40k\probe_c35_stack_clean_anchor_both_50kcap_kevin_portal_stdout.txt
