strategy,tool,suite,capped,block,pnl
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:0,163208.5
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:10000,488397.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:20000,1458570.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:30000,1639207.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:40000,3043503.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:50000,4111440.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:60000,5024117.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:70000,5853842.5
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:80000,7595172.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,False,4:90000,10602368.5
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:0,163208.5
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:10000,488397.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:20000,1458570.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:30000,1639207.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:40000,3043503.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:50000,4111440.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:60000,5024117.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:70000,5853842.5
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:80000,7595172.0
probe_c35_stack_anchor_both_microtri_uvamber.py,kevin,portal,True,4:90000,10602368.5
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:0,162911.5
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:10000,488332.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:20000,1458434.5
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:30000,1639588.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:40000,3043981.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:50000,4111605.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:60000,5024201.5
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:70000,5853930.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:80000,7595022.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,False,4:90000,10602296.0
probe_c35_stack_anchor_both_microtri_uvamber.py,xeeshan,portal,True,4:0,162911.5
