strategy,tool,suite,capped,block,pnl
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:0,163208.5
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:10000,486493.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:20000,1443370.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:30000,1622748.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:40000,3010923.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:50000,4078340.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:60000,4986411.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:70000,5798474.5
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:80000,7538472.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,False,4:90000,10534733.5
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:0,163208.5
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:10000,486493.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:20000,1443370.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:30000,1622748.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:40000,3010923.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:50000,4078340.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:60000,4986411.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:70000,5798474.5
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:80000,7538472.0
probe_grid_robust_micro_uv_conservative_hybrid.py,kevin,portal,True,4:90000,10534733.5
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:0,162911.5
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:10000,486432.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:20000,1443234.5
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:30000,1623161.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:40000,3011435.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:50000,4078505.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:60000,4986558.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:70000,5798562.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:80000,7538322.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,False,4:90000,10534659.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:0,162911.5
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:10000,486432.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:20000,1443234.5
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:30000,1623161.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:40000,3011435.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:50000,4078505.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:60000,4986558.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:70000,5798562.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:80000,7538322.0
probe_grid_robust_micro_uv_conservative_hybrid.py,xeeshan,portal,True,4:90000,10534659.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:0,163208.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:10000,501547.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:20000,1436920.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:30000,1508299.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:40000,2787575.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:50000,3781382.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:60000,4694685.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:70000,5457603.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:80000,7131869.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,False,4:90000,10154563.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,True,4:0,163208.5
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,True,4:10000,501547.0
probe_grid_robust_micro_uv_micro_hybrid_uv_passive.py,kevin,portal,True,4:20000,1436920.0
