strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
probe_c42_skipxs_invpen_070.py,kevin,portal,False,115356.0,0,43.69,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_070_kevin_portal_stdout.txt
probe_c42_skipxs_invpen_070.py,kevin,portal,True,115356.0,0,43.73,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_070_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_invpen_070.py,xeeshan,portal,False,115356.0,0,42.75,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_070_xeeshan_portal_stdout.txt
probe_c42_skipxs_invpen_070.py,xeeshan,portal,True,115356.0,0,43.29,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_070_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_invpen_110.py,kevin,portal,False,115460.0,0,43.73,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_110_kevin_portal_stdout.txt
probe_c42_skipxs_invpen_110.py,kevin,portal,True,115460.0,0,43.91,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_110_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_invpen_110.py,xeeshan,portal,False,115460.0,0,42.93,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_110_xeeshan_portal_stdout.txt
probe_c42_skipxs_invpen_110.py,xeeshan,portal,True,115460.0,0,43.03,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_invpen_110_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_no_pebl_anchor.py,kevin,portal,False,114186.0,0,43.59,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_pebl_anchor_kevin_portal_stdout.txt
probe_c42_skipxs_no_pebl_anchor.py,kevin,portal,True,114186.0,0,43.73,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_pebl_anchor_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_no_pebl_anchor.py,xeeshan,portal,False,114186.0,0,43.23,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_pebl_anchor_xeeshan_portal_stdout.txt
probe_c42_skipxs_no_pebl_anchor.py,xeeshan,portal,True,114186.0,0,43.04,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_pebl_anchor_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_no_trans_anchor.py,kevin,portal,False,111682.0,0,43.71,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_trans_anchor_kevin_portal_stdout.txt
probe_c42_skipxs_no_trans_anchor.py,kevin,portal,True,111682.0,0,44.1,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_trans_anchor_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_no_trans_anchor.py,xeeshan,portal,False,111682.0,0,47.63,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_trans_anchor_xeeshan_portal_stdout.txt
probe_c42_skipxs_no_trans_anchor.py,xeeshan,portal,True,111682.0,0,47.45,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_no_trans_anchor_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_peb_aggr_098.py,kevin,portal,False,115356.0,0,47.71,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_098_kevin_portal_stdout.txt
probe_c42_skipxs_peb_aggr_098.py,kevin,portal,True,115356.0,0,47.53,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_098_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_peb_aggr_098.py,xeeshan,portal,False,115356.0,0,47.21,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_098_xeeshan_portal_stdout.txt
probe_c42_skipxs_peb_aggr_098.py,xeeshan,portal,True,115356.0,0,47.18,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_098_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_peb_aggr_118.py,kevin,portal,False,115356.0,0,47.08,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_118_kevin_portal_stdout.txt
probe_c42_skipxs_peb_aggr_118.py,kevin,portal,True,115356.0,0,47.16,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_118_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_peb_aggr_118.py,xeeshan,portal,False,115356.0,0,46.89,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_118_xeeshan_portal_stdout.txt
probe_c42_skipxs_peb_aggr_118.py,xeeshan,portal,True,115356.0,0,46.9,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_peb_aggr_118_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_black_holes.py,kevin,portal,False,113136.0,0,46.91,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_black_holes_kevin_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_black_holes.py,kevin,portal,True,113136.0,0,46.69,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_black_holes_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_black_holes.py,xeeshan,portal,False,113136.0,0,46.58,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_black_holes_xeeshan_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_black_holes.py,xeeshan,portal,True,113136.0,0,45.95,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_black_holes_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_dark_matter.py,kevin,portal,False,111102.0,0,11.68,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_dark_matter_kevin_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_dark_matter.py,kevin,portal,True,111102.0,0,11.35,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_dark_matter_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_dark_matter.py,xeeshan,portal,False,111102.0,0,11.16,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_dark_matter_xeeshan_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_dark_matter.py,xeeshan,portal,True,111102.0,0,11.35,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_dark_matter_50kcap_xeeshan_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_planetary_rings.py,kevin,portal,False,110732.0,0,11.57,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_planetary_rings_kevin_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_planetary_rings.py,kevin,portal,True,110732.0,0,11.35,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_planetary_rings_50kcap_kevin_portal_stdout.txt
probe_c42_skipxs_rm_galaxy_sounds_planetary_rings.py,xeeshan,portal,False,110732.0,0,11.38,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate42_pareto_portal_fast\probe_c42_skipxs_rm_galaxy_sounds_planetary_rings_xeeshan_portal_stdout.txt
