strategy,tool,suite,capped,category,pnl
round5_candidate_37.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_37.py,kevin,portal,False,SLEEP_POD,10326.0
round5_candidate_37.py,kevin,portal,False,TRANSLATOR,13074.0
round5_candidate_37.py,kevin,portal,False,SNACKPACK,3495.0
round5_candidate_37.py,kevin,portal,False,PANEL,15520.5
round5_candidate_37.py,kevin,portal,False,MICROCHIP,15785.0
round5_candidate_37.py,kevin,portal,False,UV_VISOR,12763.0
round5_candidate_37.py,kevin,portal,False,ROBOT,5343.5
round5_candidate_37.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_37.py,kevin,portal,False,PEBBLES,21334.0
round5_candidate_37.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_37.py,xeeshan,portal,False,MICROCHIP,15785.0
round5_candidate_37.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_37.py,xeeshan,portal,False,PANEL,15520.5
round5_candidate_37.py,xeeshan,portal,False,PEBBLES,21334.0
round5_candidate_37.py,xeeshan,portal,False,ROBOT,5343.5
round5_candidate_37.py,xeeshan,portal,False,SLEEP_POD,10326.0
round5_candidate_37.py,xeeshan,portal,False,SNACKPACK,3505.0
round5_candidate_37.py,xeeshan,portal,False,TRANSLATOR,13074.0
round5_candidate_37.py,xeeshan,portal,False,UV_VISOR,12763.0
round5_candidate_39.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_39.py,kevin,portal,False,SLEEP_POD,10326.0
round5_candidate_39.py,kevin,portal,False,TRANSLATOR,13074.0
round5_candidate_39.py,kevin,portal,False,SNACKPACK,3495.0
round5_candidate_39.py,kevin,portal,False,PANEL,15520.5
round5_candidate_39.py,kevin,portal,False,MICROCHIP,15257.0
round5_candidate_39.py,kevin,portal,False,UV_VISOR,12763.0
round5_candidate_39.py,kevin,portal,False,ROBOT,3882.5
round5_candidate_39.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_39.py,kevin,portal,False,PEBBLES,21334.0
round5_candidate_39.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_39.py,xeeshan,portal,False,MICROCHIP,15257.0
round5_candidate_39.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_39.py,xeeshan,portal,False,PANEL,15520.5
round5_candidate_39.py,xeeshan,portal,False,PEBBLES,21334.0
round5_candidate_39.py,xeeshan,portal,False,ROBOT,3882.5
round5_candidate_39.py,xeeshan,portal,False,SLEEP_POD,10326.0
round5_candidate_39.py,xeeshan,portal,False,SNACKPACK,3505.0
round5_candidate_39.py,xeeshan,portal,False,TRANSLATOR,13074.0
round5_candidate_39.py,xeeshan,portal,False,UV_VISOR,12763.0
round5_candidate_42.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_42.py,kevin,portal,False,SLEEP_POD,10326.0
round5_candidate_42.py,kevin,portal,False,TRANSLATOR,13074.0
round5_candidate_42.py,kevin,portal,False,SNACKPACK,3020.0
round5_candidate_42.py,kevin,portal,False,PANEL,15520.5
round5_candidate_42.py,kevin,portal,False,MICROCHIP,12247.0
round5_candidate_42.py,kevin,portal,False,UV_VISOR,8223.5
round5_candidate_42.py,kevin,portal,False,ROBOT,3882.5
round5_candidate_42.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_42.py,kevin,portal,False,PEBBLES,21334.0
round5_candidate_42.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_42.py,xeeshan,portal,False,MICROCHIP,12247.0
round5_candidate_42.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_42.py,xeeshan,portal,False,PANEL,15520.5
round5_candidate_42.py,xeeshan,portal,False,PEBBLES,21334.0
round5_candidate_42.py,xeeshan,portal,False,ROBOT,3882.5
round5_candidate_42.py,xeeshan,portal,False,SLEEP_POD,10326.0
round5_candidate_42.py,xeeshan,portal,False,SNACKPACK,3020.0
round5_candidate_42.py,xeeshan,portal,False,TRANSLATOR,13074.0
round5_candidate_42.py,xeeshan,portal,False,UV_VISOR,8223.5
round5_candidate_43.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_43.py,kevin,portal,False,SLEEP_POD,10326.0
round5_candidate_43.py,kevin,portal,False,TRANSLATOR,13074.0
round5_candidate_43.py,kevin,portal,False,SNACKPACK,2642.0
round5_candidate_43.py,kevin,portal,False,PANEL,14505.0
round5_candidate_43.py,kevin,portal,False,MICROCHIP,11719.0
round5_candidate_43.py,kevin,portal,False,UV_VISOR,8223.5
round5_candidate_43.py,kevin,portal,False,ROBOT,3882.5
round5_candidate_43.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_43.py,kevin,portal,False,PEBBLES,21334.0
round5_candidate_43.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
round5_candidate_43.py,xeeshan,portal,False,MICROCHIP,11719.0
round5_candidate_43.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
round5_candidate_43.py,xeeshan,portal,False,PANEL,14505.0
round5_candidate_43.py,xeeshan,portal,False,PEBBLES,21334.0
round5_candidate_43.py,xeeshan,portal,False,ROBOT,3882.5
round5_candidate_43.py,xeeshan,portal,False,SLEEP_POD,10326.0
round5_candidate_43.py,xeeshan,portal,False,SNACKPACK,2652.0
round5_candidate_43.py,xeeshan,portal,False,TRANSLATOR,13074.0
round5_candidate_43.py,xeeshan,portal,False,UV_VISOR,8223.5
