strategy,tool,suite,capped,profit,returncode,duration_sec,trade_count,filled_quantity,avg_fill_quantity,json_log,stdout
round5_candidate_37.py,kevin,full,False,158838.0,0,291.52,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_37_kevin_full_stdout.txt
round5_candidate_37.py,xeeshan,full,False,158515.0,0,281.81,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_37_xeeshan_full_stdout.txt
round5_candidate_38.py,kevin,full,False,108699.0,0,296.15,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_38_kevin_full_stdout.txt
round5_candidate_38.py,xeeshan,full,False,108376.0,0,282.29,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_38_xeeshan_full_stdout.txt
round5_candidate_39.py,kevin,full,False,254379.0,0,286.65,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_39_kevin_full_stdout.txt
round5_candidate_39.py,xeeshan,full,False,254543.0,0,279.65,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_39_xeeshan_full_stdout.txt
round5_candidate_40.py,kevin,full,False,114755.0,0,283.96,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_40_kevin_full_stdout.txt
round5_candidate_40.py,xeeshan,full,False,114557.0,0,271.55,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_40_xeeshan_full_stdout.txt
round5_candidate_41.py,kevin,full,False,379278.0,0,265.81,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_41_kevin_full_stdout.txt
round5_candidate_41.py,xeeshan,full,False,379319.0,0,260.65,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_41_xeeshan_full_stdout.txt
round5_candidate_42.py,kevin,full,False,421524.0,0,265.58,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_42_kevin_full_stdout.txt
round5_candidate_42.py,xeeshan,full,False,421564.0,0,257.25,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_42_xeeshan_full_stdout.txt
round5_candidate_43.py,kevin,full,False,379776.0,0,261.47,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_43_kevin_full_stdout.txt
round5_candidate_43.py,xeeshan,full,False,379726.0,0,253.38,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_43_xeeshan_full_stdout.txt
round5_candidate_44.py,kevin,full,False,120960.0,0,262.16,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_44_kevin_full_stdout.txt
round5_candidate_44.py,xeeshan,full,False,120694.0,0,257.05,,,,,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\candidate_37_44_full\round5_candidate_44_xeeshan_full_stdout.txt
