strategy,tool,suite,capped,block,pnl
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:0,125798.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:10000,262454.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:20000,1330013.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:30000,1545682.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:40000,2745756.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:50000,3964232.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:60000,4992439.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:70000,6722446.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:80000,8766744.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,kevin,portal,False,4:90000,11361376.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:0,125023.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:10000,261300.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:20000,1328195.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:30000,1545391.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:40000,2744371.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:50000,3962979.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:60000,4990847.5
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:70000,6720512.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:80000,8764966.0
probe_c42_c39_panel_galaxy_skipxs_exit_robot.py,xeeshan,portal,False,4:90000,11360150.0
