strategy,tool,suite,capped,block,pnl
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:0,120457.0
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:10000,409181.5
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:20000,1631414.0
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:30000,1971821.0
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:40000,3310638.5
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:50000,4449802.5
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:60000,5383637.5
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:70000,6892335.5
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:80000,8536143.5
probe_c42_c39_panel_galaxy_exit_passive.py,kevin,portal,False,4:90000,11084500.0
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:0,119886.0
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:10000,408241.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:20000,1629739.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:30000,1971666.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:40000,3309647.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:50000,4448549.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:60000,5382125.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:70000,6890776.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:80000,8534557.5
probe_c42_c39_panel_galaxy_exit_passive.py,xeeshan,portal,False,4:90000,11083431.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:0,242422.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:10000,542846.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:20000,1606860.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:30000,1801410.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:40000,3165085.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:50000,4352206.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:60000,5320781.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:70000,6802313.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:80000,8655207.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,kevin,portal,False,4:90000,11198723.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:0,241896.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:10000,541906.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:20000,1605182.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:30000,1801241.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:40000,3164012.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:50000,4350944.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:60000,5319265.0
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:70000,6800738.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:80000,8653607.5
probe_c42_c39_panel_galaxy_skip_pebxs.py,xeeshan,portal,False,4:90000,11197574.0
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:0,242422.0
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:10000,542846.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:20000,1607204.0
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:30000,1793071.0
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:40000,3120053.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:50000,4245822.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:60000,5129072.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:70000,6797450.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:80000,8693978.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,kevin,portal,False,4:90000,11249290.0
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:0,241896.0
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:10000,541906.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:20000,1605529.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:30000,1792916.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:40000,3119062.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:50000,4244569.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:60000,5127560.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:70000,6795891.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:80000,8692392.5
probe_c42_c39_panel_galaxy_skipxs_exit_passive.py,xeeshan,portal,False,4:90000,11248221.5
