strategy,tool,suite,capped,block,pnl
probe_c37_hybrid_panel.py,kevin,portal,False,4:0,-776.5
probe_c37_hybrid_panel.py,kevin,portal,False,4:10000,226930.0
probe_c37_hybrid_panel.py,kevin,portal,False,4:20000,1384999.5
probe_c37_hybrid_panel.py,kevin,portal,False,4:30000,1829927.5
probe_c37_hybrid_panel.py,kevin,portal,False,4:40000,2830125.0
probe_c37_hybrid_panel.py,kevin,portal,False,4:50000,3777933.0
probe_c37_hybrid_panel.py,kevin,portal,False,4:60000,4820326.5
probe_c37_hybrid_panel.py,kevin,portal,False,4:70000,6133442.5
probe_c37_hybrid_panel.py,kevin,portal,False,4:80000,8023770.0
probe_c37_hybrid_panel.py,kevin,portal,False,4:90000,11149791.5
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:0,-1556.0
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:10000,226253.5
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:20000,1384150.0
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:30000,1829979.5
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:40000,2829601.0
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:50000,3777733.5
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:60000,4820118.5
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:70000,6132581.5
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:80000,8022800.0
probe_c37_hybrid_panel.py,xeeshan,portal,False,4:90000,11149937.5
probe_c39_hybrid_panel.py,kevin,portal,False,4:0,146754.5
probe_c39_hybrid_panel.py,kevin,portal,False,4:10000,449077.0
probe_c39_hybrid_panel.py,kevin,portal,False,4:20000,1523745.5
probe_c39_hybrid_panel.py,kevin,portal,False,4:30000,1989121.5
probe_c39_hybrid_panel.py,kevin,portal,False,4:40000,3170927.5
probe_c39_hybrid_panel.py,kevin,portal,False,4:50000,3942251.5
probe_c39_hybrid_panel.py,kevin,portal,False,4:60000,4904390.0
probe_c39_hybrid_panel.py,kevin,portal,False,4:70000,6155647.0
probe_c39_hybrid_panel.py,kevin,portal,False,4:80000,7898204.0
probe_c39_hybrid_panel.py,kevin,portal,False,4:90000,10984905.5
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:0,146294.0
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:10000,448615.0
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:20000,1523056.0
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:30000,1989310.0
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:40000,3170803.5
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:50000,3942068.5
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:60000,4904279.0
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:70000,6155161.0
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:80000,7897426.5
probe_c39_hybrid_panel.py,xeeshan,portal,False,4:90000,10985209.0
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:0,120457.0
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:10000,409181.5
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:20000,1631070.5
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:30000,1980160.5
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:40000,3355670.5
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:50000,4556186.0
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:60000,5575346.0
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:70000,6897198.5
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:80000,8497372.0
probe_c42_c39_hybrid_panel_galaxy.py,kevin,portal,False,4:90000,11033933.5
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:0,119886.0
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:10000,408241.5
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:20000,1629392.5
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:30000,1979991.0
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:40000,3354597.0
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:50000,4554924.0
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:60000,5573830.0
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:70000,6895623.5
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:80000,8495772.5
probe_c42_c39_hybrid_panel_galaxy.py,xeeshan,portal,False,4:90000,11032784.0
