strategy,tool,suite,capped,category,pnl
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,SLEEP_POD,10326.0
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,TRANSLATOR,13074.0
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,SNACKPACK,3020.0
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,PANEL,18270.0
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,MICROCHIP,15785.0
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,UV_VISOR,12763.0
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,ROBOT,3882.5
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
probe_c42_microuv_skipxs_panelhybrid.py,kevin,portal,False,PEBBLES,23279.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,GALAXY_SOUNDS,16553.5
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,MICROCHIP,15785.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,OXYGEN_SHAKE,9230.5
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,PANEL,18270.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,PEBBLES,23279.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,ROBOT,3882.5
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,SLEEP_POD,10326.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,SNACKPACK,3020.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,TRANSLATOR,13074.0
probe_c42_microuv_skipxs_panelhybrid.py,xeeshan,portal,False,UV_VISOR,12763.0
probe_c42_pure_skip_pebxs.py,kevin,portal,False,GALAXY_SOUNDS,16553.5
probe_c42_pure_skip_pebxs.py,kevin,portal,False,SLEEP_POD,10326.0
probe_c42_pure_skip_pebxs.py,kevin,portal,False,TRANSLATOR,13074.0
probe_c42_pure_skip_pebxs.py,kevin,portal,False,SNACKPACK,3020.0
probe_c42_pure_skip_pebxs.py,kevin,portal,False,PANEL,15520.5
probe_c42_pure_skip_pebxs.py,kevin,portal,False,MICROCHIP,12247.0
probe_c42_pure_skip_pebxs.py,kevin,portal,False,UV_VISOR,8223.5
probe_c42_pure_skip_pebxs.py,kevin,portal,False,ROBOT,3882.5
probe_c42_pure_skip_pebxs.py,kevin,portal,False,OXYGEN_SHAKE,9230.5
