strategy,tool,suite,capped,block,pnl
570579.py,kevin,portal,False,4:0,259086.5
570579.py,kevin,portal,False,4:10000,522615.5
570579.py,kevin,portal,False,4:20000,1926959.0
570579.py,kevin,portal,False,4:30000,2534761.5
570579.py,kevin,portal,False,4:40000,3705485.5
570579.py,kevin,portal,False,4:50000,4704911.0
570579.py,kevin,portal,False,4:60000,5982399.5
570579.py,kevin,portal,False,4:70000,7000227.5
570579.py,kevin,portal,False,4:80000,8721409.5
570579.py,kevin,portal,False,4:90000,10689984.5
570579.py,xeeshan,portal,False,4:0,258674.0
570579.py,xeeshan,portal,False,4:10000,521822.5
570579.py,xeeshan,portal,False,4:20000,1925864.0
570579.py,xeeshan,portal,False,4:30000,2533886.0
570579.py,xeeshan,portal,False,4:40000,3705176.5
570579.py,xeeshan,portal,False,4:50000,4704554.0
570579.py,xeeshan,portal,False,4:60000,5982011.5
570579.py,xeeshan,portal,False,4:70000,6999873.0
570579.py,xeeshan,portal,False,4:80000,8721049.0
570579.py,xeeshan,portal,False,4:90000,10689714.0
