strategy,tool,suite,capped,category,pnl
570579.py,kevin,portal,False,GALAXY_SOUNDS,6553.0
570579.py,kevin,portal,False,SLEEP_POD,14546.5
570579.py,kevin,portal,False,TRANSLATOR,15575.0
570579.py,kevin,portal,False,SNACKPACK,2380.0
570579.py,kevin,portal,False,PANEL,15403.5
570579.py,kevin,portal,False,MICROCHIP,16333.5
570579.py,kevin,portal,False,UV_VISOR,11048.0
570579.py,kevin,portal,False,ROBOT,10246.0
570579.py,kevin,portal,False,OXYGEN_SHAKE,3720.0
570579.py,kevin,portal,False,PEBBLES,23060.0
570579.py,xeeshan,portal,False,GALAXY_SOUNDS,6553.0
570579.py,xeeshan,portal,False,MICROCHIP,16324.5
570579.py,xeeshan,portal,False,OXYGEN_SHAKE,3720.0
570579.py,xeeshan,portal,False,PANEL,15403.5
570579.py,xeeshan,portal,False,PEBBLES,23060.0
570579.py,xeeshan,portal,False,ROBOT,10246.0
570579.py,xeeshan,portal,False,SLEEP_POD,14546.5
570579.py,xeeshan,portal,False,SNACKPACK,2380.0
570579.py,xeeshan,portal,False,TRANSLATOR,15575.0
570579.py,xeeshan,portal,False,UV_VISOR,11048.0
