strategy,tool,suite,capped,block,pnl
round5_candidate_35.py,kevin,portal,False,4:0,-28818.5
round5_candidate_35.py,kevin,portal,False,4:10000,340862.0
round5_candidate_35.py,kevin,portal,False,4:20000,834811.5
round5_candidate_35.py,kevin,portal,False,4:30000,802288.0
round5_candidate_35.py,kevin,portal,False,4:40000,1828563.0
round5_candidate_35.py,kevin,portal,False,4:50000,2907562.5
round5_candidate_35.py,kevin,portal,False,4:60000,3412091.5
round5_candidate_35.py,kevin,portal,False,4:70000,3913351.0
round5_candidate_35.py,kevin,portal,False,4:80000,5637880.0
round5_candidate_35.py,kevin,portal,False,4:90000,8204079.0
round5_candidate_35.py,kevin,portal,True,4:0,-28818.5
round5_candidate_35.py,kevin,portal,True,4:10000,340862.0
round5_candidate_35.py,kevin,portal,True,4:20000,834811.5
round5_candidate_35.py,kevin,portal,True,4:30000,802288.0
round5_candidate_35.py,kevin,portal,True,4:40000,1828563.0
round5_candidate_35.py,kevin,portal,True,4:50000,2907562.5
round5_candidate_35.py,kevin,portal,True,4:60000,3412091.5
round5_candidate_35.py,kevin,portal,True,4:70000,3913351.0
round5_candidate_35.py,kevin,portal,True,4:80000,5637880.0
round5_candidate_35.py,kevin,portal,True,4:90000,8204079.0
