product,max_drawdown,min_pnl,max_pnl,strategy,scope,category,component
GALAXY_SOUNDS_BLACK_HOLES,0.0,0.0,0.0,round5_candidate_16.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_DARK_MATTER,0.0,0.0,0.0,round5_candidate_16.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_PLANETARY_RINGS,0.0,0.0,0.0,round5_candidate_16.py,portal,GALAXY_SOUNDS,long_horizon_non_pebbles
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,round5_candidate_16.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_SOLAR_WINDS,0.0,0.0,0.0,round5_candidate_16.py,portal,GALAXY_SOUNDS,other
MICROCHIP_CIRCLE,0.0,0.0,0.0,round5_candidate_16.py,portal,MICROCHIP,other
MICROCHIP_OVAL,0.0,0.0,0.0,round5_candidate_16.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_RECTANGLE,0.0,0.0,0.0,round5_candidate_16.py,portal,MICROCHIP,unresolved_non_pebbles
MICROCHIP_SQUARE,0.0,0.0,0.0,round5_candidate_16.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,0.0,0.0,0.0,round5_candidate_16.py,portal,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_CHOCOLATE,0.0,0.0,0.0,round5_candidate_16.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_EVENING_BREATH,0.0,0.0,0.0,round5_candidate_16.py,portal,OXYGEN_SHAKE,long_horizon_non_pebbles
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,round5_candidate_16.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,round5_candidate_16.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MORNING_BREATH,0.0,0.0,0.0,round5_candidate_16.py,portal,OXYGEN_SHAKE,other
PANEL_1X2,0.0,0.0,0.0,round5_candidate_16.py,portal,PANEL,other
PANEL_1X4,0.0,0.0,0.0,round5_candidate_16.py,portal,PANEL,other
PANEL_2X2,0.0,0.0,0.0,round5_candidate_16.py,portal,PANEL,other
PANEL_2X4,0.0,0.0,0.0,round5_candidate_16.py,portal,PANEL,unresolved_non_pebbles
PANEL_4X4,0.0,0.0,0.0,round5_candidate_16.py,portal,PANEL,other
PEBBLES_L,-4070.0,-3550.0,880.0,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_M,-3555.0,-3135.0,3710.0,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_S,-2355.0,-115.0,11650.0,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_XL,-8010.0,-1425.0,10575.0,round5_candidate_16.py,portal,PEBBLES,pebbles
PEBBLES_XS,-5990.0,-2555.0,3565.0,round5_candidate_16.py,portal,PEBBLES,pebbles
ROBOT_DISHES,0.0,0.0,0.0,round5_candidate_16.py,portal,ROBOT,other
ROBOT_IRONING,0.0,0.0,0.0,round5_candidate_16.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_LAUNDRY,0.0,0.0,0.0,round5_candidate_16.py,portal,ROBOT,long_horizon_non_pebbles
ROBOT_MOPPING,0.0,0.0,0.0,round5_candidate_16.py,portal,ROBOT,unresolved_non_pebbles
ROBOT_VACUUMING,0.0,0.0,0.0,round5_candidate_16.py,portal,ROBOT,other
SLEEP_POD_COTTON,0.0,0.0,0.0,round5_candidate_16.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_LAMB_WOOL,0.0,0.0,0.0,round5_candidate_16.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_NYLON,0.0,0.0,0.0,round5_candidate_16.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_POLYESTER,0.0,0.0,0.0,round5_candidate_16.py,portal,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_SUEDE,0.0,0.0,0.0,round5_candidate_16.py,portal,SLEEP_POD,long_horizon_non_pebbles
SNACKPACK_CHOCOLATE,0.0,0.0,0.0,round5_candidate_16.py,portal,SNACKPACK,other
SNACKPACK_PISTACHIO,0.0,0.0,0.0,round5_candidate_16.py,portal,SNACKPACK,other
SNACKPACK_RASPBERRY,0.0,0.0,0.0,round5_candidate_16.py,portal,SNACKPACK,other
SNACKPACK_STRAWBERRY,0.0,0.0,0.0,round5_candidate_16.py,portal,SNACKPACK,other
SNACKPACK_VANILLA,0.0,0.0,0.0,round5_candidate_16.py,portal,SNACKPACK,other
TRANSLATOR_ASTRO_BLACK,0.0,0.0,0.0,round5_candidate_16.py,portal,TRANSLATOR,other
TRANSLATOR_ECLIPSE_CHARCOAL,0.0,0.0,0.0,round5_candidate_16.py,portal,TRANSLATOR,other
TRANSLATOR_GRAPHITE_MIST,0.0,0.0,0.0,round5_candidate_16.py,portal,TRANSLATOR,unresolved_non_pebbles
TRANSLATOR_SPACE_GRAY,0.0,0.0,0.0,round5_candidate_16.py,portal,TRANSLATOR,other
TRANSLATOR_VOID_BLUE,0.0,0.0,0.0,round5_candidate_16.py,portal,TRANSLATOR,unresolved_non_pebbles
UV_VISOR_AMBER,0.0,0.0,0.0,round5_candidate_16.py,portal,UV_VISOR,long_horizon_non_pebbles
UV_VISOR_MAGENTA,0.0,0.0,0.0,round5_candidate_16.py,portal,UV_VISOR,other
UV_VISOR_ORANGE,0.0,0.0,0.0,round5_candidate_16.py,portal,UV_VISOR,unresolved_non_pebbles
UV_VISOR_RED,0.0,0.0,0.0,round5_candidate_16.py,portal,UV_VISOR,other
UV_VISOR_YELLOW,0.0,0.0,0.0,round5_candidate_16.py,portal,UV_VISOR,other
GALAXY_SOUNDS_BLACK_HOLES,0.0,0.0,0.0,round5_candidate_16.py,full,GALAXY_SOUNDS,other
GALAXY_SOUNDS_DARK_MATTER,0.0,0.0,0.0,round5_candidate_16.py,full,GALAXY_SOUNDS,other
GALAXY_SOUNDS_PLANETARY_RINGS,0.0,0.0,0.0,round5_candidate_16.py,full,GALAXY_SOUNDS,long_horizon_non_pebbles
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,round5_candidate_16.py,full,GALAXY_SOUNDS,other
GALAXY_SOUNDS_SOLAR_WINDS,0.0,0.0,0.0,round5_candidate_16.py,full,GALAXY_SOUNDS,other
MICROCHIP_CIRCLE,0.0,0.0,0.0,round5_candidate_16.py,full,MICROCHIP,other
MICROCHIP_OVAL,0.0,0.0,0.0,round5_candidate_16.py,full,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_RECTANGLE,0.0,0.0,0.0,round5_candidate_16.py,full,MICROCHIP,unresolved_non_pebbles
MICROCHIP_SQUARE,0.0,0.0,0.0,round5_candidate_16.py,full,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,0.0,0.0,0.0,round5_candidate_16.py,full,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_CHOCOLATE,0.0,0.0,0.0,round5_candidate_16.py,full,OXYGEN_SHAKE,other
OXYGEN_SHAKE_EVENING_BREATH,0.0,0.0,0.0,round5_candidate_16.py,full,OXYGEN_SHAKE,long_horizon_non_pebbles
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,round5_candidate_16.py,full,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,round5_candidate_16.py,full,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MORNING_BREATH,0.0,0.0,0.0,round5_candidate_16.py,full,OXYGEN_SHAKE,other
PANEL_1X2,0.0,0.0,0.0,round5_candidate_16.py,full,PANEL,other
PANEL_1X4,0.0,0.0,0.0,round5_candidate_16.py,full,PANEL,other
PANEL_2X2,0.0,0.0,0.0,round5_candidate_16.py,full,PANEL,other
PANEL_2X4,0.0,0.0,0.0,round5_candidate_16.py,full,PANEL,unresolved_non_pebbles
PANEL_4X4,0.0,0.0,0.0,round5_candidate_16.py,full,PANEL,other
PEBBLES_L,-26940.5,-5769.0,28181.5,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_M,-15445.0,-5226.0,29909.0,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_S,-13140.0,-5210.0,82302.0,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_XL,-45415.0,-3717.0,41698.0,round5_candidate_16.py,full,PEBBLES,pebbles
PEBBLES_XS,-30733.0,-5173.0,25560.0,round5_candidate_16.py,full,PEBBLES,pebbles
ROBOT_DISHES,0.0,0.0,0.0,round5_candidate_16.py,full,ROBOT,other
ROBOT_IRONING,0.0,0.0,0.0,round5_candidate_16.py,full,ROBOT,long_horizon_non_pebbles
ROBOT_LAUNDRY,0.0,0.0,0.0,round5_candidate_16.py,full,ROBOT,long_horizon_non_pebbles
ROBOT_MOPPING,0.0,0.0,0.0,round5_candidate_16.py,full,ROBOT,unresolved_non_pebbles
ROBOT_VACUUMING,0.0,0.0,0.0,round5_candidate_16.py,full,ROBOT,other
SLEEP_POD_COTTON,0.0,0.0,0.0,round5_candidate_16.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_LAMB_WOOL,0.0,0.0,0.0,round5_candidate_16.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_NYLON,0.0,0.0,0.0,round5_candidate_16.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_POLYESTER,0.0,0.0,0.0,round5_candidate_16.py,full,SLEEP_POD,unresolved_non_pebbles
SLEEP_POD_SUEDE,0.0,0.0,0.0,round5_candidate_16.py,full,SLEEP_POD,long_horizon_non_pebbles
SNACKPACK_CHOCOLATE,0.0,0.0,0.0,round5_candidate_16.py,full,SNACKPACK,other
SNACKPACK_PISTACHIO,0.0,0.0,0.0,round5_candidate_16.py,full,SNACKPACK,other
SNACKPACK_RASPBERRY,0.0,0.0,0.0,round5_candidate_16.py,full,SNACKPACK,other
SNACKPACK_STRAWBERRY,0.0,0.0,0.0,round5_candidate_16.py,full,SNACKPACK,other
SNACKPACK_VANILLA,0.0,0.0,0.0,round5_candidate_16.py,full,SNACKPACK,other
TRANSLATOR_ASTRO_BLACK,0.0,0.0,0.0,round5_candidate_16.py,full,TRANSLATOR,other
TRANSLATOR_ECLIPSE_CHARCOAL,0.0,0.0,0.0,round5_candidate_16.py,full,TRANSLATOR,other
TRANSLATOR_GRAPHITE_MIST,0.0,0.0,0.0,round5_candidate_16.py,full,TRANSLATOR,unresolved_non_pebbles
TRANSLATOR_SPACE_GRAY,0.0,0.0,0.0,round5_candidate_16.py,full,TRANSLATOR,other
TRANSLATOR_VOID_BLUE,0.0,0.0,0.0,round5_candidate_16.py,full,TRANSLATOR,unresolved_non_pebbles
UV_VISOR_AMBER,0.0,0.0,0.0,round5_candidate_16.py,full,UV_VISOR,long_horizon_non_pebbles
UV_VISOR_MAGENTA,0.0,0.0,0.0,round5_candidate_16.py,full,UV_VISOR,other
UV_VISOR_ORANGE,0.0,0.0,0.0,round5_candidate_16.py,full,UV_VISOR,unresolved_non_pebbles
UV_VISOR_RED,0.0,0.0,0.0,round5_candidate_16.py,full,UV_VISOR,other
UV_VISOR_YELLOW,0.0,0.0,0.0,round5_candidate_16.py,full,UV_VISOR,other
GALAXY_SOUNDS_BLACK_HOLES,0.0,0.0,0.0,round5_candidate_21.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_DARK_MATTER,0.0,0.0,0.0,round5_candidate_21.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_PLANETARY_RINGS,-1048.0,-330.5,2486.5,round5_candidate_21.py,portal,GALAXY_SOUNDS,long_horizon_non_pebbles
GALAXY_SOUNDS_SOLAR_FLAMES,0.0,0.0,0.0,round5_candidate_21.py,portal,GALAXY_SOUNDS,other
GALAXY_SOUNDS_SOLAR_WINDS,0.0,0.0,0.0,round5_candidate_21.py,portal,GALAXY_SOUNDS,other
MICROCHIP_CIRCLE,0.0,0.0,0.0,round5_candidate_21.py,portal,MICROCHIP,other
MICROCHIP_OVAL,-1210.0,-319.5,3406.0,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_RECTANGLE,0.0,0.0,0.0,round5_candidate_21.py,portal,MICROCHIP,unresolved_non_pebbles
MICROCHIP_SQUARE,-2030.0,-440.0,5682.0,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
MICROCHIP_TRIANGLE,-2510.0,-1660.0,1190.0,round5_candidate_21.py,portal,MICROCHIP,long_horizon_non_pebbles
OXYGEN_SHAKE_CHOCOLATE,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_EVENING_BREATH,-1720.0,-300.0,1590.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,long_horizon_non_pebbles
OXYGEN_SHAKE_GARLIC,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
OXYGEN_SHAKE_MINT,0.0,0.0,0.0,round5_candidate_21.py,portal,OXYGEN_SHAKE,other
