strategy,category,portal_pnl
round5_candidate_26.py,GALAXY_SOUNDS,0.0
round5_candidate_26.py,MICROCHIP,4379.0
round5_candidate_26.py,OXYGEN_SHAKE,3732.0
round5_candidate_26.py,PANEL,6026.0
round5_candidate_26.py,PEBBLES,20164.0
round5_candidate_26.py,ROBOT,2524.0
round5_candidate_26.py,SLEEP_POD,3154.0
round5_candidate_26.py,SNACKPACK,0.0
round5_candidate_26.py,TRANSLATOR,0.0
round5_candidate_26.py,UV_VISOR,3959.0
round5_candidate_27.py,GALAXY_SOUNDS,0.0
round5_candidate_27.py,MICROCHIP,11719.0
round5_candidate_27.py,OXYGEN_SHAKE,0.0
round5_candidate_27.py,PANEL,0.0
round5_candidate_27.py,PEBBLES,20164.0
round5_candidate_27.py,ROBOT,2524.0
round5_candidate_27.py,SLEEP_POD,0.0
round5_candidate_27.py,SNACKPACK,0.0
round5_candidate_27.py,TRANSLATOR,0.0
round5_candidate_27.py,UV_VISOR,3959.0
round5_candidate_28.py,GALAXY_SOUNDS,4625.0
round5_candidate_28.py,MICROCHIP,5354.0
round5_candidate_28.py,OXYGEN_SHAKE,3732.0
round5_candidate_28.py,PANEL,0.0
round5_candidate_28.py,PEBBLES,20164.0
round5_candidate_28.py,ROBOT,2524.0
round5_candidate_28.py,SLEEP_POD,5037.0
round5_candidate_28.py,SNACKPACK,0.0
round5_candidate_28.py,TRANSLATOR,0.0
round5_candidate_28.py,UV_VISOR,3959.0
round5_candidate_29.py,GALAXY_SOUNDS,14332.5
round5_candidate_29.py,MICROCHIP,11168.0
round5_candidate_29.py,OXYGEN_SHAKE,9230.5
round5_candidate_29.py,PANEL,12737.0
round5_candidate_29.py,PEBBLES,20164.0
round5_candidate_29.py,ROBOT,2524.0
round5_candidate_29.py,SLEEP_POD,6466.5
round5_candidate_29.py,SNACKPACK,0.0
round5_candidate_29.py,TRANSLATOR,1432.0
round5_candidate_29.py,UV_VISOR,7876.0
round5_candidate_30.py,GALAXY_SOUNDS,8879.0
round5_candidate_30.py,MICROCHIP,12143.0
round5_candidate_30.py,OXYGEN_SHAKE,7178.0
round5_candidate_30.py,PANEL,11280.0
round5_candidate_30.py,PEBBLES,20164.0
round5_candidate_30.py,ROBOT,2524.0
round5_candidate_30.py,SLEEP_POD,3154.0
round5_candidate_30.py,SNACKPACK,0.0
round5_candidate_30.py,TRANSLATOR,1432.0
round5_candidate_30.py,UV_VISOR,3959.0
