product,candidate42_portal_pnl,candidate39_portal_pnl,pnl_39_minus_42,candidate42_avg_fill,candidate39_avg_fill,candidate42_max_pos,candidate39_max_pos,candidate42_markout_50,candidate39_markout_50,decision
GALAXY_SOUNDS_BLACK_HOLES,2221.0,2221.0,0.0,2.75,2.75,10,10,49.6833,49.6833,hold
GALAXY_SOUNDS_DARK_MATTER,4254.0,4254.0,0.0,2.5,2.5,10,10,12.6,12.6,scale_candidate42
GALAXY_SOUNDS_PLANETARY_RINGS,4625.0,4625.0,0.0,2.5,2.5,10,10,68.85,68.85,scale_candidate42
GALAXY_SOUNDS_SOLAR_FLAMES,3245.5,3245.5,0.0,2.7,2.7,10,10,27.8704,27.8704,scale_candidate42
GALAXY_SOUNDS_SOLAR_WINDS,2208.0,2208.0,0.0,2.833,2.833,10,10,-23.1429,-23.1429,hold
MICROCHIP_OVAL,4379.0,4379.0,0.0,2.5,2.5,10,10,36.4,36.4,scale_candidate42
MICROCHIP_RECTANGLE,2666.0,2666.0,0.0,2.0,2.0,10,10,57.85,57.85,scale_candidate42
MICROCHIP_SQUARE,4651.0,4123.0,-528.0,5.0,2.0,10,10,23.1,65.1,scale_candidate42
MICROCHIP_TRIANGLE,551.0,4089.0,3538.0,2.667,5.208,10,10,3.625,25.6895,transplant_candidate39_aggression
OXYGEN_SHAKE_CHOCOLATE,1841.0,1841.0,0.0,2.667,2.667,9,9,-5.5238,-5.5238,hold
OXYGEN_SHAKE_EVENING_BREATH,290.0,290.0,0.0,3.0,3.0,10,10,-14.0,-14.0,hold
OXYGEN_SHAKE_GARLIC,3442.0,3442.0,0.0,2.75,2.75,7,7,24.5,24.5,scale_candidate42
OXYGEN_SHAKE_MINT,211.5,211.5,0.0,2.5,2.5,5,5,15.5,15.5,hold
OXYGEN_SHAKE_MORNING_BREATH,3446.0,3446.0,0.0,2.5,2.5,10,10,1.8,1.8,scale_candidate42
PANEL_1X2,2827.0,2827.0,0.0,2.5,2.5,10,10,36.5,36.5,scale_candidate42
PANEL_1X4,2427.0,2427.0,0.0,2.5,2.5,10,10,55.2,55.2,hold
PANEL_2X2,1577.0,1577.0,0.0,2.333,2.333,10,10,0.375,0.375,hold
PANEL_2X4,2207.5,2207.5,0.0,2.9,2.9,10,10,40.2759,40.2759,hold
PANEL_4X4,6482.0,6482.0,0.0,2.75,2.75,10,10,25.0227,25.0227,scale_candidate42
PEBBLES_L,510.0,510.0,0.0,10.0,10.0,10,10,80.0,80.0,hold
PEBBLES_M,1490.0,1490.0,0.0,10.0,10.0,10,10,-137.0,-137.0,hold
PEBBLES_S,11719.0,11719.0,0.0,7.176,7.176,10,10,99.1814,99.1814,scale_candidate42
PEBBLES_XL,9560.0,9560.0,0.0,10.0,10.0,10,10,271.5,271.5,scale_candidate42
PEBBLES_XS,-1945.0,-1945.0,0.0,10.0,10.0,10,10,-125.5,-125.5,remove_or_signal_only
ROBOT_IRONING,2524.0,2524.0,0.0,2.75,2.75,10,10,32.9091,32.9091,scale_candidate42
ROBOT_VACUUMING,1358.5,1358.5,0.0,2.7,2.7,10,10,14.4375,14.4375,hold
SLEEP_POD_COTTON,3154.0,3154.0,0.0,2.462,2.462,10,10,7.4844,7.4844,scale_candidate42
SLEEP_POD_LAMB_WOOL,2269.0,2269.0,0.0,3.333,3.333,10,10,126.5,126.5,hold
SLEEP_POD_NYLON,1043.5,1043.5,0.0,2.9,2.9,5,5,16.25,16.25,hold
SLEEP_POD_POLYESTER,1976.5,1976.5,0.0,2.556,2.556,10,10,41.225,41.225,hold
SLEEP_POD_SUEDE,1883.0,1883.0,0.0,2.545,2.545,10,10,31.0893,31.0893,hold
SNACKPACK_CHOCOLATE,0,120.0,120.0,,2.6,,10,,-19.1731,remove_or_signal_only
SNACKPACK_PISTACHIO,538.0,538.0,0.0,2.625,2.625,10,10,20.2222,20.2222,hold
SNACKPACK_RASPBERRY,1313.0,1313.0,0.0,2.4,2.4,10,10,63.125,63.125,hold
SNACKPACK_STRAWBERRY,1169.0,1169.0,0.0,2.75,2.75,10,10,46.2727,46.2727,hold
SNACKPACK_VANILLA,0,355.0,355.0,,10.0,,10,,-37.5,remove_or_signal_only
TRANSLATOR_ASTRO_BLACK,2588.0,2588.0,0.0,3.333,3.333,10,10,68.2,68.2,scale_candidate42
TRANSLATOR_ECLIPSE_CHARCOAL,3674.0,3674.0,0.0,5.0,5.0,10,10,9.4,9.4,scale_candidate42
TRANSLATOR_GRAPHITE_MIST,2630.0,2630.0,0.0,2.727,2.727,10,10,80.1667,80.1667,scale_candidate42
TRANSLATOR_SPACE_GRAY,2807.0,2807.0,0.0,3.333,3.333,10,10,54.5,54.5,scale_candidate42
TRANSLATOR_VOID_BLUE,1375.0,1375.0,0.0,2.214,2.214,10,10,-17.2857,-17.2857,hold
UV_VISOR_AMBER,347.5,4887.0,4539.5,3.0,7.895,9,10,26.625,17.9,transplant_candidate39_aggression
UV_VISOR_ORANGE,3959.0,3959.0,0.0,2.5,2.5,10,10,19.0,19.0,scale_candidate42
UV_VISOR_RED,3135.0,3135.0,0.0,2.0,2.0,10,10,20.7,20.7,scale_candidate42
UV_VISOR_YELLOW,782.0,782.0,0.0,3.333,3.333,10,10,25.9,25.9,hold
