strategy,class,portal_kevin,portal_xeeshan,portal_kevin_50k,portal_xeeshan_50k,full_kevin,full_xeeshan,max_state,trades,avg_fill
probe_c37_hybrid_panel.py,execution_or_turnover,126174.0,126184.0,126174.0,126184.0,49000.0,48934.0,32325,1717,3.244612696563774
probe_c39_hybrid_panel.py,execution_or_turnover,124186.0,124196.0,124186.0,124196.0,144540.0,144962.0,31170,1622,3.1091245376078915
probe_c42_c39_hybrid_galaxy.py,execution_or_turnover,121781.0,121781.0,121781.0,121781.0,87666.0,87782.0,31170,,
probe_c42_c39_hybrid_micro.py,execution_or_turnover,119730.0,119730.0,119730.0,119730.0,,,31170,,
probe_c42_c39_hybrid_oxygen.py,execution_or_turnover,111891.0,111891.0,111891.0,111891.0,,,31170,,
probe_c42_c39_hybrid_panel.py,execution_or_turnover,124128.0,124128.0,124128.0,124128.0,189584.0,189996.0,31170,,
probe_c42_c39_hybrid_panel_core.py,execution_or_turnover,123197.0,123197.0,123197.0,123197.0,,,31170,,
probe_c42_c39_hybrid_panel_core_extra0.py,execution_or_turnover,121527.0,121527.0,121527.0,121527.0,,,31170,,
probe_c42_c39_hybrid_panel_extra0.py,execution_or_turnover,122494.0,122494.0,122494.0,122494.0,,,31170,,
probe_c42_c39_hybrid_panel_galaxy.py,execution_or_turnover,124530.0,124530.0,124530.0,124530.0,-22172.0,-21798.0,31170,1753,3.4883057615516257
probe_c42_c39_hybrid_panel_skipxs.py,execution_or_turnover,126073.0,126073.0,126073.0,126073.0,192614.0,193048.0,30589,,
probe_c42_c39_hybrid_panel_skipxs_exit.py,execution_or_turnover,125846.0,125846.0,125846.0,125846.0,191338.0,191772.0,30589,,
probe_c42_c39_hybrid_sleep.py,execution_or_turnover,113476.0,113478.0,113476.0,113478.0,,,31170,,
probe_c42_c39_hybrid_snack.py,execution_or_turnover,117031.0,117031.0,117031.0,117031.0,,,31170,,
probe_c42_c39_hybrid_top_extra0.py,execution_or_turnover,118518.0,118497.0,118518.0,118497.0,,,31170,,
probe_c42_c39_hybrid_translator.py,execution_or_turnover,117890.0,117872.0,117890.0,117872.0,,,31170,,
