strategy,product,portal_pnl,full_pnl_if_available,fill_count,filled_qty,avg_fill_size,avg_order_size_est,max_position_utilization,near_limit_fill_events,pnl_per_fill,markout_10_per_unit,markout_50_per_unit,adverse_selection_rate_50,scale_read
round5_candidate_42.py,PEBBLES_S,11719.0,,17,122,7.176,,10,9,689.353,-6.1885,99.1814,0.049,scale_carefully
round5_candidate_42.py,PEBBLES_XL,9560.0,,1,10,10.0,,10,1,9560.0,92.0,271.5,0.0,scale_carefully
round5_candidate_42.py,PANEL_4X4,6482.0,,8,22,2.75,,10,5,810.25,10.9318,25.0227,0.3182,scale_carefully
round5_candidate_42.py,MICROCHIP_SQUARE,4651.0,,2,10,5.0,,10,2,2325.5,-4.5,23.1,0.0,scale_carefully
round5_candidate_42.py,GALAXY_SOUNDS_PLANETARY_RINGS,4625.0,,4,10,2.5,,10,1,1156.25,47.95,68.85,0.3,scale_carefully
round5_candidate_42.py,MICROCHIP_OVAL,4379.0,,4,10,2.5,,10,1,1094.75,-5.1,36.4,0.4,scale_carefully
round5_candidate_42.py,GALAXY_SOUNDS_DARK_MATTER,4254.0,,4,10,2.5,,10,2,1063.5,15.35,12.6,0.1,scale_carefully
round5_candidate_42.py,UV_VISOR_ORANGE,3959.0,,4,10,2.5,,10,2,989.75,2.8,19.0,0.4,scale_carefully
round5_candidate_42.py,TRANSLATOR_ECLIPSE_CHARCOAL,3674.0,,2,10,5.0,,10,2,1837.0,24.4,9.4,0.0,scale_carefully
round5_candidate_42.py,OXYGEN_SHAKE_MORNING_BREATH,3446.0,,4,10,2.5,,10,2,861.5,-34.45,1.8,0.5,scale_carefully
round5_candidate_42.py,OXYGEN_SHAKE_GARLIC,3442.0,,8,22,2.75,,7,0,430.25,-16.7105,24.5,0.3158,under_sized
round5_candidate_42.py,GALAXY_SOUNDS_SOLAR_FLAMES,3245.5,,10,27,2.7,,10,4,324.55,4.0,27.8704,0.4074,scale_carefully
round5_candidate_42.py,SLEEP_POD_COTTON,3154.0,,13,32,2.462,,10,4,242.615,12.75,7.4844,0.5938,scale_carefully
round5_candidate_42.py,UV_VISOR_RED,3135.0,,5,10,2.0,,10,2,627.0,9.4,20.7,0.3,scale_carefully
round5_candidate_42.py,PANEL_1X2,2827.0,,4,10,2.5,,10,2,706.75,-21.35,36.5,0.4,scale_carefully
round5_candidate_42.py,TRANSLATOR_SPACE_GRAY,2807.0,,3,10,3.333,,10,1,935.667,23.6,54.5,0.0,scale_carefully
