category,validated_edge_products,conditional_edge_products,not_currently_capturable_products,portal_oracle_h1,full_oracle_h1,best_edge_family,category_verdict
PEBBLES,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL",,,452775.0,13489405.0,breakout_low_reversal,multi-product strategy-grade
MICROCHIP,MICROCHIP_OVAL,"MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",MICROCHIP_CIRCLE,363470.0,10877105.0,breakout_low_reversal,selective product trading only
SLEEP_POD,SLEEP_POD_COTTON,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON",,252450.0,7222535.0,breakout_low_reversal,selective product trading only
ROBOT,ROBOT_IRONING,"ROBOT_MOPPING,ROBOT_LAUNDRY","ROBOT_VACUUMING,ROBOT_DISHES",240245.0,7677380.0,breakout_low_reversal,selective product trading only
TRANSLATOR,,"TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE","TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL",218310.0,6447415.0,breakout_high,conditional/anchor only
PANEL,PANEL_4X4,PANEL_2X4,"PANEL_1X2,PANEL_2X2,PANEL_1X4",196930.0,6107370.0,breakout_low_reversal,selective product trading only
GALAXY_SOUNDS,,GALAXY_SOUNDS_PLANETARY_RINGS,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",181460.0,5202345.0,breakout_low_reversal,conditional/anchor only
UV_VISOR,UV_VISOR_ORANGE,"UV_VISOR_AMBER,UV_VISOR_RED","UV_VISOR_YELLOW,UV_VISOR_MAGENTA",164025.0,4943255.0,breakout_low_reversal,selective product trading only
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_EVENING_BREATH,"OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE",163865.0,5272180.0,breakout_low_reversal,selective product trading only
SNACKPACK,,,"SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY",42520.0,1228060.0,breakout_low_reversal,exclude until new signal family appears
