scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,1,-25228.5,-54938.59999999999,-0.012020738259019878,0,3,7,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,1,-10358.5,-48238.59999999999,0.012020738259019878,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,1,-24509.0,-55298.149999999994,-0.012002389214857904,0,3,8,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,1,-10679.0,-43198.15,0.012002389214857904,0,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,1,0.0,0.0,0.0,0,0,0,0,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,1,-25228.5,-54938.59999999999,-0.011999740262845993,0,3,7,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,1,-10358.5,-48238.59999999999,0.011999740262845993,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,2,-26169.0,-55640.249999999985,-0.0027341722545657717,0,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,2,-12059.0,-43490.24999999999,0.0027341722545657717,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,2,-28027.25,-53857.04999999998,-0.00437085711085358,0,3,11,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,2,-7187.25,-44677.04999999999,0.00437085711085358,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,2,-14000.25,-57324.95,0.010486370336220602,0,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,2,-18218.25,-55707.549999999996,-0.003195454675528702,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,2,-11243.25,-51361.149999999994,0.009205068889926784,1,3,14,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,5,-15083.0,-42417.7,0.005727623970879009,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,5,-20663.0,-56857.69999999999,-0.005727623970879009,1,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,5,-33828.5,-61073.55,0.002931965662884343,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,5,-1438.5,-37733.55,-0.002931965662884343,1,3,16,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,5,-41008.25,-63431.200000000004,-0.004498698152881915,1,3,11,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,5,-11534.5,-41496.95,0.002963373785856553,1,3,14,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,5,-35498.0,-63690.15000000001,-0.007479618566323236,1,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,10,-91341.75,-96096.80000000002,-0.01648817041947205,0,3,11,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,10,55418.25,-5156.800000000014,0.01648817041947205,2,3,18,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,10,-62452.0,-100613.75000000001,-0.019175711841272994,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,10,27248.0,1966.25,0.019175711841272994,1,3,16,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,10,31001.0,-25751.500000000015,0.016006929156635628,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,10,-60289.75,-96932.0,-0.01511932064701349,1,3,10,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,10,17120.25,-33396.65,0.01280208538724995,1,3,18,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,25,80845.75,27572.599999999984,0.011807555465100993,2,3,18,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,25,-116614.25,-127717.40000000002,-0.011807555465100993,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,25,96437.5,31914.600000000002,0.011104939629735565,2,3,19,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,25,-131552.5,-130085.4,-0.011104939629735565,1,3,11,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,25,-63036.5,-95332.85000000005,-0.008837670308138588,1,3,11,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,25,-78741.75,-89699.79999999999,-0.0005089605205484494,2,3,12,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,25,-230156.75,-218166.5,-0.02012450703824375,0,3,8,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,50,219100.25,52067.60000000001,0.03805295338330659,2,3,18,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,50,-254579.75,-151162.40000000002,-0.03805295338330659,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,50,90662.5,-29888.599999999955,0.03244151583329089,2,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,50,-125527.5,-67828.59999999995,-0.03244151583329089,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,50,-333643.0,-253690.75,-0.033100376755158145,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,50,110828.0,117287.80000000002,0.03130411320037293,2,3,11,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,50,-421441.25,-260014.2499999999,-0.023121453904114173,1,3,10,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,100,-379373.25,-349145.34999999986,-0.06538977625773668,1,3,8,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,100,344546.75,251774.65000000014,0.06538977625773668,2,3,22,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,100,-434114.0,-346675.9999999999,-0.0690326291785144,1,3,10,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,100,399536.0,249824.00000000012,0.0690326291785144,2,3,20,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,100,78724.0,39304.40000000014,0.02470347341904042,2,3,18,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,100,-321847.25,-225696.64999999997,-0.02332170496680854,1,3,10,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,100,222167.75,326578.05000000005,0.03997946787676205,2,3,15,30,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,200,-1555705.5,-1207338.2000000002,-0.09804390801097077,0,3,9,29,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,200,1521704.5,1112031.7999999996,0.09804390801097077,3,3,20,29,1
