product,category,day,signal,hold,corr_fwd_mid,gross_directional_pnl_proxy,best_executable_threshold_pct,best_executable_taker_pnl,best_executable_units_traded,best_top1_volume_threshold_pct,best_top1_volume_limited_pnl,best_top1_volume_units_traded,best_top3_depth_threshold_pct,best_top3_depth_limited_pnl,best_top3_depth_units_traded,samples
ROBOT_DISHES,ROBOT,4,ret_10_reversal,1,0.2231808732982788,302005.0,70,235500.0,17020,80,-8080.0,10,80,-8080.0,10,9999
ROBOT_DISHES,ROBOT,4,ret_10_reversal,5,0.2563680634845297,103694.0,70,235500.0,17020,80,-8080.0,10,80,-8080.0,10,9995
ROBOT_DISHES,ROBOT,4,ret_10_reversal,10,0.2426976407435205,59195.5,70,235500.0,17020,80,-8080.0,10,80,-8080.0,10,9990
ROBOT_DISHES,ROBOT,4,ret_10_reversal,25,0.21425545691677925,27366.199999999997,70,235500.0,17020,80,-8080.0,10,80,-8080.0,10,9975
ROBOT_DISHES,ROBOT,4,ret_10_reversal,50,0.14843410955302175,12184.1,70,235500.0,17020,80,-8080.0,10,80,-8080.0,10,9950
ROBOT_DISHES,ROBOT,4,ret_50_reversal,1,0.13533826685359035,47135.0,60,26360.0,5640,95,-8338.0,10,95,-8416.0,10,9999
ROBOT_DISHES,ROBOT,4,ret_50_reversal,5,0.15313016971166063,17801.0,60,26360.0,5640,95,-8338.0,10,95,-8416.0,10,9995
ROBOT_DISHES,ROBOT,4,ret_50_reversal,10,0.14757350321351118,10388.5,60,26360.0,5640,95,-8338.0,10,95,-8416.0,10,9990
ROBOT_DISHES,ROBOT,4,ret_50_reversal,25,0.11237692230687808,3835.6,60,26360.0,5640,95,-8338.0,10,95,-8416.0,10,9975
ROBOT_DISHES,ROBOT,4,ret_50_reversal,50,0.05159924595895665,-696.9,60,26360.0,5640,95,-8338.0,10,95,-8416.0,10,9950
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3,imbalance,1,-0.00378938618305944,15555.0,95,0.0,0,60,0.0,0,60,0.0,0,9999
PEBBLES_M,PEBBLES,3,imbalance,1,0.005430732817167375,9815.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
PANEL_2X4,PANEL,3,imbalance,1,-0.0045750463864132765,8860.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
SLEEP_POD_LAMB_WOOL,SLEEP_POD,2,imbalance,1,0.0057565781384722415,8675.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
PEBBLES_XL,PEBBLES,4,imbalance,5,-0.0017650516972355236,8590.0,90,0.0,0,60,0.0,0,60,0.0,0,9995
PEBBLES_XL,PEBBLES,2,imbalance,25,-0.00420743200039912,8095.8,90,0.0,0,60,0.0,0,60,0.0,0,9975
PEBBLES_XL,PEBBLES,2,imbalance,1,-0.014873754375124011,8040.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
PEBBLES_XL,PEBBLES,4,imbalance,10,-0.0025145765880678706,7910.0,90,0.0,0,60,0.0,0,60,0.0,0,9990
PEBBLES_XL,PEBBLES,2,imbalance,10,-0.01142439348186989,7684.0,90,0.0,0,60,0.0,0,60,0.0,0,9990
MICROCHIP_SQUARE,MICROCHIP,3,imbalance,25,0.012299193451917614,7246.4,90,0.0,0,60,0.0,0,60,0.0,0,9975
PEBBLES_XL,PEBBLES,4,imbalance,1,-0.001342374148113107,6955.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
PEBBLES_M,PEBBLES,3,imbalance,5,0.0138105135946084,6613.0,90,0.0,0,60,0.0,0,60,0.0,0,9995
PEBBLES_XL,PEBBLES,2,imbalance,50,-0.005733778949469126,6431.900000000001,90,0.0,0,60,0.0,0,60,0.0,0,9950
MICROCHIP_SQUARE,MICROCHIP,3,imbalance,50,0.009883023514807063,6319.6,90,0.0,0,60,0.0,0,60,0.0,0,9950
TRANSLATOR_VOID_BLUE,TRANSLATOR,4,imbalance,1,-0.013681822906912118,5290.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,2,imbalance,50,0.011497681169540036,4799.4,95,0.0,0,60,0.0,0,60,0.0,0,9950
PANEL_2X4,PANEL,4,imbalance,5,-0.0014615518906599973,4492.0,90,0.0,0,60,0.0,0,60,0.0,0,9995
MICROCHIP_SQUARE,MICROCHIP,3,imbalance,10,-0.004617932130717889,4489.0,90,0.0,0,60,0.0,0,60,0.0,0,9990
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,imbalance,1,-0.010510928557974107,4440.0,95,0.0,0,60,0.0,0,60,0.0,0,9999
MICROCHIP_SQUARE,MICROCHIP,3,imbalance,1,-0.0027145023796330396,4430.0,90,0.0,0,60,0.0,0,60,0.0,0,9999
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,4,imbalance,50,-0.007437116570556652,4429.0,95,0.0,0,60,0.0,0,60,0.0,0,9950
