product,category,days,dp_taker_sum,dp_taker_day4,range_sum,best_entry_to_end_sum,h50_sum,avg_spread,median_spread,mid_std_avg
PEBBLES_XL,PEBBLES,3,5279030.0,1705300.0,134485.0,92180.0,1010434.8999999999,16.630766666666666,17.0,1167.7796413571023
MICROCHIP_SQUARE,MICROCHIP,3,3484725.0,1289170.0,100990.0,81555.0,679810.7999999999,11.7188,13.0,772.1159096861069
PEBBLES_XS,PEBBLES,3,2476070.0,859540.0,73815.0,39630.0,486122.5,9.744866666666667,9.0,602.0285536587306
PEBBLES_S,PEBBLES,3,2336345.0,805475.0,54360.0,19365.0,517720.6,11.551533333333333,12.0,408.6259011982606
ROBOT_DISHES,ROBOT,3,1798715.0,763760.0,36475.0,13625.0,343017.8,7.350266666666667,7.0,280.1765850344689
PEBBLES_L,PEBBLES,3,2231170.0,735110.0,70965.0,28660.0,493210.9,13.0205,13.0,558.4575160511455
PEBBLES_M,PEBBLES,3,2234865.0,728470.0,60390.0,33695.0,500036.0,13.1209,13.0,465.84815972549205
MICROCHIP_TRIANGLE,MICROCHIP,3,2438915.0,720025.0,50715.0,34755.0,483672.6,8.635433333333333,9.0,339.2268884777893
MICROCHIP_RECTANGLE,MICROCHIP,3,2189285.0,701220.0,52390.0,30815.0,434694.3,7.885766666666666,8.0,428.0243709514678
SLEEP_POD_POLYESTER,SLEEP_POD,3,1745205.0,625505.0,55995.0,37865.0,395673.3,10.295700000000002,11.0,431.63214316170956
SLEEP_POD_COTTON,SLEEP_POD,3,1715450.0,621610.0,61090.0,29690.0,401104.1,10.050199999999998,10.0,499.3926493575914
ROBOT_MOPPING,ROBOT,3,1758200.0,620295.0,56560.0,31030.0,360991.2,7.970666666666666,8.0,499.0603571029385
PANEL_2X4,PANEL,3,1664015.0,592405.0,50800.0,23565.0,378605.0,9.8405,10.0,405.4871485399217
SLEEP_POD_SUEDE,SLEEP_POD,3,1672225.0,589535.0,46795.0,24705.0,378597.10000000003,9.949466666666666,11.0,383.02700658390785
TRANSLATOR_VOID_BLUE,TRANSLATOR,3,1578995.0,544760.0,42785.0,23645.0,350124.0,9.524666666666667,10.0,324.66427440031197
SLEEP_POD_LAMB_WOOL,SLEEP_POD,3,1576000.0,543190.0,49525.0,8020.0,385059.1,9.4001,10.0,371.38995256473487
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3,1480830.0,531560.0,61975.0,38770.0,398102.9,15.0546,15.0,542.9215112449807
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,3,1483840.0,516035.0,49695.0,36230.0,335855.2,8.9121,9.0,385.41077460577117
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3,1398010.0,514305.0,62475.0,34340.0,390229.60000000003,14.512766666666666,14.0,470.3732509622546
MICROCHIP_OVAL,MICROCHIP,3,2058775.0,511590.0,59305.0,44535.0,401743.80000000005,7.449766666666666,8.0,488.57459608069075
PANEL_4X4,PANEL,3,1456925.0,496955.0,45855.0,20095.0,334606.30000000005,8.750466666666666,9.0,366.1632906728789
UV_VISOR_RED,UV_VISOR,3,1359035.0,487945.0,42025.0,17015.0,372358.3,14.039433333333333,14.0,280.6753704897203
SLEEP_POD_NYLON,SLEEP_POD,3,1398420.0,484715.0,38675.0,29600.0,322465.4,8.564666666666668,9.0,315.52822582865656
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,3,1434955.0,478205.0,39255.0,9865.0,325858.2,8.700433333333335,9.0,311.36144757455537
ROBOT_LAUNDRY,ROBOT,3,1556860.0,474845.0,34415.0,12110.0,336997.89999999997,7.165066666666667,7.0,243.8431076926868
UV_VISOR_MAGENTA,UV_VISOR,3,1383675.0,469335.0,43445.0,15815.0,359746.1,14.0916,15.0,330.29677514679173
MICROCHIP_CIRCLE,MICROCHIP,3,1338665.0,468395.0,51330.0,33125.0,305494.0,8.262166666666667,8.0,403.0673663258128
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,3,1300580.0,450165.0,50175.0,20810.0,353266.9,13.301266666666669,13.0,391.0277533790934
ROBOT_VACUUMING,ROBOT,3,1446480.0,450040.0,34795.0,18290.0,306618.6,6.7533,7.0,256.12686296875154
UV_VISOR_ORANGE,UV_VISOR,3,1297615.0,448835.0,45735.0,11975.0,359867.9,13.2841,14.0,352.60024736509985
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,3,1359325.0,447910.0,51935.0,21985.0,366331.6,14.071533333333335,14.0,422.58309023579636
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,3,1353210.0,445965.0,50050.0,31530.0,381580.7,13.690033333333332,14.0,383.10893506637495
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,3,1220490.0,445880.0,45045.0,20400.0,320382.1,12.185466666666665,12.0,380.1746170498221
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,3,1378695.0,445445.0,39800.0,13555.0,318980.8,8.3664,8.0,274.23104511577293
UV_VISOR_YELLOW,UV_VISOR,3,1360590.0,444230.0,58515.0,39980.0,359568.0,13.909966666666667,14.0,559.857893124661
TRANSLATOR_SPACE_GRAY,TRANSLATOR,3,1378610.0,441520.0,47025.0,28210.0,321302.2,8.402166666666666,9.0,377.46828268165774
ROBOT_IRONING,ROBOT,3,1485830.0,440990.0,47535.0,28090.0,292877.2,6.392933333333333,6.0,427.64616341575953
PANEL_2X2,PANEL,3,1392385.0,426560.0,39640.0,11785.0,321842.9,8.515466666666667,9.0,290.382430750556
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3,1258005.0,418375.0,41215.0,14715.0,342166.7,13.050833333333335,13.0,298.230730608145
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,3,1193900.0,410400.0,44455.0,25620.0,301750.2,11.860466666666667,12.0,353.0475388742885
PANEL_1X4,PANEL,3,1377445.0,409665.0,61880.0,39215.0,322704.2,8.376633333333332,9.0,499.9731022185444
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,3,1220265.0,390660.0,39670.0,9185.0,343936.6,12.593566666666668,13.0,312.81170839212297
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3,1236690.0,387535.0,49045.0,24660.0,320975.9,12.7829,13.0,408.44835203609404
PANEL_1X2,PANEL,3,1118600.0,384560.0,47185.0,28230.0,306017.4,11.509766666666666,12.0,372.31770293336564
UV_VISOR_AMBER,UV_VISOR,3,971925.0,288100.0,39610.0,28465.0,271784.0,10.320500000000001,10.0,282.651287898537
SNACKPACK_RASPBERRY,SNACKPACK,3,750345.0,246215.0,24745.0,5045.0,259659.89999999997,16.842466666666667,17.0,166.97960861596235
SNACKPACK_STRAWBERRY,SNACKPACK,3,732525.0,236565.0,27875.0,8655.0,261421.8,17.826466666666665,18.0,192.4117418059174
SNACKPACK_CHOCOLATE,SNACKPACK,3,528890.0,175400.0,23020.0,3160.0,218268.80000000002,16.471166666666665,17.0,155.1223311377901
SNACKPACK_VANILLA,SNACKPACK,3,512500.0,167120.0,23385.0,3590.0,218599.8,16.868666666666666,17.0,161.7031476492771
SNACKPACK_PISTACHIO,SNACKPACK,3,377510.0,124060.0,18680.0,8700.0,166713.7,15.925633333333332,16.0,137.58053820916064
