lead,lag,lead_category,lag_category,same_category,lookback,horizon,ic,abs_ic,full_proxy,portal_proxy,count,portal_count
PEBBLES_M,PEBBLES_XL,PEBBLES,PEBBLES,True,100,50,0.07348,0.07348,391099.5,251782.0,29550,9850
PEBBLES_L,PEBBLES_XL,PEBBLES,PEBBLES,True,100,50,0.03826,0.03826,364236.5,248919.0,29550,9850
UV_VISOR_ORANGE,PEBBLES_XL,UV_VISOR,PEBBLES,False,50,50,0.0144,0.0144,164352.5,247165.0,29700,9900
PEBBLES_L,PEBBLES_XL,PEBBLES,PEBBLES,True,50,50,0.01677,0.01677,141792.5,228309.0,29700,9900
PEBBLES_M,PEBBLES_XL,PEBBLES,PEBBLES,True,50,50,0.06037,0.06037,222314.5,206339.0,29700,9900
PEBBLES_XL,PEBBLES_M,PEBBLES,PEBBLES,True,200,50,0.10722,0.10722,344622.5,199384.0,29250,9750
MICROCHIP_CIRCLE,PEBBLES_XL,MICROCHIP,PEBBLES,False,50,50,0.01627,0.01627,66630.5,189685.0,29700,9900
UV_VISOR_AMBER,MICROCHIP_SQUARE,UV_VISOR,MICROCHIP,False,50,50,0.0255,0.0255,72901.0,187001.5,29700,9900
MICROCHIP_SQUARE,PEBBLES_XL,MICROCHIP,PEBBLES,False,100,50,0.06376,0.06376,409164.5,183838.5,29550,9850
SNACKPACK_RASPBERRY,MICROCHIP_SQUARE,SNACKPACK,MICROCHIP,False,200,50,0.03042,0.03042,151220.5,182186.0,29250,9750
UV_VISOR_YELLOW,PEBBLES_XL,UV_VISOR,PEBBLES,False,50,50,0.00494,0.00494,70782.5,177815.5,29700,9900
PEBBLES_XS,PEBBLES_S,PEBBLES,PEBBLES,True,200,50,0.03379,0.03379,121766.0,176865.5,29250,9750
PEBBLES_XS,PEBBLES_S,PEBBLES,PEBBLES,True,100,50,-0.00044,0.00044,35477.5,173407.0,29550,9850
OXYGEN_SHAKE_MORNING_BREATH,MICROCHIP_SQUARE,OXYGEN_SHAKE,MICROCHIP,False,200,50,-0.00417,0.00417,-95260.5,172131.0,29250,9750
UV_VISOR_ORANGE,PEBBLES_XL,UV_VISOR,PEBBLES,False,100,50,-0.00771,0.00771,30708.0,167779.0,29550,9850
MICROCHIP_CIRCLE,PEBBLES_XL,MICROCHIP,PEBBLES,False,10,50,0.03146,0.03146,175063.5,166104.0,29820,9940
