product,category,style,side,gate,horizon,avg_markout,portal_avg_markout,hit_rate,portal_hit_rate,count,portal_count,full_proxy,portal_proxy,avg_fill_target
PEBBLES_XL,PEBBLES,join,bid,all,100,28.9936,46.1331,0.5473,0.587,29700,9900,861108.5,456717.5,12.41
PEBBLES_XL,PEBBLES,join,bid,imb_buy,100,28.9936,46.1331,0.5473,0.587,29700,9900,861108.5,456717.5,12.41
PEBBLES_XL,PEBBLES,improve,bid,all,100,27.9936,45.1331,0.546,0.5856,29700,9900,831408.5,446817.5,12.41
PEBBLES_XL,PEBBLES,improve,bid,imb_buy,100,27.9936,45.1331,0.546,0.5856,29700,9900,831408.5,446817.5,12.41
MICROCHIP_SQUARE,MICROCHIP,join,ask,all,100,-5.1669,30.8761,0.4754,0.5182,29700,9900,-153456.0,305673.0,-5.96
MICROCHIP_SQUARE,MICROCHIP,join,ask,spread_high,100,7.4365,31.2483,0.4933,0.5181,18113,9626,134696.5,300796.5,-5.99
MICROCHIP_SQUARE,MICROCHIP,improve,ask,all,100,-6.1669,29.8761,0.4733,0.5162,29700,9900,-183156.0,295773.0,-5.96
MICROCHIP_SQUARE,MICROCHIP,improve,ask,spread_high,100,6.4365,30.2483,0.4914,0.516,18113,9626,116583.5,291170.5,-5.99
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,join,bid,all,100,20.5979,28.4881,0.5557,0.5791,29700,9900,611756.5,282032.5,18.25
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,join,bid,imb_buy,100,20.5979,28.4881,0.5557,0.5791,29700,9900,611756.5,282032.5,18.25
PEBBLES_XL,PEBBLES,join,bid,all,50,17.9103,27.5236,0.5352,0.5501,29850,9950,534623.5,273859.5,12.41
PEBBLES_XL,PEBBLES,join,bid,imb_buy,50,17.9103,27.5236,0.5352,0.5501,29850,9950,534623.5,273859.5,12.41
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,join,bid,spread_high,100,15.9212,28.5511,0.5317,0.5786,23154,9543,368640.0,272463.5,18.49
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,improve,bid,all,100,19.5979,27.4881,0.552,0.5757,29700,9900,582056.5,272132.5,18.25
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,improve,bid,imb_buy,100,19.5979,27.4881,0.552,0.5757,29700,9900,582056.5,272132.5,18.25
PEBBLES_XL,PEBBLES,join,bid,spread_high,100,6.8769,33.4139,0.5226,0.5694,18003,8079,123805.0,269950.5,12.51
PEBBLES_XL,PEBBLES,improve,bid,all,50,16.9103,26.5236,0.5331,0.5473,29850,9950,504773.5,263909.5,12.41
PEBBLES_XL,PEBBLES,improve,bid,imb_buy,50,16.9103,26.5236,0.5331,0.5473,29850,9950,504773.5,263909.5,12.41
UV_VISOR_YELLOW,UV_VISOR,join,ask,all,100,7.5363,26.5877,0.5282,0.5998,29700,9900,223827.0,263218.0,-18.26
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,improve,bid,spread_high,100,14.9212,27.5511,0.5279,0.5752,23154,9543,345486.0,262920.5,18.49
PEBBLES_XL,PEBBLES,improve,bid,spread_high,100,5.8769,32.4139,0.5211,0.5679,18003,8079,105802.0,261871.5,12.51
UV_VISOR_YELLOW,UV_VISOR,improve,ask,all,100,6.5363,25.5877,0.5242,0.5951,29700,9900,194127.0,253318.0,-18.26
PEBBLES_L,PEBBLES,join,ask,all,100,9.3504,24.7039,0.5285,0.5844,29700,9900,277706.0,244569.0,-12.4
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,join,ask,all,100,8.5145,24.6054,0.5318,0.6102,29700,9900,252880.5,243593.5,-18.26
PEBBLES_L,PEBBLES,improve,ask,all,100,8.3504,23.7039,0.5258,0.5814,29700,9900,248006.0,234669.0,-12.4
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,improve,ask,all,100,7.5145,23.6054,0.5289,0.6074,29700,9900,223180.5,233693.5,-18.26
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,join,bid,all,100,20.1167,23.288,0.5712,0.5685,29700,9900,597467.0,230551.5,18.25
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,join,bid,imb_buy,100,20.1167,23.288,0.5712,0.5685,29700,9900,597467.0,230551.5,18.25
MICROCHIP_CIRCLE,MICROCHIP,join,bid,all,100,5.4094,23.1075,0.5139,0.5762,29700,9900,160660.0,228764.5,6.77
MICROCHIP_CIRCLE,MICROCHIP,join,bid,imb_buy,100,5.4094,23.1075,0.5139,0.5762,29700,9900,160660.0,228764.5,6.77
PEBBLES_XL,PEBBLES,join,bid,spread_low,100,48.6071,73.8294,0.5683,0.6181,18985,3069,922806.0,226582.5,12.35
PEBBLES_XL,PEBBLES,improve,bid,spread_low,100,47.6071,72.8294,0.5673,0.6168,18985,3069,903821.0,223513.5,12.35
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,join,bid,spread_high,100,18.3951,23.2479,0.5624,0.5684,25002,9553,459915.5,222087.5,18.47
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,improve,bid,all,100,19.1167,22.288,0.568,0.5659,29700,9900,567767.0,220651.5,18.25
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,improve,bid,imb_buy,100,19.1167,22.288,0.568,0.5659,29700,9900,567767.0,220651.5,18.25
MICROCHIP_CIRCLE,MICROCHIP,join,bid,spread_high,100,4.9323,23.357,0.5112,0.5771,28316,9412,139663.5,219836.0,6.83
MICROCHIP_CIRCLE,MICROCHIP,improve,bid,all,100,4.4094,22.1075,0.5096,0.5724,29700,9900,130960.0,218864.5,6.77
MICROCHIP_CIRCLE,MICROCHIP,improve,bid,imb_buy,100,4.4094,22.1075,0.5096,0.5724,29700,9900,130960.0,218864.5,6.77
MICROCHIP_OVAL,MICROCHIP,join,ask,all,100,18.6311,22.1053,0.5648,0.5738,29700,9900,553344.5,218842.0,-7.74
MICROCHIP_OVAL,MICROCHIP,join,ask,spread_low,100,17.9145,22.1053,0.5605,0.5738,20756,9900,371833.5,218842.0,-8.24
PEBBLES_L,PEBBLES,join,ask,spread_high,100,14.3091,27.7741,0.5457,0.5912,23088,7788,330369.0,216304.5,-12.5
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,improve,bid,spread_high,100,17.3951,22.2479,0.5592,0.5657,25002,9553,434913.5,212534.5,18.47
UV_VISOR_YELLOW,UV_VISOR,join,ask,spread_high,100,10.4733,42.6636,0.5362,0.6296,20563,4967,215361.5,211910.0,-18.51
MICROCHIP_CIRCLE,MICROCHIP,improve,bid,spread_high,100,3.9323,22.357,0.5067,0.5733,28316,9412,111347.5,210424.0,6.83
MICROCHIP_OVAL,MICROCHIP,improve,ask,all,100,17.6311,21.1053,0.5615,0.57,29700,9900,523644.5,208942.0,-7.74
MICROCHIP_OVAL,MICROCHIP,improve,ask,spread_low,100,16.9145,21.1053,0.5572,0.57,20756,9900,351077.5,208942.0,-8.24
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,join,bid,all,100,8.1891,21.0832,0.5269,0.6013,29700,9900,243216.5,208723.5,18.25
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,join,bid,imb_buy,100,8.1891,21.0832,0.5269,0.6013,29700,9900,243216.5,208723.5,18.25
PEBBLES_L,PEBBLES,improve,ask,spread_high,100,13.3091,26.7741,0.5429,0.5881,23088,7788,307281.0,208516.5,-12.5
TRANSLATOR_SPACE_GRAY,TRANSLATOR,join,ask,all,100,8.642,21.0078,0.5466,0.5869,29700,9900,256666.0,207977.5,-11.94
UV_VISOR_YELLOW,UV_VISOR,improve,ask,spread_high,100,9.4733,41.6636,0.5321,0.6247,20563,4967,194798.5,206943.0,-18.51
TRANSLATOR_SPACE_GRAY,TRANSLATOR,join,ask,spread_low,100,8.1969,20.6133,0.5443,0.5855,29364,9842,240694.0,202876.0,-11.95
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,improve,bid,all,100,7.1891,20.0832,0.5243,0.5976,29700,9900,213516.5,198823.5,18.25
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,improve,bid,imb_buy,100,7.1891,20.0832,0.5243,0.5976,29700,9900,213516.5,198823.5,18.25
TRANSLATOR_SPACE_GRAY,TRANSLATOR,improve,ask,all,100,7.642,20.0078,0.5424,0.5826,29700,9900,226966.0,198077.5,-11.94
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,join,bid,spread_high,100,7.4189,20.8071,0.5229,0.599,27949,9473,207351.0,197106.0,18.5
