scope,product,category,signal_family,model_type,horizon,passive_proxy_pnl,taker_proxy_pnl,signal_corr,positive_days,day_count,positive_blocks,block_count,bidirectional
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,1,-25228.5,-54938.59999999999,-0.0120207382590198,0,3,7,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,1,-10358.5,-48238.59999999999,0.0120207382590198,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,1,-24509.0,-55298.15,-0.0120023892148579,0,3,8,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,1,-10679.0,-43198.15,0.0120023892148579,0,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,1,0.0,0.0,0.0,0,0,0,0,0
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,1,-25228.5,-54938.59999999999,-0.0119997402628459,0,3,7,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,1,-10358.5,-48238.59999999999,0.0119997402628459,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,2,-26169.0,-55640.24999999999,-0.0027341722545657,0,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,2,-12059.0,-43490.24999999999,0.0027341722545657,1,3,13,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,2,-28027.25,-53857.04999999998,-0.0043708571108535,0,3,11,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_reversal,statistical/time-series,2,-7187.25,-44677.04999999999,0.0043708571108535,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,rolling_mean_reversion,statistical/time-series,2,-14000.25,-57324.95,0.0104863703362206,0,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_high,breakout,2,-18218.25,-55707.55,-0.0031954546755287,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,breakout_low_reversal,breakout,2,-11243.25,-51361.15,0.0092050688899267,1,3,14,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,momentum,statistical/time-series,5,-15083.0,-42417.7,0.005727623970879,1,3,12,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,reversal,statistical/time-series,5,-20663.0,-56857.69999999999,-0.005727623970879,1,3,15,30,1
full,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,vol_norm_momentum,statistical/time-series,5,-33828.5,-61073.55,0.0029319656628843,1,3,13,30,1
