product,category,engine_status,portal_oracle_h1,full_oracle_h1,best_candidate_pnl_portal,best_candidate_pnl_full,best_probe_product_pnl,oracle_capture_portal,largest_gap
PEBBLES_XL,PEBBLES,engine_validated,174835.0,5040110.0,9560.0,12827.0,0.0,0.0546801269768639,165275.0
MICROCHIP_SQUARE,MICROCHIP,engine_conditional,134740.0,3342130.0,5022.0,0.0,4486.0,0.03727178269259314,129718.0
PEBBLES_XS,PEBBLES,engine_validated,81490.0,2342495.0,0.0,0.0,0.0,0.0,81490.0
MICROCHIP_TRIANGLE,MICROCHIP,engine_conditional,74455.0,2316490.0,1242.5,9579.5,551.0,0.016687932308105568,73212.5
PEBBLES_S,PEBBLES,engine_validated,70075.0,2130835.0,11490.0,80507.0,0.0,0.1639671780235462,58585.0
PEBBLES_M,PEBBLES,engine_validated,64980.0,1995225.0,1490.0,22494.0,0.0,0.022930132348414897,63490.0
MICROCHIP_RECTANGLE,MICROCHIP,engine_conditional,63905.0,2089515.0,859.0,0.0,2666.0,0.041718175416634064,63046.0
PEBBLES_L,PEBBLES,engine_validated,61395.0,1980740.0,0.0,3216.0,0.0,0.0,61395.0
ROBOT_MOPPING,ROBOT,engine_conditional,58930.0,1636760.0,1622.0,10353.0,309.0,0.027524181231970132,57308.0
SLEEP_POD_POLYESTER,SLEEP_POD,engine_conditional,58200.0,1561550.0,2021.5,21562.0,119.0,0.03473367697594502,56178.5
MICROCHIP_OVAL,MICROCHIP,engine_validated,55015.0,1945925.0,3298.0,1994.0,4379.0,0.0795964736889939,51717.0
SLEEP_POD_COTTON,SLEEP_POD,engine_validated,54210.0,1535525.0,3154.0,6212.0,6547.0,0.12077107544733444,51056.0
SLEEP_POD_SUEDE,SLEEP_POD,engine_conditional,52630.0,1492225.0,1883.0,9489.5,582.0,0.03577807334220027,50747.0
ROBOT_DISHES,ROBOT,engine_conditional,51425.0,1736265.0,0.0,0.0,664.0,0.01291200777831794,51425.0
PANEL_2X4,PANEL,engine_conditional,49500.0,1480695.0,1996.5,0.0,-1681.0,0.04033333333333333,47503.5
