product,category,best_edge_family_full,best_edge_proxy_full,best_edge_corr_full,signal_threshold_proxy_full,model_type_full,residual_vol_full,best_edge_family_portal,best_edge_proxy_portal,best_edge_corr_portal,signal_threshold_proxy_portal,model_type_portal,residual_vol_portal,realistic_opportunity_score,spread_adjusted_one_step_oracle_portal,spread_adjusted_one_step_oracle_full,mean_spread_portal,mean_top_depth_portal,probe_priority,recommended_execution,probe_verdict
MICROCHIP_SQUARE,MICROCHIP,100_tick_momentum,522446.99999999977,-0.002411107773734556,265.5,statistical/time-series,2422.4152331654955,100_tick_reversal,151402.0,0.2808118162866599,267.1,statistical/time-series,188.4797847025188,932556.4760000001,134734.88,3345558.7100000004,13.447,11.843,261471.7917,passive-first,standalone_probe
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,50_tick_reversal,446494.8999999999,0.033551544599859665,104.0,statistical/time-series,771.6494816501582,100_tick_momentum,169709.24999999997,0.006973090744500826,195.5,statistical/time-series,284.0294464706078,327462.7605666667,35761.58,1044624.4578333334,14.076,36.16,202782.83013499997,passive-first,standalone_probe
ROBOT_LAUNDRY,ROBOT,100_tick_reversal,1100966.05,0.10908476750438961,124.0,statistical/time-series,615.8648767588577,100_tick_momentum,154118.3,-0.02464202222209839,168.0,statistical/time-series,264.8158088881301,391032.5265833334,44194.075,1433976.4266666668,6.745,17.025,200133.5188,passive-first,standalone_probe
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,25_tick_reversal,154048.90000000008,0.0436878228162617,60.0,statistical/time-series,575.1659204729409,100_tick_reversal,121406.69999999998,0.42523010462245336,110.0,statistical/time-series,73.5215145822354,323315.02780000004,36854.92,1149631.609,11.778,36.16,157901.80186999997,passive-first,standalone_probe
MICROCHIP_TRIANGLE,MICROCHIP,100_tick_reversal,209919.6499999999,-0.009021298582770586,186.5,statistical/time-series,2330.3644406340677,50_tick_reversal,78793.59999999999,0.33686993037005225,108.20000000000005,statistical/time-series,305.38745479192954,601270.9983666667,74433.0,2316760.2418333334,8.315,13.453,153585.84725499997,passive-first,standalone_probe
ROBOT_IRONING,ROBOT,100_tick_momentum,551044.3999999997,0.031094908523663638,110.0,statistical/time-series,808.0235970491046,100_tick_momentum,97016.9,-0.03594816221694196,90.0,statistical/time-series,188.8113850317762,390569.41055,46103.58499999999,1530467.444,5.889,11.927,146148.09012,passive-first,standalone_probe
UV_VISOR_AMBER,UV_VISOR,50_tick_momentum,448903.25000000006,0.04238163781962546,73.0,statistical/time-series,1334.5733058262801,100_tick_momentum,120781.2,0.4253769464149604,147.5,statistical/time-series,262.32019582947527,240227.26800000007,23388.89,748315.6425000003,9.297,36.16,144358.020475,passive-first,standalone_probe
MICROCHIP_OVAL,MICROCHIP,100_tick_reversal,201306.65000000002,0.011176944375135686,154.0,statistical/time-series,1837.2771771634596,100_tick_momentum,75982.7,0.14758242893482806,151.10000000000002,statistical/time-series,92.85496027953094,509744.7750999999,55005.9,1949916.1504999995,6.764,17.328,138339.53651499999,passive-first,research_probe
TRANSLATOR_SPACE_GRAY,TRANSLATOR,100_tick_reversal,319606.15000000026,0.034263350500536596,122.0,statistical/time-series,592.7319363646145,100_tick_momentum,95110.35000000002,-0.09468755554692795,158.0,statistical/time-series,302.5553286104954,358793.24483333336,43173.15000000001,1215530.811666667,8.802,22.441,134325.96635000003,passive-first,defer
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,100_tick_momentum,459603.7000000002,0.04727424874769617,136.0,statistical/time-series,568.2404835477678,100_tick_momentum,99593.75000000001,0.18873032232299958,145.60000000000002,statistical/time-series,126.46242297264277,310291.8719,36981.95,1008033.9970000001,13.502,36.16,131713.16591,passive-first,defer
