product,category,gross_one_step_oracle_full,spread_adjusted_one_step_oracle_full,h50_oracle_full,mean_spread_full,median_spread_full,mean_top_depth_full,rows_full,gross_one_step_oracle_portal,spread_adjusted_one_step_oracle_portal,h50_oracle_portal,mean_spread_portal,median_spread_portal,mean_top_depth_portal,rows_portal,realistic_opportunity_score
MICROCHIP_SQUARE,MICROCHIP,4891990.0,3345558.7100000004,33990540.0,11.7188,12.0,11.914766666666667,30000,195065.0,134734.88,1254375.0,13.447,14.0,11.843,1000,932556.4760000001
MICROCHIP_TRIANGLE,MICROCHIP,3449000.0,2316760.2418333334,24183630.0,8.635433333333333,9.0,12.8759,30000,111175.0,74433.0,637570.0,8.315,8.0,13.453,1000,601270.9983666667
MICROCHIP_RECTANGLE,MICROCHIP,3125795.0,2088829.0630000003,21734715.0,7.885766666666667,8.0,14.444266666666667,30000,95370.0,63805.419999999984,645260.0,7.122,7.0,16.011,1000,551248.8936
MICROCHIP_OVAL,MICROCHIP,2925655.0,1949916.1504999995,20087190.0,7.449766666666667,8.0,15.544066666666666,30000,84530.0,55005.9,585170.0,6.764,7.0,17.328,1000,509744.7750999999
ROBOT_DISHES,ROBOT,2417965.0,1721124.3473333332,17150890.0,7.350266666666666,7.0,15.233766666666666,30000,83295.0,51355.805,677040.0,7.467,8.0,15.109,1000,475537.46221666667
SLEEP_POD_POLYESTER,SLEEP_POD,2840460.0,1560533.5775,19783665.0,10.2957,11.0,21.752133333333333,30000,104170.0,57995.06,757450.0,11.132,11.0,21.929,1000,459814.3985
SLEEP_POD_COTTON,SLEEP_POD,2785805.0,1534189.9670000002,20055205.0,10.0502,10.0,21.739366666666665,30000,98250.0,54100.62000000001,736735.0,10.713,11.0,21.929,1000,449296.4844000001
ROBOT_MOPPING,ROBOT,2660005.0,1635809.8800000004,18049560.0,7.970666666666666,8.0,14.129333333333333,30000,94950.0,58889.63,558520.0,8.394,9.0,12.939,1000,444623.1725000001
PANEL_2X4,PANEL,2703485.0,1479140.5050000001,18930250.0,9.8405,10.0,21.736333333333334,30000,89385.0,49407.32,630910.0,9.663,10.0,21.929,1000,419831.52700000006
SLEEP_POD_SUEDE,SLEEP_POD,2725070.0,1490631.368,18929855.0,9.949466666666666,10.0,21.8194,30000,96250.0,52558.549999999996,579480.0,10.615,11.0,21.929,1000,416148.37610000005
