product,category,worst_drawdown_mid_diff,best_runup_mid_diff
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,-1202.0,4526.5
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,-1649.0,1579.5
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,-2588.5,2928.5
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,-1842.5,2379.5
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,-1672.0,2296.5
MICROCHIP_CIRCLE,MICROCHIP,-1791.5,2434.0
MICROCHIP_OVAL,MICROCHIP,-5042.5,1404.5
MICROCHIP_RECTANGLE,MICROCHIP,-3106.0,1745.5
MICROCHIP_SQUARE,MICROCHIP,-3112.0,6725.0
MICROCHIP_TRIANGLE,MICROCHIP,-3134.0,1384.5
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,-1343.5,2448.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,-2022.5,1725.5
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,-1088.5,4522.0
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,-2395.0,1878.0
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,-2746.0,1444.5
PANEL_1X2,PANEL,-2533.0,2320.5
PANEL_1X4,PANEL,-3364.0,2030.0
PANEL_2X2,PANEL,-2520.5,1686.5
PANEL_2X4,PANEL,-1246.0,2697.5
PANEL_4X4,PANEL,-2085.5,2213.0
PEBBLES_L,PEBBLES,-2805.0,3084.0
PEBBLES_M,PEBBLES,-2007.5,3109.5
PEBBLES_S,PEBBLES,-3923.0,1419.0
PEBBLES_XL,PEBBLES,-3161.0,8120.0
PEBBLES_XS,PEBBLES,-5460.0,1421.5
ROBOT_DISHES,ROBOT,-1145.0,2561.5
ROBOT_IRONING,ROBOT,-2633.5,1170.0
ROBOT_LAUNDRY,ROBOT,-2279.0,1117.5
ROBOT_MOPPING,ROBOT,-1741.0,2796.5
ROBOT_VACUUMING,ROBOT,-2047.0,1166.5
SLEEP_POD_COTTON,SLEEP_POD,-2415.5,3691.5
SLEEP_POD_LAMB_WOOL,SLEEP_POD,-2215.0,2156.5
SLEEP_POD_NYLON,SLEEP_POD,-1545.5,2464.5
SLEEP_POD_POLYESTER,SLEEP_POD,-1505.0,3748.0
SLEEP_POD_SUEDE,SLEEP_POD,-1283.5,3148.5
SNACKPACK_CHOCOLATE,SNACKPACK,-1045.5,750.0
SNACKPACK_PISTACHIO,SNACKPACK,-1101.5,460.5
SNACKPACK_RASPBERRY,SNACKPACK,-965.5,940.0
SNACKPACK_STRAWBERRY,SNACKPACK,-794.0,1827.0
SNACKPACK_VANILLA,SNACKPACK,-833.5,890.5
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,-2116.0,1277.0
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,-1341.0,1735.5
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,-1826.5,2368.5
TRANSLATOR_SPACE_GRAY,TRANSLATOR,-2161.5,1415.0
TRANSLATOR_VOID_BLUE,TRANSLATOR,-1094.0,2377.0
UV_VISOR_AMBER,UV_VISOR,-3540.5,782.0
UV_VISOR_MAGENTA,UV_VISOR,-1353.0,2626.5
UV_VISOR_ORANGE,UV_VISOR,-2284.0,2212.0
UV_VISOR_RED,UV_VISOR,-1432.0,2554.0
UV_VISOR_YELLOW,UV_VISOR,-2516.5,2537.5
