product,category,signal,feature,window,horizon,threshold,cost_mult,active_rate,net_edge_mean,net_edge_t,positive_days,min_day_edge,positive_blocks,min_block_edge,count,robust_score
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,2.0,0.5,0.13399993197972995,73.9470812182741,16.741487363832544,3,40.776643990929706,18,-111.9794776119403,3940,66.5523730964467
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,2.0,1.0,0.13399993197972995,69.76776649746193,15.795122899067502,3,37.06878306878307,18,-116.15796019900498,3940,62.79098984771574
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,1.5,0.5,0.29473183008536546,58.0310408492961,19.35434685037743,3,13.973441689008043,17,-157.8755244755245,8666,49.32638472190168
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,1.5,1.0,0.29473183008536546,53.86366258942996,17.96452347652395,3,10.272955764075068,17,-162.1013986013986,8666,45.784113201015465
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,1.0,0.5,0.5419855116824813,41.69498305722892,18.592732856489945,3,5.125522466039707,17,-172.08780991735537,15936,35.44073559864458
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,2.0,0.5,0.13372584847562008,40.479440789473685,12.054159075249686,3,29.299697656840515,16,-72.20460199004975,3952,32.38355263157895
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,1.0,1.0,0.5419855116824813,37.52990085341366,16.734785061471165,3,1.4204110066179032,17,-176.31095041322314,15936,31.900415725401608
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,0.75,0.5,0.660510832228004,35.90955666546522,17.59912562938509,3,9.309272213126954,16,-150.46790065604497,19421,28.727645332372173
PEBBLES_XL,PEBBLES,z_revert,roll_z_50,50,100,2.0,0.5,0.13011828935395814,36.66679616679617,7.673447037305106,3,12.23057498057498,15,-54.266816143497756,3861,27.500097125097124
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,2.0,1.0,0.13372584847562008,36.297570850202426,10.807621062176837,3,25.591836734693878,15,-76.38308457711443,3952,27.22317813765182
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,1.5,0.5,0.29516461949717454,33.857015934884785,15.292400682171984,3,11.366883116883116,16,-93.89160839160839,8723,27.085612747907827
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,0.75,1.0,0.660510832228004,31.737268935688174,15.55313457563887,3,5.616832862033041,16,-154.69447047797564,19421,25.38981514855054
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,0.5,0.5,0.7816209230350645,31.293066312766513,16.568708015887967,3,10.918423759321163,15,-132.30113207547168,22982,23.469799734574885
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,1.5,1.0,0.29516461949717454,29.686117161526997,13.408239354202555,3,7.662337662337662,15,-98.11748251748251,8723,22.264587871145245
ROBOT_LAUNDRY,ROBOT,past_revert,past_mid_diff_100,100,100,161.0,0.5,0.10119047619047619,24.61890756302521,15.337683049358395,3,2.747772277227723,18,-108.32544378698225,2975,22.157016806722687
PEBBLES_XL,PEBBLES,z_revert,roll_z_50,50,50,2.0,0.5,0.1303356469838715,27.402559814767173,8.015508361952385,3,12.200813323005422,16,-59.711666666666666,3887,21.922047851813737
PEBBLES_XL,PEBBLES,z_revert,roll_z_50,50,100,2.0,1.0,0.13011828935395814,32.52538202538202,6.807388774682433,3,8.604118104118104,13,-58.53139013452915,3861,21.141498316498314
ROBOT_LAUNDRY,ROBOT,past_revert,past_mid_diff_100,100,100,161.0,1.0,0.10119047619047619,22.82016806722689,14.219317117753205,3,1.063861386138614,18,-110.01479289940828,2975,20.5381512605042
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,100,0.5,1.0,0.7816209230350645,27.125250195805414,14.36093457814282,3,7.2441501671380815,14,-136.78,22982,18.98767513706379
PEBBLES_XL,PEBBLES,z_revert,roll_z_50,50,50,2.0,1.0,0.1303356469838715,23.259197324414714,6.8039825715360855,3,8.571649883810998,16,-64.12333333333333,3887,18.60735785953177
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,25,2.0,0.5,0.1333873363034967,21.551809210526315,8.873156612169518,3,14.829554043839758,16,-45.43173758865248,3952,17.241447368421053
ROBOT_DISHES,ROBOT,past_revert,past_mid_diff_10,10,100,67.5,0.5,0.10023592854735423,20.47932078009415,10.227581417885775,3,3.264705882352941,16,-36.51978417266187,2974,16.38345662407532
PEBBLES_M,PEBBLES,z_revert,roll_z_500,500,100,2.0,0.5,0.1487603305785124,24.96176268861454,11.649507470411084,3,10.278719723183391,13,-122.75,4374,16.225145747599452
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,past_revert,past_mid_diff_100,100,100,163.5,0.5,0.10010204081632654,19.980122324159023,12.181047066266471,3,2.930324074074074,16,-75.06184210526315,2943,15.984097859327218
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,1.0,0.5,0.5428890467972795,20.963709174769384,12.847079971703993,3,0.2854799723756906,15,-97.09400826446281,16044,15.722781881077037
ROBOT_DISHES,ROBOT,past_revert,past_mid_diff_10,10,100,67.5,1.0,0.10023592854735423,18.558675184936114,9.268896087804162,3,1.5173010380622838,16,-38.4136690647482,2974,14.84694014794889
PEBBLES_M,PEBBLES,z_revert,roll_z_500,500,100,2.0,1.0,0.1487603305785124,21.69272976680384,10.125754539032316,3,6.838754325259516,13,-125.87241379310345,4374,14.100274348422497
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,25,2.0,1.0,0.1333873363034967,17.36993927125506,7.150032840675584,3,11.121693121693122,16,-49.80673758865248,3952,13.895951417004047
PANEL_1X4,PANEL,past_momentum,past_mid_diff_100,100,100,114.5,0.5,0.25136054421768705,18.132746955345063,14.677407142138907,3,6.303502415458937,15,-76.25279642058166,7390,13.599560216508797
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,25,1.5,0.5,0.29485621709194004,18.08522206959707,11.227204839088996,3,6.520396270396271,15,-47.65384615384615,8736,13.563916552197801
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,past_revert,past_mid_diff_100,100,100,163.5,1.0,0.10010204081632654,17.73122663948352,10.806220991883848,3,0.6328703703703704,15,-77.36315789473684,2943,13.29841997961264
PEBBLES_XL,PEBBLES,z_revert,roll_z_25,25,100,1.5,0.5,0.30569878340578976,16.581303053687577,5.413109607610482,3,1.4097475921620723,16,-30.807494866529773,9071,13.265042442950062
PEBBLES_M,PEBBLES,z_revert,roll_z_500,500,100,1.5,0.5,0.3184028840594497,18.942827387310405,12.862525918847512,3,14.176259541984733,14,-79.59405339805825,9362,13.259979171117283
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,0.75,0.5,0.6610834771427605,17.428904130623945,11.788918365076933,3,1.8695893041808243,15,-76.93978444236176,19537,13.071678097967958
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,z_revert,roll_z_500,500,100,2.0,0.5,0.15267149610583955,16.278625529071064,11.549379894770334,3,2.1679202092871157,15,-39.27288329519451,4489,12.208969146803298
PANEL_1X4,PANEL,past_momentum,past_mid_diff_100,100,100,114.5,1.0,0.25136054421768705,16.008795669824085,12.9564319924924,3,4.371014492753623,15,-78.36353467561521,7390,12.006596752368065
ROBOT_DISHES,ROBOT,past_revert,past_mid_diff_25,25,50,100.0,0.5,0.1491855583543241,13.279828905898244,11.210728558038229,3,6.847727272727273,18,-22.016816143497756,4442,11.95184601530842
PANEL_1X4,PANEL,past_momentum,past_mid_diff_25,25,100,77.0,0.5,0.10349367088607594,16.275358773646445,9.044549939286632,3,12.807122708039492,14,-32.12566844919786,3066,11.392751141552512
ROBOT_DISHES,ROBOT,past_revert,past_mid_diff_25,25,25,100.0,0.5,0.14974874371859295,13.963031319910515,15.26635456878429,3,4.703409090909091,16,-8.957089552238806,4470,11.170425055928412
PEBBLES_M,PEBBLES,z_revert,roll_z_500,500,100,1.5,1.0,0.3184028840594497,15.681798760948515,10.650199585008894,3,11.055419847328244,14,-82.8125,9362,10.977259132663962
PANEL_1X4,PANEL,past_momentum,past_mid_diff_100,100,100,67.0,0.5,0.5013265306122449,16.748676979442298,19.857209397209335,3,6.860326822664862,13,-38.08629300776914,14739,10.886640036637493
PEBBLES_XL,PEBBLES,z_revert,roll_z_50,50,25,2.0,0.5,0.13037661382032242,15.08202924576706,6.1892714235393695,3,11.823311061618412,14,-36.155,3898,10.557420472036942
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,25,1.5,1.0,0.29485621709194004,13.914949633699633,8.638203722320835,3,2.815850815850816,15,-51.87972027972028,8736,10.436212225274726
PEBBLES_XL,PEBBLES,z_revert,roll_z_500,500,50,0.5,0.5,0.7816803708591344,14.595071641920264,10.683567107794977,3,2.3704969340827797,14,-55.04188679245283,23101,10.216550149344183
PANEL_1X4,PANEL,past_momentum,past_mid_diff_100,100,50,114.5,0.5,0.2505245346869712,12.374746724300959,15.53872697640921,3,7.291183574879227,16,-43.943396226415096,7403,9.899797379440766
UV_VISOR_ORANGE,UV_VISOR,past_revert,past_mid_diff_100,100,50,173.0,0.5,0.10023688663282572,15.178848750844024,11.073210453642886,3,11.450408163265307,13,-33.232142857142854,2962,9.866251688048616
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,z_revert,roll_z_500,500,100,2.0,0.5,0.12879638132163385,16.378267758119883,10.58446152719475,3,3.5109910581222055,12,-30.90714285714286,3787,9.826960654871929
PANEL_1X4,PANEL,past_momentum,past_mid_diff_100,100,100,67.0,1.0,0.5013265306122449,14.645226948911052,17.362134687860042,3,4.632082769290273,13,-40.147613762486124,14739,9.519397516792184
UV_VISOR_ORANGE,UV_VISOR,past_revert,past_mid_diff_100,100,100,173.0,0.5,0.1007482993197279,15.593095881161377,8.096125784747276,3,3.016938775510204,12,-96.25714285714285,2962,9.355857528696827
