target,test_day,feature,coef
PEBBLES_XS,2,PEBBLES_S,-1.000017171945324
PEBBLES_XS,2,PEBBLES_M,-1.000006717001533
PEBBLES_XS,2,PEBBLES_L,-1.0000252424731353
PEBBLES_XS,2,PEBBLES_XL,-1.0000158000458244
PEBBLES_XS,2,intercept,50000.65621835021
PEBBLES_XS,3,PEBBLES_S,-1.0002047797975642
PEBBLES_XS,3,PEBBLES_M,-1.0000340806591295
PEBBLES_XS,3,PEBBLES_L,-1.0000627319957391
PEBBLES_XS,3,PEBBLES_XL,-1.000081175924416
PEBBLES_XS,3,intercept,50003.779134768716
PEBBLES_XS,4,PEBBLES_S,-0.9999737265095665
PEBBLES_XS,4,PEBBLES_M,-1.0000230916029424
PEBBLES_XS,4,PEBBLES_L,-0.9999119578589079
PEBBLES_XS,4,PEBBLES_XL,-0.9999725478722749
PEBBLES_XS,4,intercept,49998.69480244394
PEBBLES_S,2,PEBBLES_XS,-0.999882865651076
PEBBLES_S,2,PEBBLES_M,-0.9999255663579812
PEBBLES_S,2,PEBBLES_L,-0.9999611524855734
PEBBLES_S,2,PEBBLES_XL,-0.9999550728683382
PEBBLES_S,2,intercept,49997.376320873336
PEBBLES_S,3,PEBBLES_XS,-0.9995911687192229
PEBBLES_S,3,PEBBLES_M,-0.9997154527684595
PEBBLES_S,3,PEBBLES_L,-0.9996996619978205
PEBBLES_S,3,PEBBLES_XL,-0.9997452242057049
PEBBLES_S,3,intercept,49987.48338325314
PEBBLES_S,4,PEBBLES_XS,-0.999903039941903
PEBBLES_S,4,PEBBLES_M,-0.9999345887813692
PEBBLES_S,4,PEBBLES_L,-0.9998464721107598
PEBBLES_S,4,PEBBLES_XL,-0.9999059141275326
PEBBLES_S,4,intercept,49995.78739677468
PEBBLES_M,2,PEBBLES_XS,-0.9999612972783645
PEBBLES_M,2,PEBBLES_S,-1.0000144562501454
PEBBLES_M,2,PEBBLES_L,-0.9999984138084183
PEBBLES_M,2,PEBBLES_XL,-0.999993787150676
PEBBLES_M,2,intercept,49999.72351125204
PEBBLES_M,3,PEBBLES_XS,-0.9998861274742169
PEBBLES_M,3,PEBBLES_S,-1.0001811433016514
PEBBLES_M,3,PEBBLES_L,-0.9999511604111248
PEBBLES_M,3,PEBBLES_XL,-0.9999918903142633
PEBBLES_M,3,intercept,50000.047845220186
PEBBLES_M,4,PEBBLES_XS,-0.9999523761246113
PEBBLES_M,4,PEBBLES_S,-0.9999345633606933
PEBBLES_M,4,PEBBLES_L,-0.9998546050626145
PEBBLES_M,4,PEBBLES_XL,-0.9999262695673404
PEBBLES_M,4,intercept,49996.55688739813
PEBBLES_L,2,PEBBLES_XS,-0.9999125290311928
PEBBLES_L,2,PEBBLES_S,-0.999982747938217
PEBBLES_L,2,PEBBLES_M,-0.9999311196799325
PEBBLES_L,2,PEBBLES_XL,-0.9999686401674028
PEBBLES_L,2,intercept,49998.07210593621
PEBBLES_L,3,PEBBLES_XS,-0.9999021108801905
PEBBLES_L,3,PEBBLES_S,-1.0001526783101706
PEBBLES_L,3,PEBBLES_M,-0.999938496258583
PEBBLES_L,3,PEBBLES_XL,-1.000003980846085
PEBBLES_L,3,intercept,49999.93982345815
PEBBLES_L,4,PEBBLES_XS,-1.0000411493053807
PEBBLES_L,4,PEBBLES_S,-1.0000463467973644
PEBBLES_L,4,PEBBLES_M,-1.0000545067987658
PEBBLES_L,4,PEBBLES_XL,-1.0000246843141298
PEBBLES_L,4,intercept,50001.559745471284
PEBBLES_XL,2,PEBBLES_XS,-0.999944229095762
PEBBLES_XL,2,PEBBLES_S,-1.000017812644805
PEBBLES_XL,2,PEBBLES_M,-0.9999676357241926
PEBBLES_XL,2,PEBBLES_L,-1.0000097842922078
PEBBLES_XL,2,intercept,49999.505453885926
PEBBLES_XL,3,PEBBLES_XS,-0.9998895009992975
PEBBLES_XL,3,PEBBLES_S,-1.0001672016936216
PEBBLES_XL,3,PEBBLES_M,-0.9999481729766022
PEBBLES_XL,3,PEBBLES_L,-0.9999729274080683
PEBBLES_XL,3,intercept,49999.744019523256
PEBBLES_XL,4,PEBBLES_XS,-1.0000160831620435
PEBBLES_XL,4,PEBBLES_S,-1.0000201363646046
PEBBLES_XL,4,PEBBLES_M,-1.000040519553043
PEBBLES_XL,4,PEBBLES_L,-0.9999390269298626
PEBBLES_XL,4,intercept,50000.050542560544
