product,category,omega,alpha1,beta1,aic
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,0.0021991106595408987,0.009578268086400644,0.7757645909960345,-10454.512070262792
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,0.010443834501162699,4.217778894350024e-13,0.0003721800990701471,-10334.962097058942
MICROCHIP_OVAL,MICROCHIP,0.0218723156185884,0.01131236835893491,0.026357153130408064,-5672.337325177346
MICROCHIP_RECTANGLE,MICROCHIP,0.0003269328769371168,0.0,0.9855011155493015,-5817.3632325822455
MICROCHIP_SQUARE,MICROCHIP,0.0007124217037921508,6.549475994867896e-13,0.9680359686272844,-5821.900177148203
MICROCHIP_TRIANGLE,MICROCHIP,0.0002641780470717283,0.0,0.9880831810304442,-5942.111653616827
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,0.00023927534753194487,0.01,0.97,-9665.426296269368
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,0.00027678605019030976,0.01,0.97,-8877.759688217597
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,0.0013775339565058728,0.006708806617309855,0.8543066272600665,-10654.463406166029
PANEL_1X2,PANEL,0.010300313124653515,0.0,0.0,-10419.341645409291
PANEL_4X4,PANEL,0.005138914251289783,1.9994284035144934e-19,0.48999940446839024,-10550.609339829616
PEBBLES_L,PEBBLES,0.000278452102478319,0.008516365673462907,0.9793613552550455,-5708.741016574191
PEBBLES_M,PEBBLES,8.130812219297486e-05,0.004581730577776972,0.9916096404835978,-6139.913101234504
PEBBLES_S,PEBBLES,8.54985348638806e-06,0.006758135770672196,0.9931450425983114,-4208.028649347996
PEBBLES_XL,PEBBLES,0.00011182486082150238,0.007356809756739474,0.99046027934018,-482.3586669161093
PEBBLES_XS,PEBBLES,0.0005767470585193617,0.029894383859205172,0.9588316798938208,-1804.1488033994963
ROBOT_DISHES,ROBOT,0.0005865274781206234,0.05,0.9299999999999999,-6004.862817927707
ROBOT_IRONING,ROBOT,0.00019486617340327175,0.012097396744450466,0.9731541543758397,-9050.809093393775
SLEEP_POD_COTTON,SLEEP_POD,3.4597513916597775e-05,1.0875668549902762e-05,0.9966538642304673,-10447.85478550331
UV_VISOR_MAGENTA,UV_VISOR,0.000529303694613563,0.003963850221122865,0.9449134803814849,-10381.811560652155
