product,category,cluster
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,3
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,3
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,8
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,8
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,3
MICROCHIP_CIRCLE,MICROCHIP,1
MICROCHIP_OVAL,MICROCHIP,5
MICROCHIP_RECTANGLE,MICROCHIP,1
MICROCHIP_SQUARE,MICROCHIP,4
MICROCHIP_TRIANGLE,MICROCHIP,1
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,8
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,3
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,4
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,3
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3
PANEL_1X2,PANEL,8
PANEL_1X4,PANEL,3
PANEL_2X2,PANEL,6
PANEL_2X4,PANEL,3
PANEL_4X4,PANEL,4
PEBBLES_L,PEBBLES,7
PEBBLES_M,PEBBLES,6
PEBBLES_S,PEBBLES,10
PEBBLES_XL,PEBBLES,2
PEBBLES_XS,PEBBLES,6
ROBOT_DISHES,ROBOT,9
ROBOT_IRONING,ROBOT,5
ROBOT_LAUNDRY,ROBOT,7
ROBOT_MOPPING,ROBOT,4
ROBOT_VACUUMING,ROBOT,8
SLEEP_POD_COTTON,SLEEP_POD,8
SLEEP_POD_LAMB_WOOL,SLEEP_POD,9
SLEEP_POD_NYLON,SLEEP_POD,3
SLEEP_POD_POLYESTER,SLEEP_POD,4
SLEEP_POD_SUEDE,SLEEP_POD,3
SNACKPACK_CHOCOLATE,SNACKPACK,3
SNACKPACK_PISTACHIO,SNACKPACK,8
SNACKPACK_RASPBERRY,SNACKPACK,3
SNACKPACK_STRAWBERRY,SNACKPACK,8
SNACKPACK_VANILLA,SNACKPACK,8
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,8
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,9
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,3
TRANSLATOR_SPACE_GRAY,TRANSLATOR,4
TRANSLATOR_VOID_BLUE,TRANSLATOR,3
UV_VISOR_AMBER,UV_VISOR,3
UV_VISOR_MAGENTA,UV_VISOR,8
UV_VISOR_ORANGE,UV_VISOR,8
UV_VISOR_RED,UV_VISOR,8
UV_VISOR_YELLOW,UV_VISOR,3
